time,open,high,low,close,volume
09:30,1.7,1.7,1.7,1.7,400
09:35,1.7,1.7,1.7,1.7,225
10:31,1.7656,1.7656,1.7656,1.7656,500
12:10,1.685,1.7,1.68,1.69,10005
12:24,1.65,1.65,1.65,1.65,463
12:25,1.61,1.61,1.6,1.6,450
13:50,1.58,1.58,1.57,1.57,1000
14:00,1.63,1.63,1.63,1.63,413
15:31,1.67,1.67,1.64,1.64,3005
15:42,1.65,1.65,1.65,1.65,410
15:44,1.66,1.66,1.66,1.66,1018
15:46,1.651,1.651,1.65,1.65,233
15:47,1.65,1.65,1.65,1.65,116
15:54,1.61,1.65,1.6,1.65,1250
15:55,1.66,1.66,1.66,1.66,574
15:57,1.64,1.64,1.64,1.64,104
15:59,1.6,1.6,1.6,1.6,361
