time,open,high,low,close,volume
09:30,8.06,8.35,8,8.266,480521
09:31,8.28,8.88,8.28,8.74,138201
09:32,8.7776,8.7776,8.54,8.665,141179
09:33,8.64,8.75,8.55,8.58,83862
09:34,8.58,8.66,8.35,8.62,191019
09:35,8.65,8.74,8.54,8.61,126635
09:36,8.64,8.73,8.62,8.685,73577
09:37,8.68,8.9,8.59,8.8176,217615
09:38,8.8483,8.8483,8.7,8.7551,60207
09:39,8.76,8.87,8.747,8.84,129013
09:40,8.8397,8.91,8.64,8.66,123552
09:41,8.65,8.7093,8.52,8.54,88623
09:42,8.5401,8.69,8.52,8.58,86452
09:43,8.565,8.5999,8.52,8.567,69521
09:44,8.555,8.555,8.38,8.405,50814
09:45,8.42,8.4964,8.41,8.44,29924
09:46,8.43,8.445,8.33,8.35,49989
09:47,8.347,8.42,8.3,8.325,57684
09:48,8.325,8.325,8.2103,8.225,45301
09:49,8.215,8.31,8.17,8.29,70033
09:50,8.28,8.42,8.27,8.3701,54923
09:51,8.4,8.44,8.3859,8.42,48829
09:52,8.42,8.53,8.42,8.5071,86832
09:53,8.51,8.52,8.38,8.38,46545
09:54,8.4,8.42,8.3601,8.3902,35937
09:55,8.41,8.435,8.36,8.39,39891
09:56,8.3957,8.55,8.39,8.4991,114517
09:57,8.5,8.5,8.435,8.435,20880
09:58,8.435,8.435,8.38,8.39,22467
09:59,8.4,8.4,8.37,8.385,26463
10:00,8.37,8.4,8.34,8.39,27782
10:01,8.4,8.47,8.39,8.47,50879
10:02,8.46,8.46,8.39,8.415,42359
10:03,8.42,8.485,8.42,8.445,69993
10:04,8.44,8.44,8.39,8.41,42343
10:05,8.41,8.46,8.382,8.39,76152
10:06,8.4,8.435,8.395,8.415,34615
10:07,8.415,8.435,8.415,8.415,27641
10:08,8.415,8.445,8.405,8.4292,33770
10:09,8.43,8.45,8.405,8.445,47146
10:10,8.45,8.515,8.43,8.505,79864
10:11,8.5,8.535,8.5,8.525,71402
10:12,8.525,8.53,8.49,8.5191,56602
10:13,8.515,8.525,8.452,8.455,46014
10:14,8.455,8.462,8.435,8.46,60656
10:15,8.455,8.5,8.4401,8.465,44246
10:16,8.46,8.47,8.445,8.465,22229
10:17,8.465,8.485,8.458,8.46,30553
10:18,8.455,8.465,8.445,8.445,43044
10:19,8.45,8.485,8.45,8.475,45002
10:20,8.475,8.52,8.46,8.465,56693
10:21,8.465,8.465,8.42,8.435,54092
10:22,8.435,8.435,8.36,8.4,97155
10:23,8.4,8.415,8.385,8.41,38023
10:24,8.405,8.405,8.39,8.4,13169
10:25,8.4,8.45,8.39,8.4353,70274
10:26,8.44,8.4897,8.42,8.475,76956
10:27,8.475,8.482,8.465,8.475,25951
10:28,8.475,8.52,8.47,8.52,44128
10:29,8.52,8.53,8.48,8.5,64586
10:30,8.495,8.515,8.452,8.47,52261
10:31,8.465,8.525,8.4501,8.49,43776
10:32,8.4899,8.4899,8.47,8.47,16029
10:33,8.4799,8.48,8.47,8.47,13160
10:34,8.465,8.48,8.45,8.47,51270
10:35,8.475,8.49,8.465,8.465,32501
10:36,8.465,8.4792,8.45,8.465,62219
10:37,8.465,8.48,8.46,8.48,11751
10:38,8.48,8.5,8.46,8.475,40269
10:39,8.475,8.5,8.4728,8.49,48789
10:40,8.495,8.54,8.495,8.535,44439
10:41,8.535,8.5699,8.535,8.555,153756
10:42,8.55,8.56,8.545,8.545,40664
10:43,8.545,8.55,8.505,8.51,78987
