time,open,high,low,close,volume
09:30,3.77,3.7899,3.645,3.68,62400
09:31,3.67,3.7299,3.61,3.69,10303
09:32,3.7011,3.74,3.68,3.74,6021
09:33,3.72,3.8,3.7092,3.7995,16122
09:34,3.7773,3.85,3.74,3.849,18227
09:35,3.85,3.85,3.78,3.8057,13448
09:36,3.7927,3.85,3.76,3.76,27370
09:37,3.785,3.84,3.7601,3.8,10034
09:38,3.78,3.84,3.76,3.7601,33020
09:39,3.7613,3.81,3.7,3.7014,7475
09:40,3.7,3.76,3.68,3.6813,8396
09:41,3.68,3.68,3.63,3.6345,14150
09:42,3.6409,3.66,3.63,3.66,5781
09:43,3.7683,3.77,3.71,3.72,3442
09:44,3.7,3.7693,3.7,3.738,6266
09:45,3.73,3.7403,3.66,3.6981,12838
09:46,3.69,3.7,3.63,3.65,6141
09:47,3.645,3.65,3.63,3.64,6611
09:48,3.63,3.64,3.61,3.6103,9588
09:49,3.61,3.6397,3.57,3.58,34956
09:50,3.5967,3.62,3.53,3.56,22723
09:51,3.56,3.64,3.55,3.56,9227
09:52,3.5612,3.6201,3.5612,3.6,3017
09:53,3.58,3.6185,3.5743,3.5809,2310
09:54,3.5981,3.62,3.5886,3.62,3848
09:55,3.605,3.65,3.605,3.65,4429
09:56,3.63,3.6736,3.63,3.67,6873
09:57,3.66,3.6654,3.66,3.66,2504
09:58,3.66,3.72,3.6588,3.7,6437
09:59,3.72,3.72,3.66,3.7,5323
10:00,3.661,3.7,3.661,3.6725,4930
10:01,3.68,3.69,3.66,3.6725,2613
10:02,3.665,3.7,3.665,3.7,3562
10:03,3.6871,3.69,3.6747,3.69,3006
10:04,3.693,3.78,3.68,3.775,31368
10:05,3.79,3.91,3.7699,3.86,84095
10:06,3.87,3.8899,3.77,3.84,35057
10:07,3.8498,3.94,3.8498,3.905,47002
10:08,3.9099,3.93,3.74,3.85,67323
10:09,3.87,3.9,3.84,3.9,6287
10:10,3.8999,3.92,3.86,3.9018,26538
10:11,3.9177,3.9179,3.85,3.8554,13475
10:12,3.88,3.92,3.88,3.9001,15384
10:13,3.9018,3.93,3.87,3.87,20819
10:14,3.885,3.94,3.87,3.9191,9735
10:15,3.9,3.939,3.89,3.9099,19645
10:16,3.91,3.92,3.89,3.9,8812
10:17,3.894,3.91,3.86,3.8673,10857
10:18,3.87,3.88,3.8,3.8208,21397
10:19,3.82,3.88,3.77,3.88,21297
10:20,3.8471,3.8471,3.8,3.805,4314
10:21,3.8,3.84,3.8,3.82,4080
10:22,3.8299,3.83,3.8,3.8,3026
10:23,3.82,3.835,3.82,3.83,1249
10:24,3.84,3.88,3.8163,3.845,9460
10:25,3.88,3.88,3.81,3.81,3619
10:26,3.8445,3.88,3.8445,3.845,1919
10:27,3.87,3.8786,3.84,3.8786,3536
10:28,3.8689,3.9194,3.86,3.87,13508
10:29,3.9199,3.92,3.8811,3.9099,5404
10:30,3.91,3.92,3.894,3.8988,19943
10:31,3.9171,3.99,3.89,3.99,21988
10:32,3.97,3.99,3.9305,3.96,15462
10:33,3.96,3.98,3.9334,3.9786,16692
10:34,3.96,3.9694,3.9304,3.9408,10199
10:35,3.9347,3.95,3.92,3.94,8303
10:36,3.9328,3.95,3.91,3.9486,8671
10:37,3.9206,3.9398,3.92,3.9283,1654
10:38,3.92,3.93,3.92,3.93,3193
10:39,3.9207,3.925,3.91,3.915,11024
10:40,3.9021,3.915,3.893,3.895,5353
10:41,3.89,3.9072,3.89,3.9047,11544
10:42,3.91,3.91,3.905,3.91,1541
10:43,3.92,3.9283,3.89,3.89,4741
10:44,3.9024,3.905,3.8907,3.8939,2318
10:45,3.9192,3.9192,3.89,3.8927,1411
10:46,3.89,3.9,3.89,3.9,3198
10:47,3.91,3.96,3.91,3.96,12727
10:48,3.9471,3.9482,3.915,3.915,3026
10:49,3.925,4.05,3.925,4.04,42654
10:50,4.0499,4.08,4.01,4.04,27885
10:51,4.0334,4.0499,4.01,4.025,9095
10:52,4.025,4.025,3.96,3.98,15419
10:53,3.97,3.98,3.967,3.97,3523
10:54,4,4.0099,3.96,3.9918,6035
10:55,3.99,3.99,3.96,3.9798,5705
10:56,3.96,4,3.96,3.98,6037
10:57,3.985,4.01,3.985,3.99,7421
10:58,3.9704,4,3.97,4,7359
10:59,3.98,3.98,3.92,3.95,14517
11:00,3.975,4.02,3.96,3.96,8665
11:01,4.02,4.0299,4,4.0299,2500
11:02,3.9958,3.9958,3.975,3.98,1159
11:03,3.9514,4,3.95,3.9959,4813
11:04,4,4.02,3.9706,4.02,1284
11:05,4.0197,4.0197,4,4,3675
11:06,3.995,3.9989,3.99,3.99,1030
11:07,3.9988,4.0026,3.98,4,3804
11:08,4.0031,4.0031,3.98,3.98,2048
11:09,3.97,4,3.97,3.9932,2613
11:10,3.99,3.99,3.97,3.97,2362
11:11,3.97,3.97,3.91,3.95,6927
11:12,3.97,4,3.9449,3.9449,9736
11:13,3.94,3.97,3.9269,3.945,2004
11:14,3.95,3.96,3.95,3.96,737
11:15,3.95,3.96,3.9304,3.9304,4978
11:16,3.9367,3.95,3.9304,3.95,2784
11:17,3.9336,3.9696,3.9305,3.96,2332
11:18,3.95,3.95,3.9302,3.9302,2109
11:19,3.9465,3.97,3.9465,3.97,903
11:20,3.946,3.969,3.934,3.95,3667
11:21,3.9599,3.97,3.9599,3.97,5944
11:22,3.986,3.986,3.94,3.965,4318
11:23,3.97,3.97,3.9593,3.964,1636
11:24,3.9688,3.9847,3.93,3.9308,1972
11:25,3.93,3.93,3.84,3.8501,23321
11:26,3.8602,3.8603,3.8,3.8533,11790
11:27,3.85,3.85,3.84,3.845,1487
11:28,3.84,3.84,3.83,3.835,10268
11:29,3.8207,3.85,3.8207,3.85,5048
11:30,3.8498,3.85,3.82,3.82,4484
11:31,3.8349,3.8799,3.83,3.87,5597
11:32,3.8501,3.87,3.85,3.87,1215
11:33,3.845,3.85,3.82,3.84,3029
11:34,3.83,3.84,3.83,3.83,2396
11:35,3.85,3.85,3.8201,3.8201,611
11:36,3.83,3.8303,3.83,3.8303,805
11:37,3.85,3.85,3.8203,3.8473,2380
11:38,3.8865,3.8876,3.8573,3.8573,1590
11:39,3.88,3.88,3.87,3.88,2227
11:40,3.88,3.8981,3.87,3.87,2004
11:41,3.85,3.88,3.84,3.8671,4038
11:42,3.8427,3.8427,3.84,3.8407,1561
11:43,3.8454,3.8454,3.84,3.84,479
11:44,3.8486,3.8543,3.8486,3.8543,713
11:45,3.83,3.8401,3.815,3.8293,6499
11:46,3.8001,3.8001,3.76,3.7705,12923
11:47,3.7701,3.785,3.76,3.78,8006
11:48,3.76,3.76,3.7214,3.73,16336
11:49,3.73,3.74,3.71,3.722,7117
