time,open,high,low,close,volume
09:30,2.29,2.33,2.13,2.13,7424
09:31,2.1405,2.1405,2.1405,2.1405,1000
09:32,2.285,2.33,2.285,2.285,2065
09:33,2.272315,2.272315,2.272315,2.272315,321
09:43,2.1212,2.34,2.1212,2.305,1216
09:44,2.34,2.37,2.34,2.37,1166
09:45,2.35,2.3851,2.35,2.36,1949
09:47,2.36,2.44,2.36,2.4,27292
09:48,2.4,2.41,2.4,2.4051,12337
09:49,2.4,2.4,2.4,2.4,1763
09:50,2.405,2.405,2.405,2.405,421
09:51,2.405,2.41,2.4,2.4,8140
09:52,2.4051,2.4051,2.3513,2.3598,2874
09:53,2.36,2.42,2.36,2.3933,48869
09:55,2.39,2.39,2.39,2.39,170
09:56,2.4195,2.42,2.3849,2.3849,2386
09:57,2.4,2.4,2.4,2.4,500
09:58,2.4,2.4,2.36,2.36,1300
10:03,2.37,2.37,2.37,2.37,4306
10:05,2.35,2.355,2.35,2.355,2190
10:06,2.355,2.355,2.3502,2.3503,407
10:07,2.355,2.36,2.33,2.33,14529
10:08,2.33,2.33,2.33,2.33,300
10:09,2.34,2.34,2.32,2.32,900
10:10,2.3201,2.3201,2.3201,2.3201,135
10:11,2.3201,2.35,2.3201,2.35,3014
10:12,2.36,2.43,2.36,2.41,9673
10:13,2.44,2.44,2.39,2.42,3812
10:14,2.45,2.46,2.45,2.46,1219
10:15,2.46,2.46,2.43,2.4477,1629
10:16,2.405,2.405,2.3801,2.3801,1901
10:17,2.4,2.4,2.4,2.4,5000
10:18,2.405,2.405,2.371,2.405,500
10:21,2.38,2.38,2.38,2.38,244
10:23,2.43,2.43,2.43,2.43,258
10:24,2.35,2.37,2.34,2.37,11400
10:26,2.37,2.37,2.37,2.37,600
10:29,2.35,2.35,2.35,2.35,100
10:30,2.35,2.37,2.34,2.34,3562
10:31,2.35,2.35,2.34,2.34,555
10:33,2.3201,2.3201,2.3,2.3,507
10:43,2.29,2.29,2.27,2.27,302
10:45,2.26,2.27,2.1,2.1,1950
10:48,2.16,2.16,2.16,2.16,333
11:04,2.22,2.22,2.2,2.2,650
11:07,2.2,2.2,2.2,2.2,112
11:08,2.2,2.2,2.2,2.2,141
11:09,2.2,2.2,2.16,2.16,359
11:10,2.19,2.21,2.15,2.21,2673
11:21,2.265,2.265,2.265,2.265,1196
11:23,2.3121,2.3121,2.3121,2.3121,200
11:28,2.27,2.28,2.25,2.2795,8956
11:33,2.26,2.26,2.26,2.26,199
11:34,2.3,2.3,2.3,2.3,369
11:35,2.2751,2.2751,2.2751,2.2751,100
11:41,2.2967,2.2967,2.2967,2.2967,100
11:42,2.275,2.275,2.25,2.25,601
11:47,2.2882,2.2882,2.2882,2.2882,800
11:53,2.3016,2.3016,2.3016,2.3016,175
11:58,2.25,2.25,2.25,2.25,5000
12:01,2.28,2.28,2.28,2.28,200
12:04,2.28,2.29,2.28,2.29,400
12:06,2.28,2.29,2.28,2.29,440
12:07,2.28,2.29,2.28,2.29,213
12:08,2.3,2.3,2.3,2.3,27043
12:09,2.31,2.33,2.31,2.33,4530
12:10,2.338,2.34,2.33,2.34,1529
12:11,2.3413,2.3413,2.3413,2.3413,200
12:12,2.3445,2.3445,2.3445,2.3445,1000
12:19,2.3404,2.3404,2.3404,2.3404,150
12:20,2.35,2.37,2.34,2.3552,5443
12:23,2.38,2.4,2.38,2.4,2265
12:34,2.37,2.4,2.3601,2.39,4800
12:36,2.39,2.39,2.37,2.37,2948
12:37,2.36,2.39,2.36,2.38,589
12:39,2.395,2.395,2.3701,2.3701,837
