time,open,high,low,close,volume
09:30,1.25,1.25,1.25,1.25,217
09:38,1.22,1.22,1.22,1.22,372
09:39,1.23,1.23,1.23,1.23,176
09:43,1.2807,1.2807,1.267,1.267,200
09:45,1.261,1.261,1.261,1.261,700
09:47,1.26,1.26,1.26,1.26,402
09:50,1.25,1.25,1.25,1.25,1000
09:52,1.24,1.24,1.24,1.24,400
09:56,1.2011,1.2011,1.2011,1.2011,1000
10:00,1.244,1.244,1.244,1.244,100
10:01,1.2,1.2,1.2,1.2,10173
10:02,1.2468,1.2468,1.2468,1.2468,559
10:04,1.225,1.225,1.225,1.225,200
10:07,1.25,1.25,1.25,1.25,306
10:22,1.24,1.26,1.24,1.24,413
10:55,1.245,1.245,1.21,1.23,11000
10:58,1.23,1.23,1.23,1.23,400
10:59,1.215,1.22,1.18,1.205,10000
11:00,1.21,1.21,1.21,1.21,1039
11:01,1.19,1.2,1.18,1.18,12600
11:02,1.2286,1.2286,1.2286,1.2286,255
11:44,1.21,1.21,1.21,1.21,100
11:56,1.21,1.21,1.21,1.21,200
12:01,1.2001,1.2001,1.2001,1.2001,100
12:13,1.205,1.2098,1.205,1.2098,200
12:21,1.2,1.2,1.2,1.2,500
12:26,1.21,1.21,1.21,1.21,100
12:27,1.21,1.21,1.21,1.21,300
13:03,1.21,1.21,1.21,1.21,100
13:20,1.2214,1.2214,1.2214,1.2214,100
13:25,1.21,1.21,1.21,1.21,300
13:35,1.2053,1.2053,1.2053,1.2053,101
14:00,1.215,1.215,1.215,1.215,500
14:24,1.22,1.22,1.22,1.22,100
14:25,1.22,1.22,1.22,1.22,2812
14:26,1.22,1.22,1.215,1.215,2300
14:27,1.225,1.225,1.225,1.225,100
14:28,1.22,1.2294,1.22,1.2294,1200
14:36,1.225,1.225,1.225,1.225,100
14:46,1.22,1.22,1.21,1.22,835
14:49,1.22,1.22,1.22,1.22,104
14:50,1.225,1.225,1.225,1.225,200
15:00,1.225,1.225,1.225,1.225,100
15:06,1.22,1.22,1.215,1.215,1296
15:20,1.21,1.21,1.19,1.19,20383
15:21,1.19,1.19,1.19,1.19,10191
15:41,1.2,1.205,1.182,1.182,3700
15:49,1.1928,1.1928,1.1928,1.1928,2500
