time,open,high,low,close,volume
09:30,4.3,4.33,4.2201,4.2726,53716
09:31,4.26,4.26,4.14,4.14,65333
09:32,4.125,4.1497,4.0206,4.07,24295
09:33,4.07,4.132,4.07,4.105,31391
09:34,4.095,4.095,4.03,4.04,22545
09:35,4.04,4.065,4.03,4.05,8724
09:36,4.05,4.08,4,4.0024,32352
09:37,4.01,4.01,3.9,3.92,39129
09:38,3.9298,3.934,3.9,3.9094,38440
09:39,3.9008,3.91,3.8,3.86,90867
09:40,3.855,4.03,3.84,4.03,74356
09:41,4.035,4.11,4.03,4.1,84417
09:42,4.095,4.13,4.06,4.095,49217
09:43,4.1,4.13,4.08,4.1,25842
09:44,4.09,4.1,4.04,4.04,22271
09:45,4.04,4.08,4.04,4.07,15908
09:46,4.08,4.08,4.06,4.0775,1517
09:47,4.0702,4.075,4.064,4.075,6066
09:48,4.078,4.1,4.06,4.08,23048
09:49,4.09,4.09,4,4.03,15961
09:50,4.0119,4.0119,3.91,3.98,18317
09:51,3.97,3.98,3.91,3.915,21035
09:52,3.91,3.9103,3.85,3.86,15996
09:53,3.8586,3.87,3.85,3.856,9630
09:54,3.85,3.87,3.85,3.855,10711
09:55,3.855,3.8591,3.8,3.82,40037
09:56,3.82,3.831916,3.81,3.81,5168
09:57,3.835,3.835,3.71,3.77,22985
09:58,3.762,3.83,3.76,3.82,29055
09:59,3.84,3.88,3.82,3.83,37140
10:00,3.83,3.97,3.83,3.925,50279
10:01,3.93,3.9576,3.9,3.9199,13044
10:02,3.92,3.98,3.92,3.94,7591
10:03,3.95,3.97,3.94,3.97,5750
10:04,3.97,3.98,3.95,3.974677,4740
10:05,3.974,3.978,3.9,3.92,30026
10:06,3.9396,3.9396,3.916,3.916,6367
10:07,3.925,3.925,3.83,3.9,33714
10:08,3.9,3.91,3.83,3.85,36579
10:09,3.85,3.92,3.85,3.918,26734
10:10,3.9,3.9,3.9,3.9,1205
10:11,3.9,3.91,3.9,3.91,1225
10:12,3.9002,3.905,3.82,3.85,39262
10:13,3.86,3.86,3.8508,3.86,7898
10:14,3.86,3.865,3.8392,3.8392,3049
10:15,3.84,3.86,3.84,3.86,6001
10:16,3.87,3.9,3.87,3.885,15712
