time,open,high,low,close,volume
09:30,2.65,2.65,2.4204,2.4204,2851
10:26,2.365,2.365,2.365,2.365,110
10:29,2.365,2.365,2.365,2.365,198
10:30,2.28,2.28,2.28,2.28,181
10:31,2.35,2.35,2.35,2.35,200
10:35,2.429,2.429,2.429,2.429,111
10:40,2.36,2.36,2.36,2.36,100
10:41,2.26,2.26,2.26,2.26,145
10:42,2.2676,2.2676,2.2676,2.2676,1132
10:43,2.3067,2.3067,2.3067,2.3067,300
11:07,2.3,2.3,2.3,2.3,207
11:21,2.29,2.29,2.29,2.29,101
11:23,2.2942,2.2942,2.29,2.29,201
11:25,2.2965,2.3,2.2965,2.3,1046
11:30,2.31,2.31,2.31,2.31,206
11:35,2.325,2.325,2.325,2.325,100
12:07,2.32,2.32,2.29,2.29,470
12:15,2.29,2.29,2.29,2.29,749
12:26,2.27,2.27,2.27,2.27,100
12:50,2.25,2.25,2.215,2.215,923
12:52,2.25,2.25,2.25,2.25,517
13:17,2.28,2.31,2.28,2.31,1000
14:05,2.28,2.28,2.28,2.28,7000
15:37,2.28,2.28,2.28,2.28,104
15:38,2.295,2.31,2.295,2.31,400
15:43,2.3053,2.3053,2.3053,2.3053,150
15:55,2.304,2.31,2.295,2.31,1099
15:57,2.3,2.3,2.3,2.3,200
15:59,2.29,2.29,2.29,2.29,466
