time,open,high,low,close,volume
09:30,2.37,2.38,2.31,2.31,23170
09:31,2.3114,2.3114,2.31,2.31,300
09:32,2.3185,2.32,2.315,2.315,1400
09:33,2.33,2.33,2.33,2.33,300
09:34,2.32,2.32,2.3,2.3,2012
09:35,2.29,2.29,2.25,2.25,5852
09:36,2.25,2.25,2.25,2.25,100
09:38,2.25,2.2595,2.25,2.2595,304
09:39,2.25,2.2595,2.25,2.25,506
09:40,2.26,2.328,2.26,2.328,3270
09:41,2.29,2.328,2.26,2.26,2356
09:45,2.26,2.26,2.24,2.24,693
09:48,2.25,2.25,2.2012,2.211,1427
09:49,2.25,2.25,2.25,2.25,446
09:52,2.28,2.29,2.28,2.285,3841
09:54,2.3,2.3,2.29,2.29,29489
09:55,2.29,2.29,2.28,2.285,8668
09:56,2.28,2.28,2.27,2.27,6922
09:58,2.26,2.26,2.255,2.26,1000
09:59,2.265,2.265,2.265,2.265,200
10:00,2.265,2.265,2.265,2.265,100
10:01,2.27,2.27,2.27,2.27,300
10:02,2.275,2.275,2.27,2.27,500
10:03,2.27,2.27,2.27,2.27,500
10:04,2.27,2.28,2.27,2.27,343
10:07,2.27,2.2796,2.27,2.2796,300
10:08,2.27,2.28,2.2602,2.28,1522
10:09,2.28,2.28,2.28,2.28,1010
10:11,2.275,2.275,2.275,2.275,248
10:12,2.2856,2.2899,2.275,2.2897,2539
10:14,2.2896,2.2896,2.2603,2.275,2139
10:15,2.2899,2.2899,2.2603,2.287847,2957
10:16,2.2602,2.2898,2.2601,2.2626,3377
10:22,2.28,2.28,2.28,2.28,100
10:29,2.27,2.27,2.27,2.27,100
10:33,2.2899,2.29,2.2701,2.29,1771
10:35,2.2899,2.2899,2.2899,2.2899,153
10:36,2.2882,2.2891,2.2882,2.2891,765
10:41,2.29,2.32,2.29,2.32,1112
10:42,2.319,2.41,2.319,2.41,5074
10:43,2.35,2.48,2.32,2.4678,27657
10:44,2.425,2.4678,2.28,2.2993,33432
10:45,2.285,2.3,2.1501,2.215,18760
10:46,2.255,2.2978,2.1501,2.2,20002
10:47,2.24,2.25,2.15,2.25,13887
10:48,2.18,2.18,2.18,2.18,164
10:49,2.1815,2.1815,2.1815,2.1815,100
10:55,2.205,2.205,2.17,2.17,600
11:05,2.22,2.22,2.22,2.22,1045
11:06,2.2,2.2094,2.2,2.2094,207
11:13,2.19,2.19,2.19,2.19,100
11:16,2.2024,2.2024,2.19,2.19,306
11:17,2.2024,2.2094,2.17,2.2094,2693
11:18,2.2094,2.2094,2.2081,2.2081,918
11:19,2.2096,2.215,2.2096,2.215,935
11:20,2.2199,2.2299,2.2087,2.2299,5158
11:21,2.226268,2.2291,2.2246,2.2263,1232
11:22,2.23,2.23,2.23,2.23,308
11:24,2.23,2.23,2.23,2.23,153
11:25,2.23,2.2878,2.23,2.27,3289
11:26,2.27,2.27,2.27,2.27,2331
11:27,2.27,2.27,2.25,2.26,2142
11:28,2.26,2.26,2.23,2.2387,2307
11:29,2.2481,2.25,2.225,2.25,2501
11:30,2.26,2.26,2.26,2.26,478
11:31,2.26,2.3,2.1401,2.2,9879
11:32,2.24,2.2894,2.15,2.2,11160
11:33,2.17,2.2294,2.1001,2.2294,11871
11:34,2.22,2.2295,2.1147,2.1155,8593
11:35,2.1102,2.1993,2.1101,2.1931,4090
11:36,2.1991,2.1991,2.191571,2.191571,614
11:37,2.1885,2.1885,2.1001,2.1799,1168
11:38,2.1692,2.1799,2.14,2.1796,5386
11:39,2.1693,2.18,2.1693,2.1731,6231
11:40,2.1731,2.1796,2.1731,2.1738,2751
11:41,2.1738,2.18,2.1701,2.1701,1485
11:42,2.21,2.21,2.1708,2.1735,2212
11:43,2.1708,2.21,2.1708,2.21,1106
11:44,2.1735,2.1735,2.16,2.17,4165
11:45,2.17,2.2365,2.17,2.2365,2144
11:46,2.17,2.2365,2.17,2.2365,356
11:48,2.17,2.2395,2.17,2.2395,3116
11:49,2.24,2.24,2.17,2.226856,2765
11:50,2.22,2.2395,2.22,2.2395,759
11:51,2.24,2.24,2.17,2.24,767
11:52,2.2,2.23,2.2,2.23,2395
11:53,2.165,2.23,2.165,2.23,2463
11:54,2.21,2.23,2.21,2.23,814
11:55,2.23,2.23,2.1001,2.1558,4176
11:56,2.157618,2.157618,2.1558,2.1558,1109
11:58,2.19,2.19,2.1606,2.19,2312
11:59,2.2155,2.2155,2.19,2.19,1206
12:00,2.2187,2.2199,2.214291,2.2199,8848
12:01,2.22,2.2499,2.1608,2.1608,7695
12:02,2.2,2.2,2.1601,2.2,7746
12:03,2.1634,2.18,2.1634,2.18,994
12:04,2.1609,2.163,2.1609,2.163,1106
12:05,2.16,2.18,2.1201,2.16,11421
12:06,2.1601,2.1601,2.1,2.16,10164
12:27,2.14,2.14,2.14,2.14,100
12:43,2.13,2.13,2.13,2.13,100
12:45,2.1593,2.1599,2.153,2.1582,1377
12:46,2.1004,2.1595,2.1,2.1527,4540
12:47,2.1005,2.1591,2.1005,2.13,4256
12:48,2.13,2.13,2.13,2.13,153
12:49,2.1509,2.1525,2.1012,2.1525,2059
12:50,2.101,2.1523,2.101,2.1515,6644
12:53,2.13,2.16,2.13,2.16,3826
12:54,2.16,2.2368,2.12,2.22,9250
12:55,2.22,2.22,2.1001,2.2183,3688
12:56,2.15,2.2195,2.1001,2.2173,6586
12:58,2.13,2.23,2.1,2.23,7313
12:59,2.11,2.23,2.08,2.12,14355
13:00,2.14,2.18,2.12,2.16,7399
13:01,2.15,2.18,2.15,2.18,14046
13:02,2.18,2.18,2.11,2.12,13550
13:03,2.17,2.17,2.1,2.17,12449
13:06,2.1501,2.154117,2.13,2.13,1071
13:07,2.15,2.1503,2.115,2.1298,5793
13:08,2.127059,2.13,2.115,2.1264,5631
13:09,2.1004,2.1264,2.08,2.11608,12271
13:11,2.09,2.09,2.09,2.09,635
13:16,2.08,2.08,2.08,2.08,800
13:17,2.06,2.06,2.06,2.06,413
