time,open,high,low,close,volume
09:30,1.8,1.8527,1.8,1.82,12479
09:31,1.86,1.8698,1.86,1.8698,972
09:37,1.87,1.9,1.87,1.9,2445
09:38,1.98,1.98,1.98,1.98,1011
09:39,1.93,1.93,1.93,1.93,407
09:40,1.8901,1.8901,1.8901,1.8901,422
09:42,1.98,1.98,1.98,1.98,270
09:43,1.9899,1.9899,1.94,1.94,2249
09:45,1.9684,1.97,1.9684,1.97,843
09:46,1.98,1.98,1.97,1.97,1584
09:47,1.97,2.005,1.97,2.005,4191
09:48,2.05,2.065,2.05,2.065,2549
09:49,2.06,2.0642,2.0539,2.0642,601
09:50,2.08,2.08,2.0799,2.0799,541
09:52,2.05,2.05,2.015,2.015,1207
09:53,2,2.0219,2,2,1487
09:54,2.03,2.03,2.02,2.02,300
09:56,2.0165,2.02,1.995,1.995,878
09:57,1.9716,1.9716,1.9716,1.9716,2000
09:58,1.98,1.9864,1.98,1.9864,635
10:00,2,2,2,2,205
10:05,2.01,2.01,2.01,2.01,100
10:06,2.02,2.04,2.02,2.04,2822
10:10,2.0299,2.05,2.015,2.04,5057
10:12,2.04,2.04,2.04,2.04,500
10:13,2.04,2.05,2.04,2.05,1118
10:14,2.05,2.05,2.05,2.05,100
10:15,2.05,2.07,2.05,2.07,1204
10:16,2.07,2.07,2.07,2.07,1280
10:17,2.08,2.08,2.08,2.08,355
10:18,2.09,2.12,2.09,2.12,3659
10:19,2.1,2.1,2.1,2.1,158
10:21,2.1,2.1195,2.1,2.1195,470
10:22,2.1198,2.1199,2.11,2.11,945
10:23,2.12,2.12,2.1,2.1001,3255
10:25,2.115,2.115,2.1,2.1,4567
10:26,2.1,2.1,2.1,2.1,2000
10:27,2.14,2.15,2.14,2.14,771
10:28,2.125,2.125,2.125,2.125,301
10:29,2.12,2.12,2.04,2.05,3506
10:30,2.075,2.149,2,2,4108
10:32,2.0382,2.0382,2.0382,2.0382,665
10:33,2.0002,2.05,2.0001,2.05,2061
10:34,2.06,2.075,2.0501,2.06,770
10:35,2.0008,2.0008,2.0008,2.0008,501
10:38,2.0201,2.0201,2.0201,2.0201,600
10:39,2.03,2.03,2.03,2.03,2410
10:40,2.03,2.065,2.03,2.065,520
10:41,2.065,2.065,2.065,2.065,190
10:42,2.0439,2.0439,2.0439,2.0439,190
10:45,2.04,2.0781,2.04,2.0781,620
10:48,2.0381,2.0381,2.0381,2.0381,100
10:49,2.0666,2.0666,2.0666,2.0666,1000
10:50,2.07,2.07,2.05,2.05,465
10:51,2.03,2.05,2.03,2.05,1252
10:52,2.03,2.03,2,2,8847
10:55,2.015,2.015,2.015,2.015,183
10:56,2.005,2.03,2.005,2.03,900
10:57,2.03,2.03,2.03,2.03,254
10:59,2.01,2.03,2.01,2.01,1181
11:01,2.0699,2.0699,2,2,5232
11:02,2,2.01,1.9,1.9,5202
11:03,1.94,1.94,1.94,1.94,106
11:04,1.9101,1.9101,1.9101,1.9101,100
11:05,1.9106,2.03,1.9106,2.03,6284
11:06,1.975,1.975,1.975,1.975,700
11:07,1.992,2,1.912,1.97,2650
11:09,2.0123,2.0123,2.0123,2.0123,1050
11:12,2,2,2,2,362
11:13,2.0294,2.0294,2.0294,2.0294,181
11:14,1.9898,2.13,1.9898,2.04,4774
11:16,2.05,2.05,1.96,1.96,2000
11:17,2.0976,2.0976,2.0976,2.0976,2075
11:19,2.005,2.005,2.005,2.005,150
11:21,2,2,2,2,1253
11:26,2.02,2.02,2.02,2.02,400
11:32,2.02,2.02,2.02,2.02,330
11:36,2.0378,2.0378,2,2,1200
11:48,2.0232,2.0232,2.0232,2.0232,1500
11:52,2,2,2,2,784
11:53,2.0051,2.01,2.005,2.01,1023
12:05,2,2.01,2,2.01,200
12:06,2.0046,2.0046,2,2,681
12:11,2.01,2.01,2,2,567
12:22,2.0145,2.02,1.97,1.9701,3667
12:23,1.9968,2.005,1.96,1.97,2937
12:24,1.97,1.97,1.9601,1.9601,730
12:26,1.96,1.96,1.96,1.96,117
12:33,1.95,1.95,1.95,1.95,692
12:45,1.95,1.96,1.95,1.96,558
12:52,1.94,1.94,1.94,1.94,215
12:59,1.96,1.97,1.96,1.97,1760
13:01,1.97,1.975,1.9699,1.975,4132
13:06,1.9757,1.98,1.9757,1.98,1467
13:14,1.975,1.975,1.975,1.975,123
13:26,1.97,1.97,1.96,1.96,2222
13:52,1.96,1.96,1.96,1.96,200
13:59,1.97,1.97,1.96,1.97,8318
14:00,1.98,1.98,1.98,1.98,1407
14:02,2.005,2.005,2.005,2.005,100
14:03,1.98,1.98,1.98,1.98,1001
14:04,1.98,1.98,1.98,1.98,247
14:05,1.97,1.975,1.97,1.97,9322
14:07,1.96,1.96,1.96,1.96,329
14:20,1.9689,1.9689,1.9689,1.9689,100
14:21,1.97,1.97,1.97,1.97,300
14:22,1.97,1.97,1.97,1.97,2505
14:42,1.96,1.96,1.96,1.96,1241
14:48,1.93,1.93,1.93,1.93,105
14:52,1.95,1.95,1.95,1.95,200
15:29,1.9331,1.9331,1.9331,1.9331,195
15:33,1.96,1.96,1.96,1.96,1000
15:42,1.96,1.96,1.96,1.96,3898
15:46,1.96,1.96,1.955,1.955,1399
15:49,1.96,1.96,1.96,1.96,304
15:52,1.96,1.96,1.95,1.955,561
15:57,1.94,1.94,1.94,1.94,103
15:58,1.9592,1.9592,1.9592,1.9592,344
15:59,1.94,1.96,1.94,1.96,2688
09:30,1.99,1.9911,1.99,1.9911,1110
09:32,2.024,2.028,2.024,2.0264,1000
09:33,2.0279,2.06,2.0279,2.03,1355
09:35,2.045,2.06,2.045,2.045,1147
09:37,2.01,2.05,2.01,2.04,550
09:44,2,2.04,2,2.04,1053
09:59,2,2,2,2,2456
10:00,2.0399,2.0399,2.0399,2.0399,992
10:21,2.0001,2.0001,2.0001,2.0001,397
10:22,2.02,2.02,2.0055,2.0055,700
