time,open,high,low,close,volume
09:57,1.5099,1.5099,1.5099,1.5099,250
10:14,1.445,1.445,1.445,1.445,273
10:20,1.4126,1.4126,1.41,1.41,2000
10:35,1.4213,1.4213,1.4213,1.4213,540
10:45,1.4216,1.4216,1.4216,1.4216,273
11:24,1.43,1.43,1.43,1.43,562
13:25,1.4438,1.4438,1.4438,1.4438,700
14:47,1.42,1.4201,1.42,1.4201,1400
15:16,1.42,1.42,1.42,1.42,100
15:27,1.43,1.43,1.43,1.43,400
15:52,1.45,1.45,1.45,1.45,500
15:54,1.46,1.46,1.46,1.46,300
15:59,1.47,1.47,1.47,1.47,100
09:30,1.46,1.46,1.46,1.46,367
10:00,1.44,1.44,1.44,1.44,184
10:06,1.45,1.45,1.45,1.45,120
10:45,1.44,1.44,1.44,1.44,434
11:27,1.43,1.43,1.43,1.43,300
11:45,1.43,1.43,1.43,1.43,184
11:53,1.43,1.43,1.43,1.43,201
12:19,1.43,1.43,1.4202,1.4202,271
12:40,1.43,1.43,1.43,1.43,200
13:22,1.42,1.42,1.41,1.41,1380
13:37,1.41,1.41,1.41,1.41,300
13:52,1.42,1.42,1.42,1.42,600
14:05,1.42,1.42,1.42,1.42,560
14:07,1.41,1.41,1.41,1.41,100
14:14,1.41,1.41,1.41,1.41,200
14:22,1.41,1.42,1.41,1.42,497
14:39,1.41,1.41,1.41,1.41,100
14:54,1.41,1.41,1.41,1.41,100
15:48,1.42,1.42,1.415,1.415,400
