time,open,high,low,close,volume
09:30,7.63,7.6375,7.3675,7.4625,36351.48
09:31,7.465,7.5,7.2625,7.2675,17036.92
09:32,7.27,7.43,7.2575,7.42,16646.24
09:33,7.4025,7.415,7.3075,7.31,9318.68
09:34,7.3125,7.3125,7.15,7.1725,31871.08
09:35,7.17,7.235,7.1575,7.1975,19999.6
09:36,7.195,7.38,7.195,7.355,7051.68
09:37,7.3725,7.3825,7.325,7.335,7182.04
09:38,7.335,7.37,7.33,7.36,3541.68
09:39,7.3675,7.37,7.32,7.32,3038.4
09:40,7.32,7.335,7.1,7.1175,10462.16
09:41,7.1,7.135,7.0725,7.1262,12216.88
09:42,7.1225,7.25,7.12,7.1813,14629.16
09:43,7.185,7.185,7.0625,7.075,6728.56
09:44,7.0775,7.0925,7.0775,7.0825,8674
09:45,7.0825,7.0975,7.0775,7.0925,9110.4
09:46,7.09,7.1425,7.09,7.1345,3607.2
09:47,7.1398,7.2275,7.1325,7.2175,6421.28
09:48,7.2125,7.225,7.1775,7.2025,6582.68
09:49,7.195,7.2,7.1425,7.1725,6233.72
09:50,7.175,7.25,7.165,7.2175,6201.4
09:51,7.2163,7.2975,7.205,7.29,14113.44
09:52,7.2975,7.5,7.29,7.4225,38335.76
09:53,7.45,7.745,7.4,7.6325,46196.92
09:54,7.625,7.725,7.565,7.6275,18656.24
09:55,7.63,7.63,7.325,7.4975,18066.32
09:56,7.4975,7.58,7.435,7.4525,8598.76
09:57,7.435,7.5825,7.4325,7.5725,8999.92
09:58,7.57,7.57,7.3375,7.5,6057.92
09:59,7.5,7.575,7.475,7.49,5423.16
10:00,7.5,7.75,7.4775,7.75,21510.72
10:01,7.7975,8.15,7.755,8.1375,73797
10:02,8.135,8.15,7.96,8,35390.6
10:03,8,8.11,7.75,7.815,41806.6
10:04,7.815,8,7.755,7.9575,16489.32
10:05,7.975,8.0875,7.75,7.825,37933.12
10:06,7.7925,7.895,7.64,7.7975,16427.76
10:07,7.8175,7.97,7.75,7.97,13157.96
10:08,7.97,8.23,7.8025,8.18,30294.92
10:09,8.18,8.45,8.12,8.185,75640.8
10:10,8.2125,8.4725,8.155,8.38,63008.84
10:11,8.4025,8.4475,8.1325,8.1775,48746.12
10:12,8.1775,8.1825,7.6753,7.94,38299.52
10:13,7.9375,8.15,7.8975,7.8975,28830.28
10:14,7.8988,8.12,7.8875,8.1175,13725.8
10:15,8.12,8.375,8.1075,8.31,46884.2
10:16,8.34,8.34,7.9625,8.0047,27525.04
10:17,8,8.0675,7.825,7.825,22136.04
10:18,7.825,7.9975,7.5853,7.945,14992.84
10:19,7.9625,8.105,7.905,8.0425,15566.8
10:20,8.1225,8.1225,7.9725,8.0475,9961.48
10:21,8.0475,8.22,8.0275,8.185,21120.6
10:22,8.21,8.43,8.13,8.3475,44966.8
10:23,8.3475,8.3775,8.2,8.295,28564.76
10:24,8.3,8.5,8.135,8.475,45982.44
10:25,8.465,8.74,8.3775,8.685,111617.16
10:26,8.6725,8.7725,8.5075,8.765,85039.12
10:27,8.7525,8.845,8.1628,8.355,87419.48
10:28,8.335,8.7525,8.3175,8.6025,46644.64
10:29,8.6025,8.9875,8.6,8.6925,85605.96
10:30,8.6875,8.93,8.6875,8.71,71685
10:31,8.725,8.75,8.485,8.4988,45333.68
10:32,8.485,8.5175,8.285,8.2875,54068.8
10:33,8.2875,8.4875,8.1025,8.1725,50245.32
10:34,8.175,8.195,7.5975,7.71,87362.6
10:35,7.7325,7.9425,7.71,7.925,31692.88
10:36,7.9375,8.055,7.925,7.95,27877.48
10:37,7.95,8.0325,7.9425,7.9875,17087.4
10:38,7.995,8.0175,7.75,7.755,21985.04
10:39,7.76,7.84,7.71,7.79,15355.48
10:40,7.7925,7.7925,7.22,7.47,50040.64
10:41,7.4925,7.6925,7.3875,7.515,25936.76
10:42,7.5,7.5225,7.4,7.46,11083
10:43,7.4675,7.59,7.4675,7.5025,8093.88
10:44,7.5025,7.585,7.4988,7.565,5202.84
10:45,7.5675,7.69,7.5425,7.5575,13810.72
10:46,7.5738,7.6675,7.38,7.3875,13209.72
10:47,7.38,7.5575,7.375,7.48,12680.64
10:48,7.475,7.6625,7.475,7.5425,5960.32
10:49,7.5525,7.5575,7.425,7.425,5253.28
10:50,7.425,7.6025,7.4,7.57,5300.8
10:51,7.5675,7.61,7.5375,7.5375,4932.2
10:52,7.5425,7.5625,7.5,7.535,4244.12
10:53,7.5413,7.5625,7.475,7.55,5129.24
10:54,7.555,7.5625,7.5125,7.5375,5816.92
10:55,7.545,7.6575,7.52,7.6375,7791.96
10:56,7.655,7.655,7.6,7.605,3981.84
10:57,7.6,7.6625,7.585,7.6025,4546.72
10:58,7.58,7.6475,7.58,7.6175,5732.72
10:59,7.6175,7.65,7.5525,7.5525,4845.36
11:00,7.5525,7.575,7.4375,7.4625,8519.68
11:01,7.465,7.5975,7.4375,7.5325,7767.28
11:02,7.5325,7.5875,7.5025,7.505,2941.56
11:03,7.505,7.5075,7.4,7.4025,6949.04
11:04,7.4125,7.4125,7.25,7.2725,14288.88
11:05,7.2675,7.3675,7.26,7.33,6300
11:06,7.305,7.365,7.305,7.3525,3260.96
11:07,7.365,7.365,7.25,7.3,3914.24
11:08,7.295,7.295,7.1975,7.1975,9683.44
11:09,7.2,7.34,7.1775,7.3375,9210.28
11:10,7.3225,7.34,7.305,7.33,1379.92
11:11,7.3275,7.46,7.325,7.4175,3270.88
11:12,7.4075,7.415,7.295,7.305,3821.36
11:13,7.3075,7.4,7.3075,7.3275,2177.2
11:14,7.3488,7.375,7.3125,7.325,2927.92
11:15,7.3125,7.375,7.3125,7.3375,3895.88
11:16,7.345,7.3475,7.305,7.3175,3929.16
11:17,7.3175,7.3175,7.2925,7.295,1908.52
11:18,7.3,7.3,7.256,7.2725,1544.32
11:19,7.2613,7.295,7.2525,7.285,4015.04
11:20,7.2863,7.325,7.2675,7.2975,4080.6
11:21,7.3,7.375,7.3,7.365,3612.56
11:22,7.3475,7.5872,7.325,7.42,13433.28
11:23,7.4825,7.4875,7.3775,7.3775,6748.08
11:24,7.4175,7.485,7.4175,7.485,5114.24
11:25,7.4575,7.485,7.3925,7.405,10914.6
11:26,7.415,7.4475,7.1775,7.2425,11081.6
11:27,7.2425,7.255,7.2175,7.2325,5151.36
11:28,7.2325,7.2475,7.1125,7.1525,11112.6
11:29,7.175,7.2225,7.155,7.215,3232.6
11:30,7.205,7.22,7.025,7.0725,13600.8
11:31,7.0725,7.1025,6.995,7.0425,17132.8
11:32,7.0325,7.3372,7.005,7.18,12579.68
11:33,7.1625,7.18,7.0725,7.0825,2135.24
11:34,7.0925,7.22,7.0925,7.1125,2985.6
11:35,7.1125,7.235,7.1125,7.215,1489.8
11:36,7.1975,7.215,7.18,7.2,2288.96
11:37,7.2,7.3372,7.1925,7.1925,3623.24
11:38,7.1925,7.1925,7.05,7.0788,3913.68
11:39,7.08,7.1975,7.08,7.115,3191.8
11:40,7.115,7.2,7.115,7.1875,2273.96
11:41,7.2,7.2,7.1275,7.175,1097.28
11:42,7.1275,7.175,7.1263,7.15,896.36
11:43,7.15,7.2275,7.1475,7.18,1609.8
11:44,7.201,7.25,7.16,7.25,5157.68
11:45,7.2525,7.275,7.2275,7.2623,1703
11:46,7.2625,7.2731,7.1775,7.1775,1904.2
11:47,7.2025,7.2125,7.18,7.2,375.36
11:48,7.2025,7.245,7.2,7.2325,943.64
11:49,7.2425,7.2425,7.16,7.185,3159.68
11:50,7.1825,7.225,7.17,7.225,3475.08
11:51,7.2125,7.2187,7.1875,7.1875,1845
11:52,7.1925,7.1975,7.17,7.1925,1390
11:53,7.185,7.195,7.17,7.195,1397
11:54,7.195,7.2,7.07,7.1675,5721.2
11:55,7.165,7.2,7.135,7.1925,1086.72
11:56,7.1925,7.2225,7.1925,7.22,2733.96
11:57,7.2125,7.2375,7.2075,7.22,2209.76
11:58,7.2225,7.2575,7.2225,7.255,1748.8
11:59,7.2375,7.3075,7.2375,7.3,4364.76
