time,open,high,low,close,volume
09:30,3.17,3.17,3.17,3.17,170
09:41,2.93,2.93,2.9,2.9,2002
10:09,2.9,2.9,2.9,2.9,2683
10:11,2.9,2.92,2.9,2.92,2672
10:39,2.92,2.92,2.9006,2.9006,1300
11:04,2.91,2.91,2.91,2.91,160
11:06,2.94,2.94,2.94,2.94,1000
11:11,2.94,2.94,2.92,2.92,413
11:13,2.92,2.92,2.9,2.9,2863
11:17,2.9,2.9,2.9,2.9,835
11:19,2.88,2.88,2.88,2.88,331
11:37,2.8986,2.9,2.89,2.895,1175
11:38,2.895,2.895,2.895,2.895,100
11:50,2.9079,2.93,2.9079,2.93,670
12:33,2.9062,2.9062,2.9062,2.9062,150
12:52,2.89,2.895,2.89,2.895,814
13:16,2.895,2.895,2.895,2.895,300
13:34,2.88,2.88,2.88,2.88,1436
13:35,2.88,2.88,2.88,2.88,396
13:36,2.88,2.88,2.88,2.88,1194
13:37,2.86,2.86,2.86,2.86,150
13:41,2.85,2.85,2.85,2.85,4359
13:43,2.85,2.85,2.77,2.8,4233
13:46,2.8,2.8,2.76,2.8,421
13:48,2.8,2.8,2.795,2.8,2306
13:49,2.8126,2.8126,2.8126,2.8126,148
13:59,2.8201,2.8201,2.82,2.82,1100
14:00,2.87,2.92,2.87,2.91,1020
14:10,2.92,2.93,2.92,2.93,395
14:15,2.98,2.98,2.98,2.98,100
14:28,2.93,2.93,2.93,2.93,800
15:24,2.95,2.95,2.95,2.95,100
15:43,2.95,2.95,2.95,2.95,162
09:30,2.97,2.97,2.97,2.97,239
09:40,2.9575,2.9575,2.9575,2.9575,500
10:29,2.945,2.945,2.945,2.945,260
10:34,2.92,2.92,2.9,2.9,1001
10:40,2.9387,2.94,2.93,2.94,1400
10:45,2.94,2.94,2.94,2.94,108
11:16,2.96,2.96,2.9589,2.9589,240
11:50,2.93,2.93,2.93,2.93,100
11:51,2.9405,2.9405,2.9405,2.9405,150
12:06,2.95,2.96,2.9317,2.95,1455
12:08,2.95,2.95,2.95,2.95,120
12:31,2.9193,2.9193,2.9193,2.9193,1500
13:18,2.95,2.95,2.95,2.95,100
15:10,2.9,2.91,2.89,2.89,5495
15:23,2.9003,2.9003,2.9003,2.9003,1500
15:25,2.913,2.913,2.913,2.913,600
15:43,2.9,2.9,2.89,2.89,6474
15:51,2.9276,2.9276,2.9276,2.9276,500
15:59,2.925,2.94,2.925,2.94,263
