time,open,high,low,close,volume
09:30,7.43,7.48,7.385,7.46,67677
09:31,7.4374,7.5,7.4374,7.4602,22333
09:33,7.46,7.46,7.4592,7.46,683
09:34,7.475,7.51,7.475,7.5,7551
09:35,7.5,7.5,7.48,7.4925,3143
09:36,7.484,7.484,7.445,7.4564,3642
09:37,7.45,7.46,7.35,7.37,9629
09:38,7.355,7.355,7.145,7.15,70103
09:39,7.155,7.19,7.155,7.17,10572
09:40,7.19,7.245,7.165,7.175,17727
09:41,7.18,7.22,7.1,7.22,11464
09:42,7.2,7.27,7.2,7.255,11972
09:43,7.255,7.255,7.23,7.24,3828
09:44,7.22,7.22,7.15,7.175,10913
09:45,7.15,7.15,7.1,7.145,7880
09:46,7.15,7.155,7.15,7.155,893
09:47,7.16,7.175,7.16,7.175,1129
09:48,7.175,7.185,7.175,7.185,1852
09:49,7.185,7.195,7.1501,7.195,2105
09:50,7.195,7.2,7.19,7.2,2592
09:51,7.2074,7.23,7.19,7.23,4253
09:52,7.23,7.23,7.205,7.21,2794
09:53,7.215,7.215,7.2,7.2,3693
09:54,7.2,7.2,7.145,7.145,11940
09:55,7.145,7.225,7.1315,7.225,18204
09:56,7.22,7.25,7.22,7.25,11515
09:57,7.25,7.32,7.245,7.31,10559
09:58,7.319,7.33,7.3,7.33,2926
09:59,7.315,7.34,7.31,7.32,12819
10:00,7.32,7.35,7.32,7.34,11298
10:01,7.34,7.34,7.315,7.34,12916
10:02,7.34,7.34,7.28,7.31,10736
10:03,7.33,7.3368,7.3,7.325,6342
10:04,7.34,7.34,7.325,7.335,4478
10:05,7.34,7.34,7.32,7.325,11453
10:06,7.325,7.325,7.3,7.305,2032
10:07,7.32,7.32,7.31,7.31,391
10:08,7.32,7.34,7.32,7.34,2961
10:09,7.34,7.38,7.34,7.38,8589
10:10,7.375,7.375,7.28,7.35,25282
10:11,7.38,7.4,7.31,7.34,14143
10:12,7.33,7.33,7.25,7.2959,12262
10:13,7.305,7.305,7.29,7.305,1612
10:14,7.315,7.315,7.3,7.315,2093
10:15,7.3,7.3,7.255,7.255,3500
10:16,7.27,7.27,7.27,7.27,347
10:17,7.27,7.27,7.27,7.27,1810
10:18,7.26,7.27,7.26,7.27,2044
10:19,7.28,7.28,7.265,7.27,2196
10:21,7.2799,7.2799,7.26,7.27,1395
10:22,7.27,7.28,7.27,7.27,1046
10:23,7.27,7.27,7.24,7.24,2404
10:24,7.24,7.25,7.24,7.245,9169
10:25,7.245,7.245,7.245,7.245,918
10:26,7.24,7.242,7.24,7.24,1968
10:27,7.23,7.24,7.23,7.23,2158
10:28,7.23,7.25,7.23,7.25,1109
10:29,7.235,7.24,7.235,7.24,1346
10:30,7.23,7.23,7.23,7.23,791
10:31,7.24,7.24,7.24,7.24,1853
10:32,7.24,7.25,7.23,7.24,1965
10:33,7.25,7.285,7.25,7.28,3402
10:34,7.29,7.29,7.28,7.28,863
10:35,7.28,7.28,7.28,7.28,306
10:36,7.285,7.33,7.28,7.33,5299
10:37,7.335,7.3493,7.29,7.3,7593
10:38,7.315,7.315,7.315,7.315,670
10:39,7.315,7.315,7.3,7.3,2028
10:40,7.3,7.31,7.275,7.305,4522
10:41,7.305,7.305,7.305,7.305,655
10:42,7.29,7.29,7.29,7.29,1104
10:43,7.28,7.28,7.28,7.28,1123
10:44,7.275,7.28,7.275,7.28,1573
10:45,7.285,7.2899,7.28,7.2899,5036
10:46,7.29,7.3,7.29,7.29,1027
10:47,7.295,7.295,7.295,7.295,391
10:48,7.3,7.31,7.29,7.29,3515
10:49,7.28,7.29,7.28,7.29,1746
10:50,7.3,7.31,7.3,7.31,867
10:51,7.31,7.32,7.3,7.32,1730
10:52,7.315,7.315,7.315,7.315,483
10:53,7.315,7.315,7.3,7.305,2081
10:54,7.3,7.315,7.29,7.315,2696
10:55,7.32,7.32,7.31,7.31,1022
10:56,7.3,7.3,7.3,7.3,239
10:57,7.31,7.31,7.29,7.295,2263
10:58,7.29,7.295,7.29,7.295,349
10:59,7.29,7.295,7.29,7.295,1008
11:00,7.29,7.29,7.285,7.285,1431
11:01,7.285,7.285,7.28,7.28,1233
11:02,7.28,7.29,7.28,7.28,960
11:03,7.28,7.28,7.27,7.2788,2031
11:04,7.29,7.29,7.265,7.27,5421
11:06,7.26,7.26,7.26,7.26,654
11:07,7.27,7.2814,7.27,7.2814,932
11:08,7.27,7.275,7.265,7.265,1208
11:09,7.27,7.27,7.24,7.245,2130
11:10,7.245,7.245,7.2435,7.2435,572
11:11,7.24,7.24,7.24,7.24,372
11:12,7.245,7.245,7.22,7.22,1779
11:13,7.2282,7.2282,7.2282,7.2282,843
11:14,7.225,7.225,7.225,7.225,204
11:15,7.22,7.2207,7.21,7.2207,2378
11:17,7.22,7.22,7.205,7.21,4436
11:18,7.21,7.21,7.2,7.21,1294
11:19,7.21,7.21,7.21,7.21,601
11:20,7.218,7.218,7.2,7.2011,9354
11:21,7.21,7.22,7.2,7.22,6853
11:22,7.21,7.215,7.21,7.215,2873
11:23,7.2101,7.2101,7.2101,7.2101,270
11:24,7.21,7.22,7.21,7.21,1946
11:26,7.22,7.22,7.22,7.22,522
11:27,7.21,7.21,7.2,7.2,834
11:28,7.22,7.22,7.22,7.22,753
11:29,7.22,7.22,7.22,7.22,711
11:30,7.215,7.22,7.215,7.22,2206
11:31,7.225,7.225,7.225,7.225,480
11:32,7.22,7.22,7.205,7.21,3092
11:33,7.21,7.21,7.21,7.21,682
11:34,7.215,7.215,7.215,7.215,1262
11:35,7.22,7.24,7.22,7.24,2075
11:36,7.23,7.235,7.22,7.23,3537
11:37,7.225,7.23,7.22,7.2201,5934
11:38,7.22,7.22,7.19,7.19,2895
11:39,7.19,7.205,7.17,7.17,1871
11:40,7.18,7.18,7.18,7.18,456
11:41,7.19,7.19,7.17,7.17,1045
11:42,7.17,7.17,7.16,7.16,818
11:44,7.1799,7.19,7.17,7.185,3410
11:45,7.18,7.18,7.18,7.18,961
11:48,7.18,7.2,7.18,7.2,3717
11:49,7.2016,7.2016,7.2,7.2,645
11:50,7.19,7.19,7.19,7.19,1000
11:51,7.18,7.2021,7.18,7.2021,2655
11:52,7.205,7.205,7.205,7.205,230
11:53,7.215,7.22,7.2,7.2,5681
11:54,7.19,7.205,7.18,7.205,3138
11:55,7.22,7.22,7.215,7.215,10460
11:56,7.22,7.26,7.22,7.26,4318
11:57,7.24,7.28,7.24,7.275,6275
11:58,7.28,7.28,7.28,7.28,1220
11:59,7.28,7.28,7.28,7.28,665
12:00,7.28,7.28,7.27,7.28,3000
12:01,7.28,7.28,7.25,7.25,10784
12:02,7.24,7.26,7.24,7.255,25232
12:03,7.24,7.255,7.23,7.24,1206
12:04,7.24,7.24,7.235,7.24,18772
12:05,7.25,7.34,7.25,7.34,92877
12:06,7.325,7.34,7.325,7.33,1507
12:07,7.33,7.39,7.33,7.39,56216
12:08,7.4,7.45,7.39,7.45,17667
12:09,7.44,7.47,7.44,7.45,27734
12:10,7.4497,7.49,7.4497,7.49,11925
12:11,7.49,7.495,7.48,7.485,36916
12:12,7.48,7.49,7.46,7.48,83664
12:13,7.48,7.505,7.43,7.45,13383
12:14,7.46,7.46,7.445,7.46,1507
12:15,7.46,7.48,7.45,7.45,6291
12:16,7.445,7.45,7.44,7.45,23420
12:17,7.45,7.45,7.44,7.45,1779
12:18,7.44,7.47,7.43,7.47,72227
12:19,7.47,7.47,7.37,7.39,39209
12:20,7.39,7.45,7.38,7.45,18014
12:21,7.45,7.45,7.45,7.45,1601
12:22,7.4497,7.46,7.44,7.46,837
12:23,7.45,7.475,7.45,7.46,32770
12:24,7.47,7.48,7.47,7.48,1096
12:25,7.48,7.51,7.48,7.51,3953
12:26,7.5255,7.545,7.52,7.545,3161
12:27,7.545,7.545,7.525,7.525,1871
12:28,7.51,7.51,7.49,7.49,35163
12:29,7.5,7.55,7.5,7.54,11322
12:30,7.54,7.55,7.54,7.54,62230
12:31,7.54,7.55,7.53,7.55,36973
12:32,7.57,7.6,7.54,7.565,29675
12:33,7.565,7.59,7.5626,7.59,9462
12:34,7.585,7.585,7.585,7.585,1225
12:35,7.5725,7.61,7.55,7.555,15299
12:36,7.56,7.57,7.56,7.57,2034
12:37,7.55,7.55,7.54,7.55,10522
12:38,7.55,7.5572,7.55,7.55,1052
12:39,7.5492,7.58,7.5492,7.58,4503
12:40,7.575,7.575,7.575,7.575,634
12:41,7.5999,7.6,7.555,7.555,7681
12:42,7.555,7.555,7.545,7.55,4167
12:43,7.55,7.56,7.55,7.56,756
12:44,7.56,7.56,7.555,7.555,1306
12:45,7.558,7.58,7.5554,7.57,5627
12:46,7.56,7.58,7.56,7.57,490
12:47,7.57,7.57,7.57,7.57,3144
12:48,7.56,7.57,7.56,7.57,1279
12:49,7.58,7.58,7.57,7.57,779
