time,open,high,low,close,volume
09:30,1.95,1.95,1.9216,1.925,5572
09:31,1.925,1.925,1.925,1.925,500
09:32,1.925,1.925,1.925,1.925,500
09:35,1.915,1.918,1.9,1.9,3371
09:37,1.9,1.9,1.9,1.9,1000
09:38,1.9599,1.9599,1.9599,1.9599,10000
09:39,1.93,1.945,1.92,1.945,715
09:41,1.945,1.945,1.94,1.945,5000
09:42,1.93,1.93,1.93,1.93,710
09:43,1.9399,1.94,1.9399,1.94,2000
09:48,1.935,1.9399,1.935,1.9399,1071
09:50,1.94,1.94,1.94,1.94,529
09:54,1.945,1.945,1.945,1.945,500
09:55,1.945,1.9599,1.945,1.9599,606
10:00,1.94,1.94,1.94,1.94,100
10:02,1.95,1.95,1.95,1.95,2000
10:04,1.95,1.95,1.95,1.95,633
10:10,1.9561,1.9561,1.9561,1.9561,4671
10:11,1.9554,1.9554,1.9554,1.9554,255
10:12,1.96,1.96,1.96,1.96,1897
10:17,1.9555,1.9555,1.9438,1.945,860
10:28,1.954,1.954,1.954,1.954,148
10:32,1.958,1.96,1.958,1.96,1200
10:37,1.96,1.96,1.96,1.96,619
10:38,1.96,1.97,1.96,1.97,7200
10:39,1.97,1.98,1.97,1.98,6117
10:40,1.9707,1.9707,1.9707,1.9707,2002
10:41,1.975,1.975,1.975,1.975,400
10:44,1.975,1.975,1.975,1.975,450
10:45,1.9799,1.9799,1.9799,1.9799,1000
10:49,1.978,1.98,1.9701,1.975,6800
10:58,1.975,1.975,1.975,1.975,350
10:59,1.975,1.975,1.975,1.975,100
11:03,1.975,1.975,1.975,1.975,337
11:05,1.9708,1.9708,1.9708,1.9708,500
11:12,1.975,1.98,1.975,1.98,1200
11:13,1.975,1.98,1.97,1.975,11502
11:16,1.97,1.975,1.97,1.975,10200
11:19,1.97,1.98,1.97,1.975,16230
11:27,1.97,1.97,1.97,1.97,1500
11:33,1.97,1.97,1.97,1.97,1502
11:34,1.975,1.975,1.97,1.97,7600
11:37,1.97,1.97,1.97,1.97,1502
11:43,1.97,1.97,1.97,1.97,1600
11:48,1.9792,1.9792,1.97,1.97,2244
11:49,1.975,1.975,1.975,1.975,100
11:52,1.9701,1.9701,1.9701,1.9701,818
11:57,1.9799,1.9799,1.9799,1.9799,1567
12:00,1.98,1.98,1.98,1.98,7910
12:01,1.975,1.975,1.975,1.975,100
12:02,1.975,1.975,1.975,1.975,201
12:05,1.979,1.979,1.979,1.979,1500
12:06,1.98,1.98,1.975,1.975,2150
12:18,1.9728,1.9728,1.9728,1.9728,300
12:23,1.9742,1.975,1.9742,1.975,8300
12:25,1.975,1.975,1.975,1.975,165
12:27,1.975,1.975,1.975,1.975,279
12:28,1.975,1.975,1.975,1.975,9300
12:30,1.97,1.97,1.97,1.97,100
12:32,1.975,1.975,1.97,1.975,1600
12:39,1.9728,1.9728,1.9728,1.9728,2583
12:53,1.97,1.975,1.97,1.975,1233
13:04,1.97,1.975,1.97,1.975,2000
13:17,1.975,1.9793,1.975,1.9793,5000
13:26,1.97,1.97,1.97,1.97,100
13:51,1.97,1.97,1.97,1.97,100
13:54,1.9707,1.9707,1.9701,1.9701,2427
13:55,1.97,1.975,1.97,1.9701,6053
13:56,1.97,1.975,1.965,1.965,7282
13:57,1.96,1.98,1.96,1.98,6094
13:58,1.971,1.971,1.971,1.971,915
14:08,1.965,1.965,1.965,1.965,100
14:17,1.96,1.96,1.96,1.96,100
14:19,1.9595,1.9595,1.9595,1.9595,100
14:22,1.96,1.96,1.96,1.96,2100
14:39,1.95,1.95,1.95,1.95,900
14:41,1.96,1.96,1.96,1.96,100
14:50,1.9543,1.9543,1.9543,1.9543,2001
14:51,1.95,1.95,1.95,1.95,2000
15:09,1.955,1.955,1.955,1.955,325
15:15,1.95,1.95,1.95,1.95,1500
15:18,1.955,1.955,1.955,1.955,262
15:32,1.955,1.955,1.9367,1.9367,2723
15:38,1.9452,1.9452,1.9452,1.9452,1000
15:44,1.94,1.94,1.94,1.94,400
15:58,1.942615,1.942615,1.94,1.94,1700
16:00,1.96,1.96,1.96,1.96,102
09:30,1.91,1.92,1.91,1.91,512
09:35,1.91,1.91,1.91,1.91,105
09:38,1.9123,1.9123,1.9123,1.9123,100
09:45,1.93,1.93,1.93,1.93,561
