time,open,high,low,close,volume
09:32,3.77,3.77,3.77,3.77,108
09:46,3.7,3.7,3.7,3.7,100
09:48,3.7404,3.7404,3.7404,3.7404,1002
09:53,3.72,3.72,3.72,3.72,301
10:02,3.7,3.7,3.68,3.68,1233
10:06,3.6009,3.6009,3.6009,3.6009,506
10:09,3.6891,3.6891,3.6,3.6,301
10:10,3.61,3.61,3.54,3.54,684
10:13,3.45,3.45,3.45,3.45,205
10:14,3.6515,3.6515,3.6466,3.6466,555
10:15,3.56,3.6,3.56,3.6,618
10:21,3.61,3.61,3.6,3.6,711
10:22,3.52,3.6195,3.52,3.5296,1078
10:35,3.52,3.52,3.52,3.52,101
10:36,3.52,3.52,3.52,3.52,100
10:41,3.43,3.43,3.43,3.43,100
10:49,3.412,3.412,3.412,3.412,100
10:57,3.4,3.4,3.4,3.4,100
10:58,3.42,3.42,3.41,3.42,1507
10:59,3.42,3.42,3.42,3.42,301
11:00,3.42,3.42,3.355,3.355,437
11:02,3.36,3.36,3.36,3.36,235
11:07,3.36,3.36,3.36,3.36,103
11:12,3.36,3.36,3.36,3.36,100
11:27,3.36,3.36,3.36,3.36,100
11:29,3.35,3.35,3.35,3.35,300
11:34,3.3,3.3,3.3,3.3,100
11:43,3.35,3.35,3.35,3.35,104
11:49,3.3109,3.3109,3.3109,3.3109,175
11:52,3.315,3.315,3.315,3.315,102
12:01,3.34,3.34,3.34,3.34,100
12:10,3.35,3.35,3.33,3.3347,2500
12:11,3.332,3.332,3.332,3.332,100
12:12,3.33,3.33,3.33,3.33,348
12:17,3.29,3.3,3.22,3.22,1997
12:26,3.25,3.25,3.2,3.2,200
12:34,3.2,3.2,3.2,3.2,100
12:41,3.28,3.28,3.28,3.28,100
12:42,3.28,3.3595,3.28,3.34,1906
12:43,3.29,3.42,3.28,3.42,1700
12:44,3.41,3.42,3.38,3.42,2325
12:46,3.41,3.42,3.4,3.42,1997
12:49,3.41,3.42,3.3974,3.3974,1512
12:52,3.4199,3.4199,3.4199,3.4199,198
13:00,3.35,3.35,3.35,3.35,900
13:01,3.36,3.36,3.35,3.35,900
13:02,3.25,3.25,3.25,3.25,100
13:03,3.285,3.285,3.285,3.285,100
13:04,3.285,3.36,3.285,3.29,1700
13:05,3.35,3.36,3.35,3.36,1100
13:06,3.36,3.36,3.36,3.36,1500
13:08,3.35,3.36,3.35,3.36,600
13:13,3.3452,3.42,3.3452,3.36,1800
13:14,3.315,3.315,3.315,3.315,100
13:15,3.315,3.315,3.21,3.315,998
13:19,3.4,3.4195,3.4,3.4195,2000
13:27,3.34,3.42,3.34,3.42,1100
13:42,3.345,3.345,3.345,3.345,100
13:53,3.345,3.42,3.345,3.42,1104
14:04,3.345,3.345,3.345,3.345,102
14:14,3.35,3.35,3.35,3.35,100
14:15,3.29,3.35,3.29,3.29,1244
14:24,3.29,3.29,3.29,3.29,100
14:34,3.3,3.3,3.3,3.3,102
14:38,3.31,3.31,3.3,3.3,300
14:42,3.3011,3.3011,3.3002,3.3002,452
14:43,3.31,3.31,3.31,3.31,100
14:48,3.31,3.31,3.3,3.3,502
14:49,3.31,3.33,3.31,3.33,1705
14:50,3.3,3.31,3.3,3.31,202
15:01,3.272,3.272,3.272,3.272,100
15:03,3.28,3.28,3.27,3.27,1502
15:09,3.222,3.222,3.222,3.222,108
15:18,3.21,3.21,3.21,3.21,100
15:25,3.21,3.21,3.21,3.21,100
15:30,3.34,3.4685,3.34,3.4685,2000
15:32,3.455,3.47,3.45,3.47,1600
15:34,3.335,3.335,3.335,3.335,100
15:42,3.335,3.335,3.335,3.335,101
15:46,3.335,3.335,3.335,3.335,100
15:49,3.33,3.33,3.33,3.33,100
15:50,3.33,3.33,3.33,3.33,100
15:51,3.4308,3.4308,3.4308,3.4308,551
15:52,3.33,3.33,3.33,3.33,100
15:54,3.27,3.27,3.27,3.27,100
15:55,3.45,3.45,3.27,3.27,730
15:56,3.27,3.27,3.27,3.27,100
15:57,3.27,3.27,3.22,3.22,200
15:58,3.27,3.27,3.21,3.21,227
15:59,3.4319,3.4319,3.25,3.25,1550
09:30,3.35,3.35,3.35,3.35,251
09:55,3.365,3.365,3.365,3.365,300
09:56,3.4,3.4138,3.4,3.4138,1014
10:00,3.5343,3.5343,3.5343,3.5343,300
10:01,3.45,3.5,3.45,3.5,686
10:02,3.5,3.5,3.5,3.5,1003
10:09,3.49,3.51,3.49,3.51,721
10:12,3.532,3.532,3.53,3.53,2159
10:14,3.53,3.53,3.372,3.372,581
10:19,3.36,3.36,3.36,3.36,100
10:20,3.3672,3.3672,3.3672,3.3672,2057
10:23,3.36,3.36,3.36,3.36,100
10:25,3.36,3.36,3.36,3.36,100
10:28,3.36,3.36,3.36,3.36,100
10:33,3.36,3.36,3.36,3.36,100
10:38,3.36,3.36,3.36,3.36,102
10:41,3.31,3.31,3.31,3.31,100
10:43,3.36,3.36,3.36,3.36,100
10:48,3.322,3.322,3.322,3.322,100
10:53,3.31,3.31,3.31,3.31,100
10:57,3.3259,3.3259,3.3259,3.3259,250
10:58,3.31,3.31,3.31,3.31,106
11:04,3.212,3.212,3.212,3.212,100
11:09,3.2,3.2,3.2,3.2,100
11:14,3.2,3.2,3.2,3.2,100
11:20,3.2,3.2,3.2,3.2,100
11:25,3.27,3.27,3.27,3.27,100
11:31,3.26,3.26,3.26,3.26,100
11:36,3.2,3.2,3.2,3.2,100
11:42,3.25,3.25,3.25,3.25,100
11:49,3.27,3.27,3.27,3.27,100
11:55,3.22,3.22,3.22,3.22,100
12:02,3.22,3.22,3.22,3.22,100
12:08,3.2,3.2,3.2,3.2,100
12:15,3.2,3.2,3.2,3.2,100
12:22,3.22,3.22,3.22,3.22,180
12:30,3.26,3.26,3.26,3.26,200
12:37,3.21,3.21,3.21,3.21,100
12:45,3.22,3.22,3.22,3.22,100
12:53,3.22,3.2315,3.22,3.2315,200
13:01,3.23,3.23,3.23,3.23,125
13:08,3.23,3.23,3.23,3.23,100
13:10,3.3032,3.3032,3.3032,3.3032,300
13:17,3.24,3.24,3.24,3.24,100
13:21,3.3,3.3,3.28,3.29,550
13:23,3.3,3.3,3.285,3.285,573
13:35,3.3,3.33,3.29,3.33,725
13:41,3.37,3.44,3.335,3.44,1728
13:42,3.44,3.5527,3.44,3.5527,8458
13:43,3.53,3.53,3.4831,3.4831,1101
13:55,3.41,3.41,3.41,3.41,101
13:57,3.39,3.415,3.33,3.415,8457
13:58,3.375,3.375,3.375,3.375,301
14:02,3.375,3.42,3.375,3.375,700
14:04,3.375,3.375,3.375,3.375,100
14:08,3.3786,3.3786,3.3786,3.3786,300
14:09,3.375,3.41,3.375,3.375,808
14:10,3.375,3.375,3.33,3.33,300
14:11,3.38,3.38,3.38,3.38,100
14:12,3.38,3.38,3.38,3.38,200
14:17,3.3579,3.3579,3.3579,3.3579,999
14:18,3.34,3.34,3.34,3.34,100
14:22,3.38,3.38,3.38,3.38,101
14:25,3.34,3.34,3.34,3.34,100
14:32,3.35,3.35,3.35,3.35,100
14:39,3.35,3.35,3.35,3.35,100
14:42,3.39,3.42,3.39,3.41,800
14:45,3.36,3.36,3.36,3.36,100
14:52,3.36,3.36,3.36,3.36,100
14:53,3.39,3.41,3.39,3.41,200
14:58,3.37,3.37,3.37,3.37,100
15:02,3.42,3.45,3.41,3.42,2004
15:03,3.495,3.495,3.495,3.495,501
15:06,3.495,3.495,3.495,3.495,100
15:09,3.495,3.495,3.495,3.495,100
15:10,3.433,3.433,3.433,3.433,100
15:12,3.495,3.495,3.495,3.495,100
15:15,3.495,3.495,3.43,3.43,200
15:18,3.5,3.5,3.5,3.5,100
15:21,3.44,3.5,3.44,3.5,200
15:24,3.5,3.5,3.5,3.5,133
15:25,3.44,3.44,3.44,3.44,101
15:27,3.5,3.5,3.42,3.42,748
15:30,3.485,3.485,3.485,3.485,100
15:33,3.485,3.485,3.485,3.485,100
15:34,3.426,3.426,3.426,3.426,150
15:38,3.428,3.428,3.428,3.428,100
15:41,3.42,3.42,3.42,3.42,114
15:44,3.431,3.431,3.431,3.431,100
15:47,3.432,3.432,3.432,3.432,100
15:49,3.495,3.53,3.495,3.5,415
15:51,3.505,3.505,3.505,3.505,100
15:53,3.505,3.535,3.46,3.5,1878
15:54,3.4989,3.4989,3.43,3.47,1942
15:55,3.46,3.47,3.435,3.45,5167
15:56,3.435,3.5,3.4001,3.5,6103
15:57,3.49,3.49,3.46,3.46,546
15:58,3.4448,3.5,3.4448,3.5,4627
15:59,3.515,3.56,3.47,3.56,861
