time,open,high,low,close,volume
10:03,2.79,2.79,2.63,2.63,670
10:09,2.63,2.63,2.63,2.63,300
10:18,2.62,2.62,2.62,2.62,100
11:19,2.6,2.62,2.6,2.62,2275
12:50,2.615,2.615,2.55,2.55,942
12:52,2.55,2.55,2.55,2.55,1419
12:53,2.55,2.55,2.55,2.55,100
13:57,2.5,2.53,2.47,2.47,742
13:59,2.48,2.48,2.48,2.48,200
14:31,2.54,2.55,2.54,2.55,2158
14:33,2.55,2.55,2.55,2.55,456
14:34,2.55,2.625,2.55,2.625,4404
14:51,2.75,2.75,2.75,2.75,100
14:54,2.65,2.65,2.61,2.61,2102
14:58,2.7,2.7,2.61,2.62,1240
14:59,2.61,2.62,2.6,2.6,2678
15:00,2.6,2.6,2.6,2.6,781
15:01,2.6,2.6,2.6,2.6,601
15:03,2.6,2.6,2.58,2.59,2147
15:47,2.58,2.58,2.58,2.58,301
12:00,2.515,2.515,2.515,2.515,100
12:25,2.54,2.58,2.54,2.58,2810
12:36,2.57,2.63,2.57,2.63,30796
12:49,2.59,2.59,2.55,2.55,1718
12:52,2.55,2.6,2.55,2.6,7282
12:53,2.59,2.59,2.59,2.59,352
13:11,2.65,2.65,2.65,2.65,518
13:36,2.59,2.6,2.59,2.6,700
15:56,2.59,2.59,2.59,2.59,404
