time,open,high,low,close,volume
09:30,1.15,1.15,1.091,1.091,670
09:40,1.1,1.1,1.06,1.06,2612
09:46,1.0716,1.0716,1.0716,1.0716,500
09:58,1.06,1.06,1.03,1.03,4354
10:02,1.05,1.05,1.05,1.05,463
10:04,1.05,1.05,1.05,1.05,200
10:05,1.05,1.05,1.05,1.05,505
10:11,1.0402,1.0402,1.03,1.03,1052
10:12,1.03,1.03,1.02,1.02,1650
10:13,1.035,1.035,1.02,1.02,1400
10:14,1.03,1.03,1.03,1.03,200
10:15,1.0395,1.0395,1.02,1.02,810
10:16,1.0204,1.0204,1.0204,1.0204,1000
10:17,1.02,1.02,1.02,1.02,846
10:22,1.0199,1.02,0.98,0.99,10148
10:24,0.998,1.01,0.998,1.01,540
10:25,1.01,1.01,1.005,1.005,600
10:33,1.005,1.02,1.005,1.02,1062
10:55,1.03,1.03,1.02,1.02,1100
10:57,1.01,1.01,1.01,1.01,312
10:58,1.01,1.01,1.005,1.006948,601
11:02,1.015,1.015,1.015,1.015,500
11:03,1.015,1.015,1.015,1.015,500
11:05,1.02,1.02,1.02,1.02,1000
11:18,1.02,1.02,1.02,1.02,482
11:22,1.02,1.0299,1.02,1.02,2310
11:23,1.02,1.02,1.015,1.02,851
11:35,1.02,1.02,1.02,1.02,120
11:57,1.02,1.02,1.02,1.02,100
12:15,1.03,1.03,1.02,1.02,600
12:16,1.02,1.02,1.02,1.02,200
12:26,1.02,1.02,1.02,1.02,200
12:29,1.03,1.03,1.015,1.02,1335
12:34,1.03,1.03,1.02,1.02,261
12:39,1.0298,1.03,1.0298,1.03,251
12:56,1.02,1.02,1.02,1.02,250
13:08,1.0287,1.0287,1.0287,1.0287,100
13:13,1.0288,1.0288,1.0288,1.0288,150
13:17,1.0287,1.0287,1.0287,1.0287,100
13:20,1.0287,1.0287,1.0287,1.0287,150
13:24,1.0287,1.0287,1.0287,1.0287,100
13:28,1.0288,1.0288,1.0288,1.0288,147
13:30,1.02,1.02,1.02,1.02,366
13:31,1.0287,1.0287,1.0287,1.0287,100
13:35,1.02,1.0297,1.02,1.0297,500
13:37,1.0287,1.0287,1.0287,1.0287,138
13:38,1.02,1.02,1.02,1.02,250
13:41,1.02,1.02,1.02,1.02,200
13:47,1.0146,1.0146,1,1,6800
13:49,1.01,1.01,1.01,1.01,102
13:52,1.02,1.02,1.01,1.01,924
14:13,1.01,1.01,1.01,1.01,500
14:32,1.0187,1.0187,1.0187,1.0187,141
15:13,1.005,1.005,1.005,1.005,137
15:14,1.005,1.005,1.005,1.005,100
15:16,1.005,1.005,1.005,1.005,200
15:17,1.015,1.015,1.015,1.015,134
15:27,1.015,1.015,1.0012,1.0012,1100
15:35,1.03,1.03,1.03,1.03,250
15:49,1.0216,1.0216,1.0216,1.0216,100
15:50,1.0287,1.0287,1.0287,1.0287,100
15:59,1.015,1.02,1.01,1.01,1464
09:30,1.03,1.03,1.02,1.02,602
09:40,1.0114,1.0114,1.0114,1.0114,100
09:41,1.0114,1.0299,1.0114,1.0299,250
09:42,1.0114,1.0114,1.0114,1.0114,200
09:43,1.0114,1.0114,1.0114,1.0114,103
09:46,1.0107,1.0107,1.01,1.01,310
09:47,1.0107,1.0107,1.0107,1.0107,100
09:53,1.0107,1.0107,1.0107,1.0107,100
09:54,1.0107,1.0107,1.0107,1.0107,100
09:55,1.0106,1.0106,1.0106,1.0106,157
10:17,1.01,1.01,1.01,1.01,304
10:18,0.9824,0.9824,0.9824,0.9824,512
10:19,1,1.0199,1,1.0199,3000
10:20,0.98,0.98,0.98,0.98,300
10:22,0.9609,0.9609,0.9609,0.9609,200
10:23,0.9705,0.9705,0.9705,0.9705,148
10:36,0.9801,0.9801,0.98,0.98,3044
10:44,0.9801,0.9813,0.9744,0.9744,1600
10:57,1.0099,1.0099,1.0099,1.0099,100
11:02,1.0099,1.0099,1.0099,1.0099,175
12:07,1,1,1,1,500
12:11,0.9974,1.01,0.9974,1.01,5400
13:55,0.9979,1,0.9979,1,535
14:04,0.995,0.995,0.995,0.995,300
14:40,0.9948,0.9948,0.9948,0.9948,488
15:01,0.9937,0.9937,0.9937,0.9937,248
15:19,0.99,0.99,0.99,0.99,1004
15:51,0.99,0.99,0.99,0.99,129
15:54,0.995,0.995,0.995,0.995,1000
15:58,0.9802,0.9802,0.9802,0.9802,903
