time,open,high,low,close,volume
09:30,2.5,2.5125,2.425,2.43,56527
09:31,2.4275,2.4275,2.425,2.4263,13726.92
09:32,2.4275,2.4275,2.425,2.425,6295.52
09:33,2.4275,2.4275,2.38,2.3813,12503.56
09:34,2.3825,2.3825,2.36,2.3675,19378.76
09:35,2.37,2.375,2.3675,2.3747,5839.76
09:36,2.3738,2.4,2.3738,2.4,30910.48
09:37,2.405,2.405,2.3925,2.395,7128.2
09:38,2.395,2.4,2.3913,2.4,6474.96
09:39,2.3987,2.4,2.3925,2.3975,4514.28
09:40,2.3975,2.4,2.3975,2.3975,4401.24
09:41,2.3975,2.4,2.3253,2.375,24994.92
09:42,2.3725,2.375,2.365,2.3688,15278.16
09:43,2.3675,2.37,2.3675,2.3688,4591.16
09:44,2.37,2.37,2.3675,2.37,636.68
09:45,2.3675,2.38,2.3675,2.38,8362.2
09:46,2.38,2.38,2.3775,2.38,9430.88
09:47,2.38,2.38,2.3775,2.38,2381.12
09:48,2.38,2.3825,2.3775,2.3825,6008.28
09:49,2.3825,2.385,2.38,2.3825,9669.08
09:50,2.3838,2.405,2.3825,2.4,20189.8
09:51,2.4025,2.42,2.4,2.4125,19776
09:52,2.41,2.41,2.405,2.41,7635.92
09:53,2.4075,2.41,2.4075,2.4075,22398.68
09:54,2.4075,2.41,2.405,2.4062,11934
09:55,2.4063,2.4075,2.405,2.405,6751.72
09:56,2.405,2.4075,2.405,2.405,4539.88
09:57,2.4073,2.4075,2.3975,2.4,4483.96
09:58,2.4,2.4,2.3975,2.3987,4113.04
09:59,2.3975,2.4,2.3975,2.3975,11340.16
10:00,2.4,2.4,2.3975,2.3975,4174.08
10:01,2.4,2.4,2.3925,2.3925,12669.76
10:02,2.39,2.3925,2.3838,2.385,3734.72
10:03,2.385,2.385,2.3725,2.3725,5264.48
10:04,2.3725,2.375,2.3675,2.37,12681.52
10:05,2.37,2.3725,2.3675,2.3713,12523.8
10:06,2.3725,2.38,2.3725,2.3797,4757.24
10:07,2.3775,2.38,2.3675,2.3675,9309.76
10:08,2.365,2.3689,2.35,2.355,10121.96
10:09,2.355,2.3575,2.3225,2.3363,24607.48
10:10,2.335,2.3463,2.3325,2.3425,16212
10:11,2.3425,2.3425,2.3225,2.34,14923.12
10:12,2.3425,2.355,2.335,2.3425,9792.04
10:13,2.3425,2.365,2.335,2.3525,7037.76
10:14,2.3575,2.36,2.35,2.3575,2274.64
10:15,2.355,2.3625,2.355,2.3625,3375.32
10:16,2.36,2.375,2.36,2.37,8157.32
10:17,2.3725,2.3838,2.3675,2.3825,6610.52
10:18,2.3825,2.385,2.355,2.36,8424.92
10:19,2.36,2.365,2.3575,2.365,1170.2
10:20,2.3695,2.3775,2.3625,2.3775,6051.76
10:21,2.38,2.38,2.365,2.3725,17573.08
10:22,2.375,2.3775,2.37,2.3762,2975.28
10:23,2.3775,2.3825,2.3675,2.38,7947.92
10:24,2.38,2.3825,2.3625,2.3725,10221.6
10:25,2.37,2.3725,2.37,2.37,2170.36
10:26,2.3725,2.375,2.3575,2.3675,4543.52
10:27,2.365,2.365,2.3575,2.36,2382.64
10:28,2.36,2.37,2.3575,2.37,2427.88
10:29,2.3675,2.3825,2.3575,2.37,2074
10:30,2.3725,2.385,2.3725,2.3825,1965.88
10:31,2.385,2.385,2.38,2.38,1825.84
10:32,2.38,2.385,2.37,2.385,6752.04
10:33,2.3825,2.4,2.3825,2.4,4735.68
10:34,2.3975,2.4,2.385,2.3875,12534.04
10:35,2.39,2.425,2.385,2.41,16258.16
10:36,2.415,2.425,2.4138,2.42,5740.32
10:37,2.4225,2.4325,2.4225,2.4325,7431.36
10:38,2.4324,2.4325,2.4225,2.4238,7919.56
10:39,2.425,2.4325,2.42,2.43,5400.52
10:40,2.43,2.43,2.4275,2.43,5492.08
10:41,2.4288,2.4288,2.42,2.42,4926.32
10:42,2.4225,2.425,2.415,2.415,5400.24
10:43,2.4162,2.4173,2.4125,2.4125,379.08
10:44,2.4125,2.4475,2.4125,2.44,32654.24
10:45,2.4425,2.4425,2.435,2.435,4435.84
10:46,2.435,2.4375,2.3875,2.42,8650.64
10:47,2.4225,2.455,2.42,2.455,11775.16
10:48,2.4525,2.4875,2.4525,2.4875,20200.64
10:49,2.4875,2.5175,2.4853,2.5125,64571.96
10:50,2.5125,2.55,2.4925,2.5425,96284.44
10:51,2.535,2.5375,2.5275,2.5275,30073.72
10:52,2.5287,2.555,2.525,2.5525,68678.36
10:53,2.5506,2.5925,2.5503,2.5875,103004.76
10:54,2.59,2.6175,2.5875,2.605,142958.4
10:55,2.6038,2.6275,2.5975,2.6,151936.76
10:56,2.6025,2.605,2.5725,2.5775,90548.52
10:57,2.5825,2.5825,2.5225,2.5238,106302.64
10:58,2.5225,2.5375,2.4675,2.4725,151847.92
10:59,2.4725,2.4925,2.4425,2.4888,98652.16
11:00,2.49,2.5375,2.4875,2.5325,43359.76
11:01,2.53,2.5325,2.5025,2.515,20380.76
11:02,2.51,2.52,2.51,2.52,23005.24
11:03,2.5175,2.5375,2.515,2.525,36344.92
11:04,2.5275,2.5375,2.5275,2.5375,15379
11:05,2.535,2.555,2.535,2.545,35340.84
11:06,2.5437,2.545,2.53,2.5325,14973.2
11:07,2.5325,2.5825,2.5325,2.5787,24194.88
11:08,2.58,2.585,2.565,2.575,46010.04
11:09,2.5725,2.575,2.5625,2.5625,16184.04
11:10,2.5638,2.565,2.5375,2.5375,10574.04
11:11,2.54,2.565,2.54,2.565,10017.88
11:12,2.5625,2.58,2.5625,2.5787,33435.64
11:13,2.5775,2.5775,2.5575,2.56,13163.52
11:14,2.5575,2.5612,2.5475,2.5525,4129.44
11:15,2.5525,2.575,2.5525,2.57,13200.48
11:16,2.5725,2.575,2.57,2.575,16407.8
11:17,2.5725,2.625,2.5725,2.6225,77347.2
11:18,2.6225,2.625,2.575,2.595,146859.52
11:19,2.5975,2.62,2.5825,2.5925,71571.6
11:20,2.59,2.5975,2.59,2.59,6030.44
11:21,2.585,2.589,2.5625,2.5625,9124.16
11:22,2.56,2.5625,2.5,2.5025,23587.44
11:23,2.5025,2.5125,2.5,2.5025,26543.84
11:24,2.5025,2.5175,2.5025,2.5125,27305.56
11:25,2.5138,2.5175,2.5075,2.5075,11596
11:26,2.51,2.51,2.5,2.5025,12465.6
11:27,2.5025,2.5175,2.5,2.5175,7044.2
11:28,2.52,2.5475,2.515,2.525,7325.64
11:29,2.5275,2.555,2.525,2.5475,16067.44
11:30,2.55,2.555,2.5475,2.5538,4416.48
11:31,2.5525,2.5538,2.525,2.535,5732.92
11:32,2.5428,2.55,2.535,2.535,3782.36
11:33,2.5375,2.5375,2.5225,2.5225,8161
11:34,2.5225,2.5325,2.5225,2.525,2905.12
11:35,2.5325,2.5325,2.525,2.5275,3365.44
11:36,2.5225,2.53,2.5225,2.525,2417.4
11:37,2.5275,2.5275,2.5125,2.5225,4993.68
11:38,2.525,2.5325,2.52,2.5325,4654.44
11:39,2.5325,2.555,2.5325,2.5525,11046
11:40,2.5525,2.5525,2.53,2.53,5730.36
11:41,2.5325,2.535,2.53,2.5325,983.36
11:42,2.5325,2.5325,2.5025,2.5175,10014.76
11:43,2.515,2.5475,2.5143,2.5425,21044.84
11:44,2.5425,2.545,2.54,2.5425,2242.88
11:45,2.54,2.5663,2.54,2.565,7598
11:46,2.565,2.5725,2.5475,2.5525,15530.24
11:47,2.5725,2.585,2.5725,2.5775,16786.4
11:48,2.575,2.5775,2.57,2.575,7137.6
11:49,2.5738,2.575,2.5725,2.5725,1761.88
11:50,2.575,2.575,2.5725,2.5738,1369.2
11:51,2.5725,2.575,2.57,2.5725,8312.88
11:52,2.5738,2.575,2.5725,2.5725,3021.2
11:53,2.5725,2.575,2.5725,2.5725,5763.12
11:54,2.5725,2.5725,2.545,2.5575,8343.2
11:55,2.5575,2.56,2.5575,2.56,1795.48
11:56,2.5588,2.56,2.5575,2.56,639.36
11:57,2.5575,2.5575,2.54,2.5575,12892.72
11:58,2.555,2.5575,2.555,2.555,967.64
11:59,2.5563,2.5575,2.52,2.5475,14904.4
12:00,2.545,2.5475,2.545,2.5475,3924.44
12:01,2.545,2.5525,2.5425,2.5525,7334.76
12:02,2.555,2.585,2.555,2.5825,21688.32
12:03,2.5837,2.625,2.4375,2.6125,52946.04
12:04,2.6125,2.6275,2.6125,2.6263,37487.04
12:05,2.6275,2.645,2.6275,2.6375,73917.44
12:06,2.6388,2.64,2.63,2.63,13477
12:07,2.63,2.63,2.605,2.6062,22788.4
12:08,2.605,2.605,2.5925,2.595,5989.84
12:09,2.5975,2.5975,2.5775,2.585,16026.24
12:10,2.585,2.5875,2.58,2.5825,2531.48
12:11,2.5825,2.5825,2.56,2.5675,16714.76
12:12,2.5675,2.5678,2.52,2.5325,18887.84
12:13,2.53,2.5325,2.1403,2.5325,18177.92
12:14,2.535,2.555,2.5338,2.555,4891.92
12:15,2.55,2.6298,2.55,2.585,8126
12:16,2.5825,2.585,2.5775,2.5825,4042.68
12:17,2.585,2.6,2.585,2.6,5155.64
12:18,2.6025,2.6025,2.5925,2.6,5394.92
12:19,2.6,2.6,2.5875,2.5923,3325.36
12:20,2.59,2.59,2.58,2.5825,2620.92
12:21,2.58,2.5863,2.5775,2.585,2954.84
12:22,2.5875,2.5875,2.5028,2.5575,5655.48
12:23,2.5575,2.56,2.5525,2.555,892.84
12:24,2.5525,2.5538,2.5375,2.545,3904.44
12:25,2.5425,2.585,2.5403,2.5825,4798.76
12:26,2.585,2.585,2.5813,2.5825,2212.08
12:27,2.5825,2.5875,2.5775,2.5775,11424.48
12:28,2.5775,2.585,2.5775,2.5825,2481.08
12:29,2.5825,2.585,2.5825,2.585,2452.96
12:30,2.5863,2.5925,2.585,2.59,2431.56
12:31,2.5925,2.61,2.5925,2.6088,9845.16
12:32,2.6088,2.615,2.53,2.6125,13934.32
12:33,2.6137,2.615,2.5475,2.61,4457.8
12:34,2.5875,2.6175,2.5875,2.6125,2219.04
