time,open,high,low,close,volume
09:42,5,5,5,5,113
09:43,5,5,5,5,100
09:51,4.89,4.89,4.87,4.87,1110
10:11,4.7418,4.7418,4.7418,4.7418,178
10:55,4.81,4.81,4.81,4.81,100
10:57,4.85,4.85,4.85,4.85,110
11:20,4.8536,4.8536,4.8536,4.8536,113
14:25,4.8298,4.8298,4.8298,4.8298,2000
14:26,4.83,4.9,4.83,4.9,617
14:28,4.8636,4.8636,4.8636,4.8636,513
15:14,4.84,4.942339,4.84,4.942339,2386
15:59,4.976,4.976,4.976,4.976,201
10:08,4.8742,4.8742,4.8742,4.8742,156
10:14,4.86,4.86,4.86,4.86,140
10:22,4.9717,4.9717,4.9717,4.9717,1125
11:38,4.82,4.82,4.7804,4.7804,2284
12:38,5.12,5.12,5.12,5.12,350
12:41,4.89,4.89,4.88,4.88,285
14:22,4.8001,4.8001,4.8001,4.8001,300
14:27,4.8026,4.8026,4.8026,4.8026,337
15:52,5.151,5.151,5.151,5.151,260
15:59,4.82,4.82,4.82,4.82,325
