time,open,high,low,close,volume
09:30,4.03,4.3399,4.03,4.1701,21211
09:31,4.2,4.33,4.1825,4.33,28604
09:32,4.304,4.304,4.15,4.15,6826
09:33,4.2,4.28,4.0703,4.2736,11713
09:34,4.2799,4.2799,4.1612,4.27,4673
09:35,4.225,4.2589,4.2,4.22,4645
09:36,4.26,4.36,4.25,4.34,19539
09:37,4.3204,4.44,4.3088,4.4,43857
09:38,4.395,4.42,4.22,4.3927,21667
09:39,4.32,4.4,4.32,4.3827,6595
09:40,4.36,4.4,4.2313,4.3191,15704
09:41,4.3182,4.36,4.2301,4.36,7694
09:42,4.3555,4.44,4.28,4.419,16878
09:43,4.41,4.5499,4.405,4.4999,52696
09:44,4.49,4.65,4.49,4.57,48210
09:45,4.58,4.59,4.4,4.5,29018
09:46,4.5,4.55,4.31,4.4166,38101
09:47,4.43,4.45,4.36,4.4152,10699
09:48,4.4,4.4199,4.31,4.3523,9678
09:49,4.4,4.42,4.37,4.38,5827
09:50,4.331,4.4038,4.331,4.34,2422
09:51,4.392,4.43,4.33,4.33,11931
09:52,4.381,4.3897,4.3001,4.3489,3483
09:53,4.317,4.4,4.317,4.3551,1610
09:54,4.365,4.49,4.32,4.35,29515
09:55,4.4884,4.4884,4.3968,4.4399,5808
09:56,4.4064,4.44,4.4064,4.44,5865
09:57,4.3601,4.46,4.3601,4.4277,6435
09:58,4.425,4.4321,4.36,4.4321,5335
09:59,4.41,4.42,4.3751,4.385,2037
10:00,4.3954,4.3954,4.2,4.3748,16433
10:01,4.28,4.3739,4.28,4.33,2851
10:02,4.3184,4.319,4.2,4.25,3326
10:03,4.29,4.3,4.2,4.23,7784
10:04,4.226,4.25,4.2,4.249,4831
10:05,4.2,4.2307,4.05,4.2022,31762
10:06,4.07,4.14,4.06,4.1061,3419
10:07,4.145,4.19,4.1065,4.17,3579
10:08,4.25,4.25,4.2,4.201,2209
10:09,4.208,4.25,4.2,4.25,4121
10:10,4.22,4.3496,4.22,4.29,4327
10:11,4.29,4.3299,4.2501,4.258,4797
10:12,4.25,4.25,4.25,4.25,8403
10:13,4.29,4.31,4.2508,4.31,846
10:14,4.28,4.3757,4.28,4.3757,17903
10:15,4.32,4.37,4.32,4.32,3707
10:16,4.26,4.26,4.26,4.26,451
10:17,4.2815,4.2815,4.2815,4.2815,290
10:18,4.27,4.27,4.27,4.27,705
10:19,4.28,4.28,4.11,4.11,31990
