time,open,high,low,close,volume
09:30,1.56,1.56,1.56,1.56,2000
09:33,1.4605,1.4605,1.4605,1.4605,1100
09:50,1.48,1.48,1.47,1.47,1601
09:51,1.465,1.47,1.465,1.47,850
09:53,1.46,1.46,1.46,1.46,4053
09:54,1.46,1.46,1.46,1.46,108
10:04,1.4662,1.4662,1.4662,1.4662,439
10:07,1.47,1.47,1.47,1.47,301
10:09,1.47,1.47,1.47,1.47,100
10:12,1.47,1.47,1.47,1.47,100
10:13,1.46,1.46,1.46,1.46,1000
10:15,1.46,1.46,1.46,1.46,1036
10:16,1.46,1.46,1.46,1.46,100
10:20,1.46,1.46,1.46,1.46,100
10:23,1.46,1.46,1.46,1.46,100
10:24,1.46,1.46,1.46,1.46,400
10:29,1.458,1.458,1.455,1.455,1020
10:37,1.455,1.455,1.455,1.455,200
10:45,1.458,1.458,1.458,1.458,200
10:52,1.458,1.458,1.458,1.458,200
10:59,1.455,1.455,1.455,1.455,200
11:03,1.46,1.46,1.455,1.455,2793
11:14,1.458,1.458,1.458,1.458,200
11:22,1.46,1.46,1.46,1.46,3999
11:36,1.46,1.46,1.46,1.46,325
11:37,1.4501,1.4501,1.4501,1.4501,700
11:52,1.45,1.45,1.45,1.45,2206
11:54,1.4406,1.4406,1.4406,1.4406,119
11:56,1.4384,1.4384,1.4384,1.4384,1081
12:05,1.434,1.434,1.434,1.434,101
12:06,1.4399,1.44,1.4399,1.44,2781
12:09,1.44,1.44,1.44,1.44,1400
12:35,1.45,1.45,1.45,1.45,1500
12:36,1.45,1.45,1.45,1.45,783
12:40,1.45,1.45,1.45,1.45,221
12:44,1.45,1.45,1.45,1.45,104
13:04,1.45,1.45,1.45,1.45,988
13:06,1.44,1.44,1.44,1.44,200
13:24,1.4446,1.4446,1.4446,1.4446,1000
13:26,1.44,1.44,1.44,1.44,605
14:08,1.44,1.44,1.44,1.44,376
14:10,1.445,1.445,1.445,1.445,1008
14:17,1.4492,1.4492,1.4492,1.4492,1009
14:31,1.445,1.445,1.445,1.445,168
14:34,1.45,1.45,1.45,1.45,200
14:57,1.45,1.45,1.44,1.445,5247
15:01,1.45,1.45,1.45,1.45,1129
15:58,1.4501,1.4501,1.4501,1.4501,150
15:59,1.45,1.45,1.45,1.45,219
09:30,1.44,1.44,1.44,1.44,854
09:37,1.4999,1.4999,1.4999,1.4999,100
09:48,1.4694,1.4694,1.4694,1.4694,120
09:51,1.4581,1.4581,1.4581,1.4581,260
09:54,1.47,1.47,1.47,1.47,130
10:00,1.4668,1.4668,1.4668,1.4668,300
10:23,1.4722,1.4722,1.4722,1.4722,100
10:25,1.47,1.47,1.47,1.47,1288
10:40,1.47,1.47,1.47,1.47,869
10:49,1.475,1.475,1.47,1.47,2831
11:11,1.46,1.46,1.46,1.46,108
11:30,1.46,1.46,1.46,1.46,495
11:43,1.46,1.46,1.46,1.46,200
11:50,1.46,1.46,1.46,1.46,1929
12:00,1.46,1.46,1.46,1.46,200
12:06,1.4565,1.4565,1.4565,1.4565,225
12:07,1.46,1.46,1.46,1.46,200
12:09,1.4561,1.4561,1.4561,1.4561,2078
12:14,1.46,1.46,1.46,1.46,200
12:27,1.46,1.46,1.46,1.46,310
12:38,1.46,1.46,1.46,1.46,306
12:48,1.46,1.46,1.46,1.46,200
12:55,1.46,1.46,1.46,1.46,363
13:10,1.4501,1.4501,1.4501,1.4501,480
13:11,1.46,1.46,1.46,1.46,200
13:18,1.46,1.46,1.46,1.46,200
13:25,1.46,1.46,1.46,1.46,300
13:35,1.46,1.46,1.46,1.46,287
13:36,1.46,1.46,1.46,1.46,251
13:39,1.46,1.46,1.46,1.46,302
13:42,1.46,1.465,1.46,1.465,657
13:48,1.46,1.46,1.46,1.46,834
13:53,1.46,1.46,1.46,1.46,5533
14:05,1.46,1.46,1.46,1.46,200
14:08,1.46,1.46,1.46,1.46,300
14:12,1.458,1.458,1.458,1.458,100
14:23,1.4593,1.4593,1.4593,1.4593,158
14:33,1.45,1.45,1.45,1.45,300
14:38,1.455,1.46,1.455,1.46,1000
14:44,1.46,1.46,1.46,1.46,138
15:07,1.455,1.455,1.455,1.455,1609
15:19,1.4594,1.4594,1.4594,1.4594,200
15:28,1.4549,1.4549,1.4549,1.4549,289
15:31,1.46,1.46,1.46,1.46,1900
15:32,1.4566,1.4566,1.4566,1.4566,400
15:35,1.46,1.46,1.46,1.46,594
15:40,1.46,1.46,1.46,1.46,225
15:43,1.46,1.46,1.46,1.46,268
15:49,1.46,1.46,1.455,1.455,377
15:51,1.46,1.465,1.45,1.465,3876
15:52,1.45,1.45,1.445,1.45,10656
15:54,1.45,1.45,1.45,1.45,153
15:55,1.445,1.445,1.445,1.445,393
15:59,1.455,1.455,1.455,1.455,152
