time,open,high,low,close,volume
09:33,1.59,1.59,1.59,1.59,1000
09:35,1.56,1.56,1.56,1.56,250
09:57,1.48,1.48,1.48,1.48,800
10:00,1.48,1.48,1.48,1.48,200
10:02,1.5289,1.5289,1.5289,1.5289,119
10:03,1.48,1.48,1.48,1.48,1000
10:05,1.48,1.48,1.48,1.48,401
10:09,1.48,1.48,1.48,1.48,500
10:32,1.48,1.48,1.43,1.43,3132
10:33,1.47,1.47,1.47,1.47,2068
10:35,1.5,1.5,1.5,1.5,943
10:36,1.54,1.54,1.54,1.54,100
10:38,1.54,1.54,1.54,1.54,100
10:50,1.5,1.5,1.47,1.47,1160
11:17,1.4968,1.4968,1.4968,1.4968,100
11:40,1.4975,1.4975,1.43,1.43,540
11:44,1.52,1.52,1.52,1.52,200
12:49,1.45,1.45,1.45,1.45,100
13:28,1.43,1.43,1.42,1.42,2000
13:36,1.4697,1.4697,1.4697,1.4697,953
14:02,1.45,1.45,1.45,1.45,111
14:31,1.493,1.493,1.493,1.493,200
14:45,1.5,1.5,1.5,1.5,200
15:39,1.47,1.47,1.47,1.47,1000
15:58,1.47,1.47,1.47,1.47,1600
09:30,1.59,1.59,1.59,1.59,100
09:50,1.5,1.5,1.5,1.5,1000
09:52,1.5,1.5,1.5,1.5,1000
10:57,1.5,1.5,1.5,1.5,189
11:13,1.46,1.46,1.46,1.46,1000
11:16,1.5,1.5,1.5,1.5,4400
11:20,1.54,1.54,1.54,1.54,200
13:19,1.52,1.52,1.52,1.52,400
15:43,1.5469,1.5469,1.5469,1.5469,2000
15:46,1.58,1.58,1.58,1.58,100
