time,open,high,low,close,volume
12:23,2.6502,2.6502,2.6502,2.6502,746
15:10,2.65,2.65,2.65,2.65,142
15:26,2.65,2.6501,2.65,2.6501,1911
15:31,2.61,2.61,2.61,2.61,220
15:50,2.61,2.61,2.61,2.61,401
15:51,2.625,2.625,2.625,2.625,500
15:56,2.615,2.615,2.615,2.615,362
09:30,2.52,2.52,2.52,2.52,124
09:40,2.64,2.64,2.64,2.64,223
10:22,2.67,2.67,2.67,2.67,100
10:39,2.68,2.68,2.68,2.68,200
11:13,2.67,2.68,2.66,2.66,790
11:14,2.66,2.67,2.66,2.67,300
11:45,2.67,2.67,2.67,2.67,327
13:01,2.7,2.7,2.7,2.7,348
15:50,2.71,2.74,2.71,2.74,1138
15:52,2.74,2.74,2.74,2.74,158
15:53,2.75,2.75,2.75,2.75,1324
15:56,2.74,2.74,2.74,2.74,309
15:59,2.745,2.745,2.745,2.745,112
16:00,2.75,2.75,2.75,2.75,150
