time,open,high,low,close,volume
09:30,1.14,1.1472,1.14,1.147,2395
09:32,1.1498,1.1498,1.14,1.1428,3492
09:33,1.1401,1.1401,1.14,1.14,2641
09:34,1.14,1.14,1.14,1.14,513
09:36,1.121,1.121,1.121,1.121,3200
09:38,1.121,1.121,1.121,1.121,2916
09:40,1.1214,1.1214,1.1202,1.1214,6008
09:41,1.1207,1.1207,1.1207,1.1207,10000
09:42,1.1385,1.1385,1.1385,1.1385,300
09:45,1.13,1.13,1.13,1.13,163
09:46,1.1299,1.1299,1.12,1.12,600
09:47,1.125,1.1298,1.125,1.1298,287
09:48,1.12,1.12,1.12,1.12,100
09:49,1.1201,1.1201,1.1201,1.1201,191
09:50,1.12,1.12,1.12,1.12,1752
09:51,1.12,1.12,1.12,1.12,1045
09:52,1.1282,1.13,1.1282,1.13,6000
09:53,1.1298,1.1298,1.11,1.12,2263
09:58,1.1102,1.1102,1.1102,1.1102,600
10:09,1.1167,1.1488,1.09,1.12,120457
10:10,1.12,1.12,1.09,1.09,16087
10:11,1.12,1.12,1.12,1.12,250
10:13,1.12,1.12,1.12,1.12,100
10:14,1.12,1.12,1.12,1.12,100
10:15,1.12,1.12,1.12,1.12,600
10:25,1.1202,1.1209,1.1202,1.1209,467
10:27,1.1458,1.1458,1.1458,1.1458,100
10:28,1.135,1.135,1.135,1.135,103
10:30,1.1497,1.1497,1.1497,1.1497,1000
10:34,1.1297,1.1297,1.1201,1.1201,645
10:35,1.1201,1.1201,1.1201,1.1201,100
10:42,1.1201,1.1201,1.1201,1.1201,300
10:43,1.12,1.12,1.12,1.12,315
10:45,1.12,1.12,1.12,1.12,215
10:46,1.11,1.11,1.11,1.11,120
10:47,1.11,1.11,1.11,1.11,152
10:50,1.1,1.1,1.1,1.1,200
10:54,1.1,1.1,1.1,1.1,926
10:55,1.12,1.12,1.09,1.09,1988
10:56,1.12,1.12,1.12,1.12,171
10:57,1.12,1.12,1.0906,1.12,600
11:00,1.12,1.12,1.12,1.12,215
11:03,1.13,1.13,1.13,1.13,400
11:05,1.11,1.11,1.11,1.11,146
11:07,1.12,1.12,1.12,1.12,200
11:08,1.1446,1.1446,1.13,1.13,1100
11:10,1.13,1.14,1.13,1.14,500
11:11,1.1401,1.1401,1.1401,1.1401,802
11:12,1.1494,1.1498,1.14,1.14,3400
11:14,1.1418,1.1418,1.1418,1.1418,120
11:16,1.1495,1.1495,1.1495,1.1495,2002
11:17,1.15,1.15,1.15,1.15,1010
11:18,1.15,1.15,1.15,1.15,300
11:19,1.15,1.18,1.15,1.17,14772
11:20,1.17,1.17,1.17,1.17,547
11:21,1.12,1.14,1.12,1.14,3345
11:22,1.145,1.155,1.12,1.155,11000
11:23,1.15,1.15,1.15,1.15,5000
11:24,1.15,1.1523,1.15,1.1523,1874
11:26,1.1536,1.1536,1.1536,1.1536,390
11:33,1.1502,1.1502,1.15,1.15,8394
11:35,1.135,1.135,1.135,1.135,145
11:39,1.12,1.12,1.12,1.12,138
11:56,1.135,1.135,1.135,1.135,500
12:01,1.1241,1.1241,1.1208,1.1208,300
12:04,1.135,1.135,1.135,1.135,441
