time,open,high,low,close,volume
10:10,7.1,7.1,6.79,6.79,2600
10:11,7.1,7.11,6.79,6.79,1360
15:28,7.1,7.1,6.79,6.79,2257
15:29,7.2,7.2,6.88,6.88,900
15:30,6.96,6.96,6.96,6.96,450
15:32,7.5,7.5,7.5,7.5,1000
15:33,7.5,7.5,7.48,7.48,1480
15:34,7.51,7.51,7.51,7.51,100
15:35,7.71,7.71,7.1,7.15,3200
15:36,7.4,7.4,7.4,7.4,100
15:37,6.76,7.15,6.76,7,1721
15:38,7.35,7.35,7.3,7.35,3020
15:40,7.32,7.32,7,7,1340
15:45,6.81,6.81,6.81,6.81,401
15:46,7,7,7,7,2151
15:47,7.27,7.27,7.27,7.27,200
15:53,6.86,6.88,6.86,6.88,821
10:31,6.93,7.25,6.9,6.93,1360
10:44,7.15,7.48,7.15,7.15,951
10:45,7.1,7.1,7.1,7.1,150
11:09,7,7,7,7,100
11:10,6.85,6.85,6.85,6.85,100
11:47,7.07,7.07,7.07,7.07,100
15:01,6.4,6.4,6.4,6.4,400
15:04,6.94,6.94,6.94,6.94,200
15:44,6.5,6.51,6.5,6.5,800
15:49,6.51,6.51,6.5,6.5,400
15:56,6.98,6.98,6.98,6.98,120
