time,open,high,low,close,volume
09:30,2.35,2.35,2.25,2.3499,30616
09:31,2.26,2.26,2.26,2.26,705
09:35,2.3482,2.3482,2.3482,2.3482,161
09:36,2.25,2.3499,2.25,2.3499,4288
09:37,2.285,2.3326,2.285,2.3,3366
09:42,2.27,2.27,2.251,2.251,400
09:45,2.25,2.25,2.25,2.25,2359
09:46,2.2343,2.2343,2.2343,2.2343,344
09:56,2.26,2.26,2.26,2.26,2000
09:58,2.2349,2.26,2.2349,2.26,1502
10:11,2.2804,2.2804,2.2804,2.2804,258
10:16,2.32,2.35,2.32,2.35,3903
10:17,2.35,2.37,2.35,2.37,6444
10:20,2.33,2.3699,2.33,2.35,2086
10:22,2.3085,2.3085,2.3085,2.3085,2004
10:24,2.35,2.35,2.35,2.35,201
10:25,2.3131,2.3131,2.3131,2.3131,106
10:26,2.306,2.306,2.2901,2.2901,7125
10:29,2.2956,2.3,2.2956,2.3,652
10:35,2.3254,2.3254,2.3254,2.3254,151
10:37,2.3,2.3,2.3,2.3,757
10:38,2.33,2.33,2.33,2.33,2778
10:45,2.3002,2.3002,2.3001,2.3002,1006
10:52,2.3136,2.3136,2.3136,2.3136,174
10:55,2.31,2.31,2.31,2.31,315
11:00,2.307,2.307,2.307,2.307,1002
11:01,2.3125,2.3125,2.2801,2.307,2516
11:02,2.2981,2.305,2.28,2.2981,7005
11:03,2.307,2.307,2.307,2.307,1500
11:08,2.2981,2.2981,2.2981,2.2981,200
11:17,2.26,2.26,2.26,2.26,200
11:21,2.2603,2.2603,2.2603,2.2603,1003
11:32,2.3,2.3,2.3,2.3,101
11:40,2.2784,2.2784,2.2784,2.2784,223
12:00,2.2699,2.2699,2.2699,2.2699,107
12:09,2.3,2.3,2.3,2.3,100
12:10,2.31,2.31,2.31,2.31,150
12:19,2.298,2.298,2.298,2.298,200
12:29,2.29,2.29,2.29,2.29,284
12:32,2.3026,2.3026,2.3026,2.3026,100
13:07,2.2814,2.2814,2.2801,2.2801,1004
13:09,2.3075,2.3075,2.3075,2.3075,100
13:10,2.2801,2.2801,2.2801,2.2801,23171
13:14,2.3119,2.3119,2.3119,2.3119,100
13:16,2.3156,2.3156,2.3156,2.3156,1300
13:57,2.3,2.3,2.28,2.28,1200
14:00,2.33,2.33,2.31,2.33,5908
14:01,2.33,2.33,2.32,2.32,10582
14:02,2.331,2.331,2.331,2.331,576
14:05,2.34,2.34,2.34,2.34,220
14:08,2.3955,2.3955,2.3955,2.3955,547
14:09,2.4,2.4,2.4,2.4,1201
14:10,2.4,2.4,2.4,2.4,270
14:11,2.4,2.4,2.4,2.4,498
14:13,2.385,2.385,2.385,2.385,559
14:19,2.39,2.39,2.39,2.39,179
14:22,2.39,2.39,2.38,2.38,2127
14:27,2.38,2.38,2.38,2.38,206
14:29,2.38,2.38,2.38,2.38,774
14:30,2.37,2.37,2.37,2.37,502
14:36,2.38,2.38,2.37,2.3716,710
14:37,2.38,2.38,2.38,2.38,526
14:39,2.38,2.38,2.38,2.38,219
14:41,2.37,2.37,2.37,2.37,460
14:43,2.36,2.36,2.36,2.36,104
14:56,2.37,2.37,2.37,2.37,1016
14:58,2.35,2.35,2.31,2.31,461
15:08,2.39,2.39,2.39,2.39,245
15:09,2.39,2.39,2.37,2.37,1561
15:13,2.36,2.36,2.36,2.36,189
15:15,2.36,2.36,2.36,2.36,200
15:24,2.39,2.39,2.39,2.39,3894
15:25,2.4,2.4,2.38,2.4,855
15:26,2.4,2.42,2.4,2.42,1922
15:27,2.41,2.41,2.4,2.4,395
15:28,2.42,2.429,2.41,2.429,671
15:29,2.435,2.435,2.435,2.435,575
15:30,2.435,2.435,2.435,2.435,201
15:31,2.435,2.435,2.435,2.435,1700
15:32,2.435,2.435,2.435,2.435,1845
15:33,2.42,2.42,2.42,2.42,826
15:35,2.43,2.435,2.42,2.42,1108
15:36,2.42,2.42,2.42,2.42,300
15:44,2.385,2.385,2.385,2.385,400
15:47,2.385,2.385,2.385,2.385,101
15:55,2.36,2.36,2.34,2.36,4813
