time,open,high,low,close,volume
09:30,1.86,1.86,1.85,1.86,20995
09:32,1.8,1.821,1.8,1.821,3812
09:33,1.8,1.8,1.8,1.8,291
09:43,1.8,1.8,1.8,1.8,3034
09:54,1.86,1.88,1.86,1.88,4174
10:09,1.88,1.88,1.88,1.88,546
10:30,1.87,1.9,1.84,1.8799,9892
10:31,1.9,1.9,1.9,1.9,3083
10:39,1.915,1.915,1.915,1.915,1000
10:52,1.92,1.92,1.92,1.92,204
11:10,1.8701,1.8701,1.8701,1.8701,1000
11:23,1.89,1.89,1.89,1.89,300
11:26,1.91,1.91,1.91,1.91,100
11:28,1.92,1.92,1.92,1.92,1200
12:00,1.92,1.92,1.85,1.9101,6660
12:04,1.9378,1.9378,1.9378,1.9378,550
12:07,1.93,1.93,1.93,1.93,100
12:16,1.91,1.91,1.9,1.9,2533
12:20,1.9,1.9,1.9,1.9,100
12:46,1.8996,1.9,1.885,1.8999,4700
12:48,1.9,1.9,1.9,1.9,2640
12:49,1.9,1.9025,1.9,1.9025,1240
12:50,1.9,1.9,1.9,1.9,2660
12:52,1.88,1.88,1.88,1.88,300
12:53,1.9,1.9,1.9,1.9,100
12:59,1.865,1.865,1.865,1.865,3000
13:01,1.88,1.9,1.88,1.88,1874
13:04,1.88,1.88,1.88,1.88,100
13:07,1.88,1.88,1.88,1.88,3000
13:09,1.875,1.875,1.875,1.875,100
13:13,1.87,1.87,1.87,1.87,100
13:19,1.88,1.88,1.88,1.88,2497
13:23,1.9,1.92,1.9,1.92,200
13:25,1.92,1.93,1.92,1.93,1200
13:34,1.9234,1.9234,1.9234,1.9234,3000
13:37,1.93,1.93,1.93,1.93,200
13:43,1.9298,1.9298,1.9298,1.9298,1500
13:45,1.8706,1.8706,1.8706,1.8706,110
13:46,1.92,1.92,1.92,1.92,100
14:22,1.89,1.89,1.89,1.89,100
15:00,1.93,1.96,1.93,1.94,8200
15:02,1.96,1.96,1.96,1.96,100
15:06,1.92,1.92,1.92,1.92,100
15:07,1.93,1.945,1.92,1.945,600
15:39,1.9304,1.9304,1.9304,1.9304,1040
15:40,1.93,1.93,1.93,1.93,223
15:50,1.97,1.97,1.97,1.97,166
15:55,1.94,1.94,1.94,1.94,500
09:30,1.81,1.81,1.8001,1.8001,1000
09:33,1.94,1.94,1.94,1.94,207
09:50,1.8401,1.8401,1.8401,1.8401,800
09:55,1.9215,1.9215,1.9215,1.9215,100
09:59,1.97,1.97,1.97,1.97,1656
10:02,1.99,2.01,1.99,2.01,2000
10:03,2.01,2.01,2.01,2.01,2374
10:09,1.98,1.98,1.98,1.98,100
10:30,1.955,1.955,1.955,1.955,100
10:42,1.965,1.965,1.965,1.965,100
10:55,1.98,1.98,1.98,1.98,1000
11:16,1.95,1.9501,1.95,1.9501,1200
11:18,1.95,1.95,1.95,1.95,100
12:17,1.95,1.9501,1.95,1.9501,1780
12:18,1.965,1.965,1.965,1.965,1360
12:19,1.965,1.965,1.965,1.965,200
12:20,1.93,1.93,1.93,1.93,377
12:45,1.94,1.94,1.94,1.94,100
12:52,1.965,1.97,1.96,1.96,4122
12:54,1.96,1.96,1.96,1.96,200
13:36,1.97,1.97,1.97,1.97,1419
13:47,1.9794,1.9794,1.9794,1.9794,434
14:21,1.99,1.99,1.98,1.98,304
14:42,1.98,1.98,1.98,1.98,100
14:45,1.98,1.98,1.98,1.98,100
14:54,2,2,2,2,382
14:55,1.98,1.98,1.98,1.98,100
15:06,1.9884,1.9884,1.9884,1.9884,3250
15:09,2,2,2,2,534
15:10,2.01,2.01,2.01,2.01,2260
15:13,2.02,2.02,2.02,2.02,100
15:14,2.0084,2.0084,2.0084,2.0084,2500
15:15,2.005,2.005,2.005,2.005,100
15:17,2.02,2.02,2.02,2.02,100
15:22,2.01,2.0101,2.01,2.0101,2074
15:24,2,2,2,2,100
15:25,1.99,1.99,1.99,1.99,200
15:32,2,2,1.98,2,2400
15:37,1.99,1.99,1.99,1.99,100
15:54,1.99,1.99,1.99,1.99,100
15:59,2,2,1.99,1.99,806
