time,open,high,low,close,volume
09:30,17.68,17.75,17.5,17.68,3837
09:31,17.68,17.68,17.68,17.68,145
09:32,17.595,17.595,17.5882,17.5882,1008
09:33,17.64,17.815,17.64,17.815,543
09:34,17.65,17.83,17.65,17.745,1438
09:35,17.66,17.84,17.55,17.66,3720
09:36,17.66,17.72,17.66,17.67,1019
09:37,17.6055,17.6055,17.55,17.55,1575
09:40,17.57,17.57,17.57,17.57,714
09:41,17.5,17.51,17.47,17.47,1073
09:42,17.56,17.61,17.56,17.59,1045
09:46,17.5325,17.66,17.5,17.66,1285
09:47,17.5,17.5,17.5,17.5,1645
09:48,17.65,17.72,17.61,17.65,4256
09:50,17.61,17.6925,17.61,17.6925,221
09:54,17.577,17.61,17.577,17.61,2005
09:57,17.61,17.65,17.61,17.61,1015
09:59,17.66,17.66,17.592,17.66,300
10:00,17.7,17.7,17.7,17.7,193
10:01,17.71,17.72,17.61,17.635,2518
10:02,17.64,17.64,17.61,17.61,375
10:06,17.6978,17.72,17.615,17.615,445
10:07,17.72,17.72,17.615,17.66,600
10:08,17.66,17.66,17.46,17.46,1778
10:09,17.46,17.58,17.46,17.54,1632
10:10,17.54,17.56,17.54,17.56,400
10:11,17.56,17.56,17.56,17.56,216
10:12,17.62,17.62,17.56,17.56,500
10:13,17.63,17.63,17.63,17.63,207
10:14,17.59,17.63,17.59,17.63,223
10:15,17.63,17.63,17.56,17.56,481
10:16,17.56,17.57,17.56,17.57,310
10:18,17.48,17.51,17.48,17.51,552
10:20,17.55,17.55,17.55,17.55,100
10:21,17.54,17.61,17.54,17.58,625
10:22,17.505,17.56,17.505,17.56,500
10:23,17.56,17.56,17.56,17.56,100
10:24,17.59,17.6,17.59,17.6,300
10:25,17.6,17.6,17.6,17.6,153
10:28,17.6,17.6,17.56,17.56,200
10:29,17.6,17.6,17.6,17.6,101
10:30,17.61,17.61,17.605,17.61,329
10:31,17.62,17.62,17.62,17.62,201
10:32,17.63,17.63,17.63,17.63,520
10:33,17.62,17.62,17.62,17.62,218
10:34,17.65,17.65,17.65,17.65,347
10:35,17.64,17.64,17.58,17.615,374
10:36,17.65,17.65,17.61,17.61,389
10:38,17.63,17.63,17.61,17.61,384
10:39,17.65,17.65,17.65,17.65,100
10:40,17.66,17.81,17.66,17.755,1752
10:41,17.8,17.86,17.8,17.86,750
10:42,17.82,17.82,17.82,17.82,102
10:43,17.82,17.87,17.82,17.87,600
10:44,17.87,17.9,17.87,17.9,1301
10:45,17.9,17.92,17.885,17.92,1552
10:53,17.78,17.78,17.78,17.78,151
11:01,17.77,17.77,17.77,17.77,301
11:06,17.79,17.79,17.79,17.79,228
11:08,17.84,17.885,17.84,17.885,925
11:14,17.92,17.92,17.92,17.92,215
11:15,17.895,17.895,17.895,17.895,209
11:23,17.88,17.88,17.88,17.88,385
11:24,17.8999,17.8999,17.8999,17.8999,287
11:26,17.875,17.875,17.875,17.875,172
11:28,17.9,17.9,17.88,17.88,405
11:32,17.91,17.91,17.91,17.91,583
11:38,17.9,17.9,17.9,17.9,251
11:40,17.89,17.9,17.805,17.805,2313
11:41,17.7401,17.805,17.7401,17.805,900
11:42,17.8,17.8,17.795,17.795,1128
11:45,17.77,17.77,17.77,17.77,1474
11:54,17.84,17.84,17.76,17.76,982
12:00,17.79,17.8012,17.79,17.8012,1200
12:04,17.75,17.75,17.75,17.75,651
12:12,17.72,17.72,17.72,17.72,115
12:13,17.705,17.76,17.705,17.76,732
12:17,17.7663,17.7663,17.7663,17.7663,210
12:32,17.73,17.73,17.73,17.73,329
12:37,17.72,17.72,17.72,17.72,262
12:45,17.735,17.76,17.735,17.76,581
12:50,17.76,17.76,17.76,17.76,290
13:20,17.77,17.77,17.77,17.77,503
13:22,17.77,17.77,17.77,17.77,500
13:51,17.715,17.715,17.715,17.715,103
13:53,17.74,17.74,17.74,17.74,635
14:32,17.73,17.73,17.73,17.73,200
14:43,17.72,17.725,17.72,17.72,785
14:49,17.72,17.72,17.72,17.72,196
14:53,17.72,17.72,17.72,17.72,648
14:54,17.73,17.73,17.72,17.72,600
14:57,17.73,17.73,17.73,17.73,533
15:01,17.72,17.72,17.72,17.72,618
15:02,17.72,17.72,17.72,17.72,423
15:03,17.72,17.72,17.72,17.72,403
15:07,17.725,17.725,17.725,17.725,819
15:08,17.725,17.76,17.7249,17.749426,1321
15:09,17.725,17.725,17.725,17.725,406
15:10,17.746,17.76,17.74,17.755,1371
15:11,17.7999,17.7999,17.7621,17.7621,1607
15:12,17.79,17.83,17.76,17.79,1873
15:18,17.78,17.78,17.78,17.78,407
15:19,17.7636,17.7636,17.7636,17.7636,526
15:26,17.78,17.78,17.78,17.78,142
15:50,17.785,17.785,17.785,17.785,133
15:51,17.785,17.795,17.77,17.795,438
15:52,17.795,17.795,17.795,17.795,100
15:53,17.75,17.75,17.75,17.75,275
15:58,17.8,17.8,17.8,17.8,427
15:59,17.76,17.805,17.76,17.805,728
09:30,17.65,17.65,17.65,17.65,349
09:33,17.69,17.69,17.69,17.69,234
09:36,17.69,17.69,17.69,17.69,202
09:37,17.6015,17.6015,17.6015,17.6015,112
09:39,17.775,17.775,17.775,17.775,163
09:40,17.7,17.7,17.7,17.7,104
09:45,17.7,17.8,17.7,17.7,4553
10:07,17.7,17.7,17.7,17.7,201
10:08,17.7,17.7,17.7,17.7,316
10:35,17.6,17.6,17.6,17.6,268
10:52,17.6,17.6088,17.6,17.6088,300
11:28,17.59,17.59,17.56,17.56,700
12:28,17.43,17.43,17.35,17.35,758
12:31,17.43,17.43,17.4236,17.4236,251
12:33,17.35,17.35,17.35,17.35,335
12:49,17.5,17.5,17.5,17.5,1000
12:50,17.32,17.32,17.29,17.29,212
13:15,17.38,17.38,17.38,17.38,121
13:28,17.16,17.17,17.12,17.12,2635
13:39,17.12,17.12,17.12,17.12,201
13:42,17.1214,17.1214,17.1214,17.1214,106
13:48,17.145,17.145,17.145,17.145,256
13:51,17.125,17.125,17.125,17.125,119
14:25,17.1691,17.1691,17.1691,17.1691,603
14:26,17.17,17.17,17.17,17.17,646
14:35,17.23,17.23,17.23,17.23,103
14:42,17.17,17.17,17.17,17.17,111
14:58,17.16,17.16,17.16,17.16,220
15:01,17.17,17.17,17.17,17.17,143
15:10,17.155,17.155,17.155,17.155,183
15:12,17.22,17.22,17.22,17.22,521
15:14,17.18,17.18,17.18,17.18,112
15:41,17.18,17.18,17.18,17.18,1338
15:52,17.15,17.15,17.14,17.15,439
15:57,17.125,17.125,17.125,17.125,233
15:58,17.09,17.09,17.09,17.09,463
15:59,17.07,17.13,17.06,17.06,3017
