time,open,high,low,close,volume
09:30,1.3,1.3,1.27,1.28,120426
09:31,1.28,1.28,1.27,1.27,39861
09:32,1.271,1.2799,1.27,1.27,9486
09:33,1.2709,1.2999,1.27,1.2902,45434
09:34,1.29,1.3,1.28,1.28,101346
09:35,1.29,1.2988,1.2701,1.2799,20712
09:36,1.27,1.2813,1.26,1.275,32518
09:37,1.28,1.3,1.26,1.28,50381
09:38,1.2799,1.29,1.2774,1.29,8121
09:39,1.29,1.29,1.27,1.28,17586
09:40,1.2873,1.2899,1.27,1.27,6407
09:41,1.2675,1.28,1.26,1.27,7467
09:42,1.271,1.2773,1.2605,1.2605,7889
09:43,1.264,1.28,1.2502,1.2502,14338
09:44,1.26,1.26,1.2301,1.24,88239
09:45,1.2419,1.25,1.24,1.25,13386
09:46,1.2502,1.28,1.2502,1.28,58268
09:47,1.27,1.28,1.27,1.28,537
09:48,1.275,1.2786,1.27,1.2751,1806
09:49,1.2751,1.2786,1.275,1.2785,1937
09:50,1.27,1.28,1.27,1.2746,12515
09:51,1.28,1.285,1.25,1.2529,16247
09:52,1.26,1.2695,1.26,1.2695,8084
09:53,1.265,1.265,1.265,1.265,315
09:54,1.2658,1.2658,1.2601,1.2601,3056
09:55,1.2651,1.2699,1.265,1.2658,6956
09:56,1.262,1.2784,1.2612,1.2763,18322
09:57,1.27,1.28,1.2601,1.2601,5554
09:58,1.275,1.28,1.2617,1.27,5558
09:59,1.27,1.28,1.26,1.2783,5150
10:00,1.27,1.27,1.26,1.26,2079
10:01,1.2693,1.2693,1.26,1.269,4138
10:02,1.2658,1.32,1.2658,1.315,77552
10:03,1.32,1.32,1.3,1.31,19310
10:04,1.31,1.31,1.285,1.2963,8034
10:05,1.2993,1.2993,1.287,1.29,5172
10:06,1.3,1.3,1.2907,1.295,6547
10:07,1.295,1.31,1.29,1.2901,29792
10:08,1.3,1.31,1.3,1.3,12458
10:09,1.3094,1.3094,1.28,1.2801,21597
10:10,1.2835,1.285,1.2835,1.285,1498
