time,open,high,low,close,volume
09:30,3.7,3.7,3.7,3.7,1501
09:46,3.46,3.51,3.37,3.42,983
09:47,3.5,3.5,3.5,3.5,300
10:04,3.6,3.6,3.6,3.6,1000
10:18,3.46,3.46,3.46,3.46,100
13:31,3.42,3.42,3.42,3.42,100
14:13,3.49,3.49,3.42,3.44,1762
14:37,3.473153,3.473153,3.3298,3.3298,300
15:33,3.49,3.49,3.49,3.49,100
09:30,3.6,3.6,3.6,3.6,200
10:02,3.5136,3.5136,3.5136,3.5136,370
13:53,3.52,3.52,3.52,3.52,100
15:24,3.5181,3.5181,3.5181,3.5181,150
15:58,3.52,3.52,3.52,3.52,176
15:59,3.5182,3.5182,3.5182,3.5182,350
