time,open,high,low,close,volume
09:30,3.39,3.39,3.39,3.39,1393
09:31,3.398,3.398,3.398,3.398,25
09:33,3.396,3.396,3.396,3.396,10.4
09:34,3.399,3.399,3.361,3.361,30.5
09:35,3.379,3.379,3.379,3.379,10.1
09:36,3.399,3.399,3.39,3.39,133.1
09:39,3.398,3.399,3.398,3.399,1350.2
09:40,3.3975,3.399,3.39,3.399,196.1
09:42,3.397,3.397,3.397,3.397,2500.4
09:43,3.397,3.397,3.397,3.397,30.5
09:44,3.397,3.397,3.397,3.397,100.7
09:47,3.354,3.354,3.311,3.311,172.1
09:50,3.396,3.396,3.396,3.396,612.3
10:03,3.31,3.31,3.31,3.31,100.1
10:07,3.311,3.311,3.311,3.311,18.6
10:12,3.36,3.36,3.355,3.36,210.2
10:18,3.329,3.358,3.325,3.3295,467
10:19,3.359,3.359,3.359,3.359,30.8
10:20,3.343,3.343,3.343,3.343,44.2
10:21,3.315,3.315,3.315,3.315,56.5
10:25,3.343,3.343,3.343,3.343,15.1
10:31,3.315,3.315,3.315,3.315,80
10:37,3.311,3.311,3.3,3.3,408.6
10:41,3.2144,3.2144,3.2144,3.2144,499.6
10:49,3.298,3.298,3.298,3.298,25.4
10:50,3.254,3.254,3.254,3.254,20.3
10:52,3.254,3.254,3.254,3.254,228.3
10:56,3.213,3.3005,3.213,3.3005,44.2
10:57,3.3005,3.3005,3.3005,3.3005,251.1
10:59,3.31,3.31,3.31,3.31,109.2
11:04,3.343,3.343,3.343,3.343,10.2
11:05,3.3005,3.3005,3.3005,3.3005,12.2
11:07,3.343,3.343,3.343,3.343,10.3
11:11,3.259,3.259,3.259,3.259,100
11:15,3.3015,3.3015,3.3015,3.3015,37.3
11:16,3.344,3.344,3.344,3.344,48.3
11:18,3.302,3.302,3.302,3.302,220.6
11:19,3.31,3.31,3.301,3.301,50.4
11:21,3.301,3.3015,3.301,3.3015,28.2
11:25,3.344,3.344,3.344,3.344,19.9
11:28,3.345,3.345,3.345,3.345,33
11:31,3.302,3.302,3.302,3.302,11.6
11:34,3.343,3.396,3.343,3.396,411
11:35,3.345,3.345,3.345,3.345,12.2
11:44,3.395,3.395,3.395,3.395,100.4
12:15,3.396,3.396,3.3776,3.389,113.7
12:24,3.35,3.39,3.35,3.39,66.4
12:26,3.389,3.389,3.389,3.389,21
12:28,3.3813,3.391,3.35,3.391,389.4
12:33,3.355,3.355,3.355,3.355,11
12:35,3.395,3.395,3.395,3.395,30
12:47,3.395,3.395,3.395,3.395,10.3
12:57,3.364,3.364,3.364,3.364,146.8
13:16,3.359,3.359,3.3221,3.3221,109
13:28,3.357,3.357,3.357,3.357,51
13:31,3.396,3.44,3.396,3.44,2880.2
13:32,3.45,3.45,3.45,3.45,501
13:34,3.362,3.4,3.362,3.4,30
13:37,3.48,3.48,3.48,3.48,76.8
14:02,3.478,3.478,3.478,3.478,210
14:05,3.42,3.42,3.361,3.361,1359
14:09,3.402,3.402,3.402,3.402,100.5
14:10,3.42,3.42,3.42,3.42,200
14:17,3.391,3.42,3.391,3.418,1111.6
14:19,3.376,3.376,3.376,3.376,23.6
14:27,3.3985,3.3985,3.3985,3.3985,20.3
14:33,3.42,3.42,3.42,3.42,1991.7
14:35,3.448,3.448,3.444,3.444,45
14:37,3.455,3.455,3.455,3.455,200.3
14:38,3.48,3.48,3.48,3.48,50.7
14:44,3.459,3.459,3.459,3.459,10.3
14:51,3.48,3.48,3.48,3.48,10.3
14:53,3.46,3.5,3.46,3.497,868
14:57,3.499,3.499,3.499,3.499,23.5
14:58,3.46,3.5,3.429,3.5,245.9
15:02,3.432,3.481,3.419,3.481,389.4
15:03,3.49,3.563,3.49,3.563,1401
15:06,3.559,3.559,3.559,3.559,64.1
15:08,3.451,3.451,3.451,3.451,1000.4
15:15,3.55,3.55,3.55,3.55,15
15:18,3.505,3.505,3.505,3.505,32.4
15:26,3.5,3.5,3.5,3.5,120
15:29,3.522,3.522,3.522,3.522,47.3
15:33,3.479,3.479,3.479,3.479,12
15:34,3.5195,3.5195,3.5195,3.5195,15.2
15:36,3.52,3.52,3.52,3.52,34
15:41,3.52,3.52,3.52,3.52,18
15:49,3.525,3.525,3.51,3.51,66
15:50,3.525,3.525,3.522,3.522,101
15:53,3.502,3.502,3.5,3.5,110.8
15:55,3.55,3.555,3.534,3.535,370
09:30,3.615,3.615,3.502,3.54,1706.1
09:32,3.525,3.525,3.525,3.525,10.5
09:34,3.563,3.6479,3.541,3.549,442.7
09:38,3.501,3.501,3.501,3.501,38.3
09:40,3.501,3.501,3.501,3.501,23.6
09:47,3.522,3.524,3.522,3.524,110.2
09:50,3.521,3.521,3.521,3.521,63.9
09:51,3.535,3.535,3.535,3.535,10.2
09:55,3.549,3.549,3.547,3.548,815.5
09:57,3.549,3.549,3.548,3.548,66.3
09:58,3.5475,3.549,3.5475,3.549,118.2
10:00,3.57,3.57,3.57,3.57,15.5
10:01,3.5695,3.5695,3.5695,3.5695,40.7
10:05,3.592,3.592,3.592,3.592,10.8
10:14,3.547,3.547,3.547,3.547,70.3
10:30,3.593,3.593,3.592,3.592,23.6
10:35,3.593,3.593,3.593,3.593,103.7
10:38,3.5475,3.557,3.5475,3.557,160.1
10:41,3.557,3.557,3.557,3.557,10.5
10:43,3.587,3.587,3.587,3.587,20.5
10:44,3.589,3.589,3.589,3.589,20.4
10:49,3.5455,3.5455,3.5455,3.5455,29.9
10:50,3.5455,3.5455,3.5455,3.5455,20.1
10:51,3.589,3.589,3.503,3.553,30.1
10:52,3.589,3.589,3.553,3.571,30.2
10:53,3.506,3.589,3.506,3.5377,87.3
10:58,3.547,3.547,3.547,3.547,141.4
10:59,3.582,3.7,3.506,3.6555,10800.8
11:00,3.699,3.7,3.656,3.7,6538
11:01,3.799,3.8,3.799,3.799,1044.8
11:02,3.756,3.756,3.756,3.756,64.3
11:03,3.754,3.754,3.754,3.754,13.3
11:04,3.684,3.705,3.684,3.705,135.3
11:06,3.699,3.699,3.621,3.621,819.7
11:07,3.621,3.621,3.621,3.621,23.4
11:11,3.699,3.699,3.602,3.602,51.9
11:14,3.652,3.652,3.652,3.652,11.3
11:15,3.652,3.652,3.652,3.652,301.5
11:16,3.603,3.612,3.542,3.602,6257.6
11:17,3.559,3.559,3.559,3.559,10.4
11:18,3.522,3.55,3.431,3.459,4741.9
11:20,3.432,3.432,3.351,3.375,2571.1
11:21,3.399,3.4,3.399,3.4,49.8
11:22,3.399,3.399,3.399,3.399,30.1
11:24,3.4,3.4,3.399,3.4,376.9
11:26,3.4,3.4,3.4,3.4,20.2
11:32,3.376,3.376,3.376,3.376,13.2
11:39,3.4,3.4,3.399,3.4,1313.2
11:40,3.4,3.4,3.4,3.4,2702.6
11:42,3.45,3.45,3.45,3.45,11.3
11:45,3.489,3.489,3.489,3.489,10.2
11:59,3.475,3.475,3.475,3.475,10.3
12:02,3.404,3.404,3.404,3.404,50.1
12:04,3.439,3.439,3.439,3.439,25
12:13,3.45,3.45,3.45,3.45,12.2
12:23,3.413,3.413,3.413,3.413,10.6
12:29,3.445,3.445,3.432,3.432,110.5
12:34,3.445,3.445,3.445,3.445,10.6
12:38,3.445,3.445,3.445,3.445,10.4
12:42,3.403,3.403,3.401,3.401,220.6
12:44,3.445,3.445,3.445,3.445,15.2
13:12,3.413,3.4445,3.413,3.4445,30.8
13:15,3.445,3.445,3.444,3.444,42
13:17,3.445,3.445,3.445,3.445,40.4
13:19,3.413,3.413,3.413,3.413,13.5
13:23,3.487,3.487,3.458,3.458,97.5
13:35,3.47,3.47,3.47,3.47,20.5
13:36,3.533,3.533,3.533,3.533,58.7
13:40,3.402,3.402,3.402,3.402,549.5
13:47,3.478,3.478,3.433,3.433,66.3
13:50,3.478,3.478,3.478,3.478,10.7
13:53,3.49,3.49,3.49,3.49,10.6
13:56,3.491,3.491,3.491,3.491,10.6
13:58,3.455,3.455,3.455,3.455,10.4
13:59,3.49,3.49,3.45,3.454,124
14:02,3.451,3.451,3.45,3.45,30.2
14:15,3.456,3.456,3.41,3.41,1600.3
14:26,3.424,3.424,3.424,3.424,24.4
14:36,3.422,3.433,3.422,3.433,144.3
14:51,3.413,3.413,3.376,3.413,237.1
14:52,3.356,3.356,3.33,3.33,205.9
14:56,3.302,3.302,3.301,3.301,112.1
14:57,3.3,3.3,3.3,3.3,58.9
15:05,3.396,3.396,3.396,3.396,10.8
15:07,3.395,3.395,3.395,3.395,20.8
15:24,3.3011,3.3011,3.3011,3.3011,20.1
15:30,3.399,3.399,3.396,3.396,28.3
15:32,3.399,3.4,3.399,3.4,68.3
15:36,3.387,3.4,3.387,3.4,84.3
15:42,3.483,3.483,3.483,3.483,20.8
15:43,3.43,3.483,3.43,3.483,46.6
15:44,3.45,3.45,3.426,3.426,20.7
15:46,3.426,3.426,3.426,3.426,20.5
15:51,3.462,3.462,3.462,3.462,13.8
15:54,3.462,3.462,3.462,3.462,15.1
15:57,3.461,3.461,3.383,3.383,75
