time,open,high,low,close,volume
09:30,4.39,4.39,4.39,4.39,4505
09:38,4.17,4.17,4.17,4.17,221
10:04,4.19,4.19,4.19,4.19,1001
10:05,4.2566,4.29,4.18,4.29,4155
10:44,4.29,4.3,4.29,4.3,1689
11:17,4.22,4.22,4.22,4.22,628
11:31,4.1884,4.1884,4.1884,4.1884,544
12:06,4.2,4.2999,4.2,4.2999,1300
12:07,4.2,4.2,4.17,4.19,4587
12:15,4.17,4.17,4.17,4.17,207
12:21,4.17,4.17,4.17,4.17,2847
12:39,4.2597,4.2597,4.18,4.2,835
12:40,4.1601,4.2111,4.1601,4.2111,1531
12:41,4.25,4.25,4.2,4.2,438
12:43,4.16,4.16,4.16,4.16,319
12:44,4.14,4.14,4.11,4.11,1542
12:48,4.16,4.16,4.16,4.16,433
12:49,4.16,4.16,4.16,4.16,498
12:54,4.225,4.225,4.225,4.225,215
12:57,4.24,4.24,4.24,4.24,589
13:12,4.09,4.14,4.09,4.14,247
13:16,4.1,4.1,4.1,4.1,197
13:24,4.14,4.14,4.14,4.14,268
14:10,4.09,4.09,4.09,4.09,103
14:43,4.1409,4.1409,4.1409,4.1409,125
14:56,4.07,4.1,4.06,4.06,916
15:12,4.2335,4.2335,4.2335,4.2335,537
15:14,4.15,4.15,4.15,4.15,814
15:17,4.16,4.16,4.16,4.16,250
15:56,4.15,4.15,4.15,4.15,200
09:30,4.06,4.06,4.06,4.06,299
09:31,4.07,4.07,4.0605,4.0605,260
09:40,4.06,4.07,4.06,4.06,1027
09:41,4.2715,4.2715,4.2715,4.2715,125
10:33,4.1,4.1,4.1,4.1,505
11:27,4.05,4.104,4.05,4.104,600
11:41,4.15,4.15,4.15,4.15,150
11:56,4.14,4.15,4.1,4.15,963
12:01,4.14,4.15,4.14,4.15,820
12:23,4.3099,4.3099,4.3099,4.3099,146
12:44,4.17,4.17,4.17,4.17,250
12:57,4.135,4.135,4.135,4.135,492
12:59,4.11,4.15,4.11,4.15,498
13:01,4.095,4.095,4.095,4.095,918
14:03,4.05,4.05,4.05,4.05,127
14:05,4.0411,4.0411,4.0411,4.0411,100
14:31,4.1474,4.1474,4.1474,4.1474,1001
14:49,4.1487,4.1487,4.1487,4.1487,750
14:50,4.085,4.1424,4.085,4.1424,1125
15:00,4.09,4.09,4.09,4.09,500
15:01,4.1431,4.1431,4.1431,4.1431,550
15:31,4.1442,4.1442,4.1442,4.1442,500
15:37,4.0712,4.0712,4.0712,4.0712,200
15:59,4.07,4.07,4.07,4.07,130
