time,open,high,low,close,volume
11:55,1.6294,1.6294,1.6294,1.6294,112
11:58,1.57,1.57,1.57,1.57,600
12:13,1.56,1.56,1.54,1.54,2629
12:49,1.54,1.55,1.54,1.55,500
12:53,1.55,1.55,1.54,1.55,500
12:56,1.55,1.55,1.55,1.55,500
12:59,1.55,1.55,1.55,1.55,1202
13:20,1.56,1.56,1.56,1.56,100
14:39,1.57,1.57,1.57,1.57,714
14:55,1.57,1.57,1.57,1.57,619
10:22,1.55,1.55,1.55,1.55,500
11:23,1.5501,1.5501,1.48,1.48,3605
13:10,1.55,1.55,1.55,1.55,595
13:32,1.55,1.55,1.55,1.55,333
14:11,1.56,1.56,1.56,1.56,166
15:13,1.55,1.55,1.55,1.55,900
