time,open,high,low,close,volume
09:30,1.25,1.25,1.2394,1.24,24381
09:31,1.25,1.28,1.25,1.28,27254
09:32,1.285,1.2981,1.27,1.29,6382
09:33,1.2999,1.31,1.28,1.31,13601
09:34,1.3038,1.38,1.3038,1.3797,92932
09:35,1.37,1.385,1.3404,1.385,54102
09:36,1.385,1.47,1.36,1.37,55474
09:37,1.37,1.41,1.37,1.39,37196
09:38,1.41,1.42,1.38,1.41,41669
09:39,1.415,1.42,1.37,1.4,32802
09:40,1.42,1.45,1.4,1.4416,32632
09:41,1.43,1.43,1.35,1.365,79262
09:42,1.38,1.39,1.36,1.385,16867
09:43,1.3999,1.43,1.3818,1.42,34519
09:44,1.425,1.4278,1.37,1.3819,32129
09:45,1.3825,1.39,1.36,1.37,32869
09:46,1.37,1.38,1.36,1.375,56497
09:47,1.38,1.43,1.375,1.425,68638
09:48,1.425,1.4295,1.4,1.4,26963
09:49,1.41,1.41,1.3894,1.3991,12594
09:50,1.3991,1.405,1.3905,1.395,16287
09:51,1.3903,1.4495,1.3903,1.43,61921
09:52,1.42,1.43,1.38,1.405,71211
09:53,1.405,1.4126,1.36,1.39,22714
09:54,1.3801,1.39,1.38,1.3898,10318
09:55,1.37,1.3795,1.34,1.3401,61621
09:56,1.355,1.3697,1.34,1.3426,23225
09:57,1.35,1.38,1.34,1.37,17087
09:58,1.37,1.38,1.3605,1.3695,4904
09:59,1.3605,1.369,1.3605,1.3612,3522
10:00,1.3653,1.37,1.36,1.3662,10181
10:01,1.3795,1.4,1.3695,1.4,19458
10:02,1.395,1.4,1.39,1.3942,26952
10:03,1.3902,1.41,1.3902,1.405,46542
10:04,1.4092,1.45,1.4092,1.4491,46504
10:05,1.445,1.445,1.4004,1.41,42450
10:06,1.42,1.43,1.41,1.42,3496
10:07,1.42,1.43,1.41,1.41,13756
10:08,1.4101,1.419934,1.39,1.419934,19684
10:09,1.405,1.4099,1.39,1.4097,9755
10:10,1.38,1.39,1.37,1.3738,18093
10:11,1.3716,1.375,1.36,1.3601,12456
10:12,1.365,1.39,1.3602,1.39,14552
10:13,1.3792,1.39,1.37,1.3878,4217
10:14,1.3705,1.39,1.36,1.3801,26502
10:15,1.372,1.38,1.3716,1.38,5544
10:16,1.3893,1.4,1.3799,1.39,14296
10:17,1.385,1.39,1.38,1.3893,5559
10:18,1.39,1.39,1.38,1.385,7069
10:19,1.3805,1.3898,1.3805,1.385,5936
10:20,1.39,1.3988,1.39,1.3951,1886
10:21,1.39,1.39,1.3835,1.39,7064
10:22,1.3901,1.3999,1.39,1.3988,3848
10:23,1.3975,1.4,1.3912,1.3999,6962
10:24,1.395,1.4,1.395,1.4,538
10:25,1.3999,1.3999,1.39,1.39,7144
10:26,1.3995,1.4,1.3906,1.3999,6911
10:27,1.4,1.4,1.395,1.395,780
10:28,1.3995,1.3995,1.39,1.395,3940
10:29,1.395,1.4,1.39,1.4,21988
10:30,1.3901,1.4,1.38,1.3895,14031
10:31,1.39,1.3996,1.39,1.395,5766
10:32,1.4,1.4,1.39,1.39,1904
10:33,1.395,1.41,1.395,1.395,10331
10:34,1.4,1.4,1.39,1.39,3539
10:35,1.39,1.4,1.39,1.3905,4939
10:36,1.395,1.4,1.3936,1.4,5993
10:37,1.39,1.39,1.385,1.3891,5227
10:38,1.385,1.385,1.3846,1.3846,1251
10:39,1.3805,1.3892,1.38,1.3892,5342
10:40,1.385,1.39,1.385,1.3892,13409
10:41,1.38,1.41,1.38,1.405,10335
10:42,1.405,1.42,1.3941,1.405,32660
10:43,1.4001,1.4001,1.395,1.395,4493
10:44,1.395,1.4,1.381,1.381,10767
10:45,1.3827,1.4,1.37,1.39,12721
10:46,1.3989,1.4,1.395,1.399,4097
10:47,1.3919,1.395,1.3919,1.395,2925
10:48,1.3901,1.405,1.3901,1.401,11985
10:49,1.4095,1.4099,1.395,1.395,36355
10:50,1.39,1.39,1.385,1.3895,3855
10:51,1.3805,1.3893,1.38,1.385,4973
10:52,1.39,1.4,1.3899,1.395,9813
10:53,1.3958,1.3958,1.3902,1.3905,1427
10:54,1.3992,1.3992,1.39,1.3907,4378
10:55,1.395,1.4,1.39,1.3903,14958
10:56,1.395,1.3958,1.395,1.3958,1584
10:57,1.3905,1.3998,1.3905,1.395,3332
10:58,1.395,1.3995,1.395,1.3995,883
10:59,1.395,1.399,1.3949,1.399,7334
11:00,1.3935,1.3935,1.3901,1.3901,7585
11:01,1.4,1.4,1.4,1.4,10534
11:02,1.3999,1.4,1.39,1.3988,15662
11:03,1.3962,1.4,1.3905,1.395,6035
11:04,1.3991,1.4,1.3901,1.3995,8863
11:05,1.395,1.4,1.39,1.4,11154
11:06,1.3905,1.3905,1.3905,1.3905,1304
11:07,1.395,1.4,1.3903,1.4,10753
11:08,1.395,1.4,1.39,1.4,7604
11:09,1.395,1.4,1.395,1.395,5137
11:10,1.39,1.4,1.39,1.4,11531
11:11,1.3998,1.4,1.395,1.395,2667
11:12,1.3995,1.3995,1.3995,1.3995,231
11:13,1.39,1.4,1.39,1.4,1645
11:14,1.395,1.395,1.395,1.395,1006
11:15,1.3947,1.4,1.3903,1.3912,11092
11:16,1.395,1.4,1.389,1.4,11454
11:17,1.4,1.4,1.3995,1.3995,628
11:18,1.3902,1.3911,1.3902,1.3908,3096
11:19,1.3908,1.4,1.3906,1.4,4050
11:20,1.39,1.4,1.39,1.39,3423
11:22,1.39,1.39,1.3805,1.381,5461
11:23,1.385,1.39,1.381,1.3895,4692
11:24,1.38,1.385,1.37,1.37,50310
11:25,1.375,1.375,1.37,1.3701,2712
11:27,1.375,1.375,1.375,1.375,311
11:28,1.37,1.38,1.37,1.3705,18801
11:29,1.3795,1.38,1.375,1.375,14448
11:30,1.3793,1.3793,1.375,1.375,736
11:31,1.3795,1.38,1.3795,1.38,633
11:32,1.3711,1.375,1.3711,1.375,1998
11:33,1.3792,1.38,1.375,1.375,11195
11:34,1.375,1.38,1.375,1.38,458
11:35,1.3705,1.3705,1.3705,1.3705,268
11:36,1.3751,1.39,1.3691,1.39,20299
11:37,1.38,1.39,1.37,1.38,11720
11:38,1.39,1.39,1.39,1.39,200
11:39,1.39,1.39,1.385,1.39,798
11:40,1.395,1.4,1.385,1.385,5686
11:41,1.3886,1.39,1.385,1.39,1630
11:42,1.3899,1.39,1.3809,1.3863,1836
11:43,1.39,1.39,1.381,1.381,858
11:44,1.38,1.3801,1.37,1.3795,29231
11:45,1.38,1.385,1.38,1.385,2584
11:47,1.38,1.385,1.38,1.385,9539
11:48,1.3835,1.3885,1.38,1.38,3652
11:49,1.375,1.375,1.3709,1.3709,1759
11:51,1.37,1.37,1.37,1.37,215
11:52,1.38,1.38,1.375,1.38,12155
11:53,1.39,1.4,1.39,1.4,2475
11:54,1.3941,1.3999,1.39,1.3999,2074
11:55,1.4,1.4,1.4,1.4,315
11:56,1.395,1.4,1.39,1.39,8716
11:57,1.3958,1.3958,1.3958,1.3958,105
11:58,1.395,1.395,1.39,1.39,2498
11:59,1.3805,1.3805,1.3805,1.3805,388
12:00,1.385,1.39,1.3801,1.39,4154
12:01,1.39,1.39,1.39,1.39,546
12:02,1.395,1.395,1.3901,1.395,2296
12:03,1.4,1.4,1.3963,1.4,8030
12:04,1.3996,1.3996,1.3995,1.3995,585
12:05,1.395,1.395,1.395,1.395,629
12:06,1.3945,1.4,1.3945,1.395,5713
12:07,1.3908,1.3908,1.3908,1.3908,1407
12:08,1.3999,1.3999,1.3999,1.3999,1593
12:09,1.3958,1.4,1.39,1.4,14090
12:10,1.395,1.4,1.395,1.4,3202
12:11,1.391,1.391,1.391,1.391,478
12:12,1.3995,1.4,1.3991,1.4,4495
12:13,1.395,1.4,1.395,1.4,6486
12:14,1.395,1.395,1.395,1.395,2392
12:15,1.3995,1.3995,1.395,1.395,1672
12:16,1.3901,1.3901,1.3901,1.3901,2948
12:17,1.3991,1.3992,1.39,1.3992,3633
12:18,1.395,1.395,1.3901,1.3901,1258
12:19,1.39,1.3995,1.39,1.3995,1694
12:20,1.3905,1.3905,1.39,1.39,493
12:22,1.3909,1.395,1.39,1.395,2136
12:23,1.3951,1.3951,1.395,1.395,228
12:24,1.3982,1.4,1.395,1.395,7940
12:25,1.3972,1.399,1.395,1.395,888
