time,open,high,low,close,volume
09:30,7.01,7.71,6.31,7.55,16062
09:35,7.3,7.3,6.901,6.901,13308
09:36,6.9,7,6.57,6.57,11520
09:46,6.29,6.29,6,6.001,9220
09:47,6,6.13,5.72,5.95,9281
09:48,5.95,6.03,5.7921,5.9,6811
09:49,5.89,6.47,5.89,6.47,5943
09:50,6.4953,6.54,6.14,6.14,2981
09:51,6.245,6.45,6.23,6.25,2036
09:52,6.3,6.47,6.2,6.21,6806
09:53,6.4,6.49,6.2283,6.2283,1012
09:54,6.4487,6.4487,6.1914,6.1914,2123
09:55,6.2902,6.2902,6.2902,6.2902,131
09:56,6.2806,6.2806,6.2806,6.2806,756
09:57,6.17,6.17,5.9871,5.9871,658
09:58,6.02,6.02,5.97,5.9778,3770
09:59,5.95,5.95,5.8411,5.9,6023
10:00,5.8595,6.0002,5.8595,6.0002,547
10:01,6.03,6.15,6.03,6.095,1114
10:02,6.0424,6.0424,5.95,5.99,5791
10:03,5.9,5.9,5.9,5.9,1419
10:04,5.79,5.8999,5.7,5.7,2836
10:05,5.8,5.89,5.8,5.89,1911
10:06,5.8001,5.9,5.8001,5.81,3335
10:07,5.85,5.9283,5.81,5.9283,1677
10:09,5.92,5.98,5.92,5.98,785
10:11,5.8538,5.8538,5.8538,5.8538,312
10:12,5.9983,5.9983,5.9983,5.9983,139
10:13,6,6,6,6,208
10:18,5.9898,5.9898,5.9898,5.9898,309
10:19,5.846,5.85,5.846,5.85,664
10:20,5.802,5.802,5.8,5.8,709
10:21,5.85,5.85,5.85,5.85,216
10:23,5.89,5.92,5.89,5.92,2105
10:24,5.8952,5.9,5.8952,5.9,577
10:25,5.8817,5.8817,5.8817,5.8817,250
10:26,5.85,5.85,5.76,5.76,5220
10:28,5.7499,5.7499,5.56,5.5614,1008
10:35,5.665,5.665,5.5968,5.5968,201
10:41,5.635,5.69,5.635,5.69,829
10:42,5.5981,5.61,5.5981,5.61,427
10:43,5.61,5.61,5.5,5.5,2943
10:44,5.6,5.6,5.6,5.6,549
10:46,5.5,5.51,5.4668,5.4668,943
10:47,5.47,5.47,5.4,5.4,2900
10:48,5.3,5.3,5.1801,5.1801,543
10:49,5.25,5.3,5.15,5.28,2947
10:50,5.29,5.42,5.29,5.42,503
10:51,5.2038,5.2038,5.2038,5.2038,110
10:52,5.3,5.3,5.2961,5.2961,1152
10:53,5.35,5.35,5.35,5.35,290
10:54,5.3207,5.3207,5.3207,5.3207,246
10:59,5.45,5.49,5.3836,5.3836,955
11:00,5.48,5.48,5.48,5.48,184
11:03,5.581,5.581,5.581,5.581,366
11:04,5.505,5.505,5.505,5.505,205
11:05,5.53,5.53,5.53,5.53,1118
11:07,5.5434,5.5434,5.5018,5.5018,476
11:09,5.3998,5.3999,5.3998,5.3999,1230
11:10,5.33,5.33,5.2643,5.2643,1145
11:16,5.351,5.351,5.351,5.351,105
11:23,5.3725,5.431,5.35,5.431,2101
11:24,5.4327,5.4327,5.4327,5.4327,320
11:25,5.44,5.4401,5.43,5.4366,859
11:26,5.43,5.43,5.43,5.43,780
11:28,5.4368,5.4368,5.4368,5.4368,485
11:31,5.38,5.38,5.38,5.38,334
11:33,5.38,5.38,5.38,5.38,655
11:34,5.4114,5.4114,5.4114,5.4114,123
11:36,5.37,5.37,5.35,5.35,1446
11:40,5.3001,5.3001,5.3001,5.3001,120
11:45,5.3859,5.5,5.3859,5.4915,4570
11:46,5.5,5.5,5.39,5.43,2191
11:47,5.358,5.4501,5.358,5.4501,3123
11:49,5.4841,5.4841,5.4841,5.4841,403
11:50,5.4,5.4396,5.4,5.4396,4110
11:51,5.4396,5.55,5.4101,5.55,15402
11:52,5.6,5.6,5.6,5.6,100
11:53,5.65,5.76,5.535,5.7,3713
11:54,5.6001,5.6001,5.6001,5.6001,242
12:04,5.6,5.6015,5.6,5.6015,2102
12:06,5.59,5.6,5.5836,5.6,2774
12:10,5.6,5.6,5.6,5.6,457
12:12,5.6129,5.6129,5.6129,5.6129,416
12:17,5.6483,5.6483,5.6483,5.6483,681
12:20,5.59,5.59,5.59,5.59,800
12:27,5.535,5.535,5.535,5.535,105
12:29,5.4852,5.4852,5.47,5.47,419
12:34,5.4,5.4,5.4,5.4,349
12:36,5.3896,5.3896,5.3896,5.3896,650
12:38,5.38,5.38,5.29,5.31,4919
12:39,5.295,5.3401,5.2901,5.3401,700
12:40,5.45,5.5,5.34,5.5,16738
12:41,5.48,5.6,5.35,5.35,3099
12:42,5.416,5.5,5.3401,5.47,5706
12:43,5.35,5.38,5.35,5.38,280
12:44,5.56,5.58,5.56,5.56,4039
12:57,5.42,5.42,5.42,5.42,197
12:59,5.45,5.46,5.45,5.46,358
13:01,5.4542,5.4542,5.39,5.39,315
13:03,5.4518,5.4518,5.4518,5.4518,150
13:05,5.38,5.38,5.38,5.38,156
13:25,5.38,5.38,5.38,5.38,625
13:27,5.45,5.5,5.45,5.5,1643
13:28,5.54,5.54,5.52,5.54,1375
13:33,5.54,5.5512,5.51,5.5512,300
13:49,5.5655,5.5655,5.5655,5.5655,110
13:58,5.4859,5.4859,5.4859,5.4859,100
14:02,5.4801,5.4801,5.48,5.48,1300
14:03,5.48,5.55,5.47,5.55,3392
14:04,5.5,5.55,5.48,5.48,2684
14:05,5.49,5.55,5.48,5.55,3647
14:06,5.49,5.49,5.4801,5.4801,378
14:12,5.515,5.515,5.515,5.515,210
14:13,5.49,5.49,5.49,5.49,114
14:19,5.49,5.49,5.4801,5.4801,224
14:22,5.48,5.48,5.48,5.48,159
14:30,5.505,5.505,5.505,5.505,133
14:42,5.505,5.505,5.505,5.505,211
14:46,5.49,5.49,5.4801,5.4801,443
14:47,5.4658,5.48,5.4606,5.4606,901
14:49,5.48,5.48,5.48,5.48,221
14:53,5.48,5.48,5.48,5.48,182
14:54,5.48,5.48,5.48,5.48,100
14:55,5.5,5.5,5.48,5.48,339
15:03,5.48,5.5,5.48,5.48,450
15:09,5.48,5.48,5.48,5.48,200
15:11,5.485,5.485,5.485,5.485,125
15:12,5.5,5.5,5.48,5.48,692
15:13,5.49,5.49,5.4801,5.4801,411
15:14,5.48,5.48,5.48,5.48,101
15:16,5.48,5.48,5.47,5.47,535
15:24,5.461,5.461,5.42,5.46,4176
15:27,5.41,5.41,5.4,5.4,482
15:28,5.48,5.48,5.48,5.48,334
15:31,5.48,5.48,5.48,5.48,148
15:34,5.46,5.46,5.46,5.46,505
15:40,5.54,5.54,5.54,5.54,733
15:41,5.47,5.47,5.47,5.47,235
15:42,5.485,5.5397,5.4648,5.4648,521
15:44,5.4378,5.4378,5.4378,5.4378,305
15:49,5.49,5.49,5.49,5.49,126
15:53,5.436,5.436,5.43,5.4301,1820
15:54,5.42,5.54,5.42,5.54,209
15:56,5.54,5.54,5.485,5.485,250
15:58,5.47,5.47,5.47,5.47,300
15:59,5.47,5.48,5.47,5.48,641
09:30,5.34,5.4,5.2201,5.4,2391
09:33,5.3889,5.3889,5.3889,5.3889,126
09:36,5.4087,5.4087,5.4087,5.4087,3788
09:37,5.3229,5.3229,5.3229,5.3229,160
09:50,5.51,5.51,5.5078,5.5078,2273
