time,open,high,low,close,volume
09:30,5.3,5.6,5.21,5.21,1942
09:31,5.35,5.4925,5.2,5.2,2132
09:32,5.2696,5.2696,5.1401,5.16,2491
09:33,5.1402,5.205,5.1402,5.1432,607
09:35,5.1401,5.1401,5.1401,5.1401,193
09:36,5.2,5.27,5.2,5.27,343
09:37,5.205,5.27,5.205,5.27,1141
09:40,5.27,5.27,5.27,5.27,188
09:42,5.3172,5.35,5.26,5.35,1531
09:43,5.4765,5.6464,5.47,5.6464,2799
09:44,5.81,5.988,5.62,5.65,4810
09:45,5.9596,5.9596,5.65,5.73,1701
09:46,5.725,5.725,5.64,5.6624,1057
09:47,5.6664,5.75,5.66,5.75,1055
09:48,5.76,5.76,5.62,5.62,4058
09:53,5.6,5.6,5.29,5.3,765
09:56,5.445,5.445,5.29,5.3,2436
09:59,5.2701,5.2701,5.16,5.16,549
10:00,5.24,5.25,5.195,5.25,5940
10:01,5.2429,5.2429,5.1,5.1,1088
10:03,5.2,5.2,4.9216,4.9291,3549
10:04,5.03,5.08,4.9401,5.08,2932
10:05,5.1999,5.1999,5.1999,5.1999,186
10:06,5.15,5.15,5.15,5.15,331
10:07,5.199,5.199,5.199,5.199,228
10:08,5.15,5.15,5.15,5.15,543
10:09,5.09,5.09,5.09,5.09,821
10:10,5.07,5.07,5.01,5.01,2060
10:13,5.0088,5.0088,5.0088,5.0088,680
10:15,5.0002,5.0002,5,5,461
10:17,5.0101,5.115,5.0101,5.115,562
10:18,5.18,5.18,5.18,5.18,320
10:23,5.18,5.195,5.18,5.195,2366
10:24,5,5,5,5,683
10:25,5,5.075,5,5.075,424
10:34,5.135,5.135,5.12,5.12,531
10:35,5.194,5.2,5.1273,5.2,6873
10:37,5.2,5.2,5.1684,5.2,2419
10:38,5.1667,5.24,5.155,5.24,3213
10:39,5.24,5.35,5.24,5.3499,467
10:41,5.265,5.3414,5.265,5.3414,585
10:47,5.33,5.33,5.33,5.33,303
10:49,5.3233,5.35,5.255,5.34,7130
10:50,5.3,5.3,5.3,5.3,327
10:51,5.35,5.455,5.35,5.455,648
10:52,5.33,5.36,5.235,5.36,2357
10:53,5.2,5.34,5.1367,5.2701,8139
10:55,5.26,5.26,5.26,5.26,176
10:57,5.27,5.28,5.27,5.28,261
10:58,5.39,5.58,5.39,5.53,1326
10:59,5.52,5.6,5.52,5.59,1074
11:00,5.58,5.58,5.52,5.545,770
11:07,5.44,5.4401,5.44,5.4401,553
11:09,5.53,5.61,5.51,5.61,4119
11:10,5.52,5.58,5.36,5.36,6241
11:11,5.4,5.4,5.4,5.4,1008
11:12,5.4,5.5021,5.4,5.5021,1208
11:14,5.3558,5.3558,5.3558,5.3558,354
11:15,5.36,5.36,5.36,5.36,439
11:19,5.36,5.36,5.36,5.36,457
11:20,5.3939,5.3939,5.3939,5.3939,264
11:22,5.36,5.36,5.3,5.3,1082
11:23,5.28,5.28,5.28,5.28,517
11:25,5.25,5.25,5.25,5.25,1279
11:27,5.2501,5.3033,5.2501,5.3033,1502
11:30,5.36,5.36,5.351921,5.351921,772
11:32,5.3,5.3,5.3,5.3,664
11:34,5.25,5.25,5.25,5.25,959
11:37,5.2571,5.305,5.2571,5.305,416
11:38,5.3519,5.3519,5.3519,5.3519,185
