time,open,high,low,close,volume
09:54,1.35,1.35,1.35,1.35,100
10:07,1.35,1.35,1.3499,1.3499,2000
11:17,1.33,1.33,1.31,1.31,900
11:18,1.2748,1.2748,1.2748,1.2748,1000
11:19,1.27,1.27,1.27,1.27,1000
11:23,1.27,1.27,1.27,1.27,600
11:58,1.265,1.27,1.265,1.27,600
12:24,1.255,1.255,1.25,1.25,1500
13:01,1.255,1.255,1.25,1.25,2500
13:04,1.25,1.25,1.25,1.25,500
13:15,1.25,1.25,1.25,1.25,700
13:22,1.25,1.25,1.25,1.25,230
14:11,1.26,1.26,1.26,1.26,1000
14:39,1.25,1.25,1.25,1.25,200
15:01,1.25,1.25,1.25,1.25,706
15:17,1.24,1.24,1.2,1.2,6636
15:22,1.15,1.16,1.15,1.15,6534
15:24,1.1499,1.15,1.1499,1.15,1354
15:26,1.15,1.15,1.15,1.15,355
15:30,1.24,1.24,1.24,1.24,200
15:36,1.25,1.27,1.25,1.27,44800
15:39,1.27,1.27,1.27,1.27,1379
15:40,1.27,1.27,1.27,1.27,600
15:42,1.2751,1.2751,1.27,1.27,393
15:43,1.27,1.27,1.27,1.27,255
15:53,1.27,1.27,1.27,1.27,200
09:44,1.2845,1.3,1.2845,1.2845,3203
09:57,1.3035,1.3035,1.3035,1.3035,100
10:03,1.31,1.31,1.31,1.31,100
10:28,1.3058,1.3058,1.3,1.3,1200
10:32,1.3075,1.3075,1.3075,1.3075,100
11:52,1.305,1.305,1.295,1.295,3608
12:12,1.28,1.28,1.28,1.28,100
12:17,1.29,1.29,1.29,1.29,100
12:33,1.2959,1.2959,1.2959,1.2959,2001
13:07,1.28,1.28,1.28,1.28,100
13:12,1.29,1.29,1.29,1.29,100
13:34,1.295,1.3,1.29,1.3,22663
13:52,1.295,1.295,1.295,1.295,100
14:12,1.295,1.295,1.295,1.295,403
14:13,1.305,1.305,1.3,1.3,846
14:41,1.3,1.3,1.3,1.3,100
14:45,1.305,1.305,1.305,1.305,100
15:09,1.3,1.3,1.3,1.3,200
15:10,1.305,1.305,1.305,1.305,100
15:34,1.3058,1.3058,1.3,1.3,1100
15:37,1.305,1.305,1.305,1.305,100
15:44,1.3,1.3,1.3,1.3,200
15:51,1.3054,1.3054,1.3,1.3,1300
15:52,1.3,1.3,1.3,1.3,154
15:55,1.305,1.305,1.3,1.305,1300
15:59,1.3,1.3,1.3,1.3,241
