time,open,high,low,close,volume
09:30,2.88,2.918,2.8401,2.891,22818
09:32,2.9088,2.94,2.9088,2.93,12768
09:33,2.95,2.955,2.94,2.955,3244
09:34,2.94,2.96,2.94,2.95,3392
09:35,2.97,3,2.9518,2.9991,14772
09:36,2.9985,3.015,2.9985,3.015,7757
09:37,3.0138,3.0299,3,3.0299,4379
09:38,3.006,3.025,3.006,3.025,4942
09:39,3.025,3.03,2.9999,2.9999,5126
09:40,3,3.01,2.99,2.9914,1525
09:41,3.0136,3.0136,3.01,3.01,1016
09:42,3,3,2.99,3,1554
09:44,3.01,3.01,3.01,3.01,628
09:46,2.9901,3,2.99,3,6424
09:47,3,3,2.98,3,11756
09:48,3.0009,3.0054,2.98,2.9929,6028
09:49,2.97,2.97,2.92,2.9418,10502
09:50,2.925,2.925,2.9142,2.9142,2058
09:51,2.915,2.919,2.9,2.9,2094
09:52,2.925,2.925,2.9,2.9,7451
09:53,2.89,2.89,2.84,2.84,2184
09:54,2.87,2.87,2.84,2.8415,962
09:55,2.875,2.928,2.875,2.89,4786
09:56,2.915,2.9174,2.9045,2.915,3216
09:57,2.9,2.91,2.89,2.91,2482
09:58,2.87,2.91,2.87,2.91,200
10:00,2.9164,2.9164,2.91,2.91,1141
10:01,2.8791,2.889,2.8567,2.86,1956
10:03,2.8732,2.89,2.8732,2.89,749
10:04,2.9099,2.91,2.9099,2.91,3289
10:05,2.91,2.94,2.91,2.94,638
10:06,2.92,2.9369,2.92,2.9369,965
10:07,2.94,2.94,2.94,2.94,240
10:08,2.92,2.92,2.92,2.92,254
10:09,2.9,2.9,2.89,2.9,5612
10:11,2.8756,2.88,2.875,2.875,2310
10:12,2.875,2.9046,2.875,2.9046,8697
10:16,2.9,2.92,2.895,2.92,913
10:17,2.904,2.904,2.904,2.904,174
10:19,2.92,2.94,2.92,2.94,1240
10:20,2.9484,2.9484,2.94,2.94,901
10:21,2.93,2.97,2.93,2.96,4127
10:22,2.96,2.96,2.95,2.95,818
10:23,2.96,3.02,2.96,2.985,37608
10:24,2.985,2.985,2.975,2.975,758
10:25,2.9774,3.01,2.9738,3.01,7743
10:26,3.01,3.06,3.01,3.05,11733
10:27,3.0598,3.0598,3.04,3.04,2907
10:28,3.07,3.07,3.01,3.06,38351
10:29,3.06,3.06,3.03,3.03,4083
10:30,3.03,3.03,3.03,3.03,756
10:31,3.0184,3.0184,3,3,2910
10:32,3.01,3.01,3,3,273
10:33,2.985,2.985,2.9774,2.98,1436
10:35,2.9723,2.985,2.9723,2.985,6361
10:36,2.99,2.99,2.99,2.99,758
10:37,2.9702,2.9702,2.93,2.96,14451
10:38,2.95,2.95,2.95,2.95,815
10:40,2.95,2.95,2.94,2.94,420
10:42,2.935,2.935,2.935,2.935,149
10:43,2.93,2.93,2.93,2.93,210
10:44,2.93,2.95,2.93,2.95,1246
10:45,2.9698,2.9698,2.96,2.96,1047
10:46,2.97,2.985,2.97,2.98,2842
10:47,2.97,2.9764,2.97,2.9764,2070
10:48,2.9694,2.9757,2.9694,2.9757,511
10:49,2.965,2.965,2.965,2.965,1000
10:51,2.96,2.96,2.945,2.945,312
10:53,2.94,2.9428,2.93,2.9428,1180
10:55,2.9599,2.9599,2.9599,2.9599,3063
10:56,2.945,2.9594,2.945,2.9594,694
10:57,2.95,2.965,2.95,2.965,1313
10:59,2.975,2.975,2.975,2.975,220
11:00,2.9598,2.977,2.9598,2.977,3181
11:01,2.975,2.975,2.95,2.95,282
11:02,2.945,2.945,2.945,2.945,110
11:03,2.945,2.945,2.945,2.945,188
11:05,2.95,2.95,2.95,2.95,610
11:07,2.95,2.95,2.945,2.945,3175
11:10,2.95,2.95,2.94,2.9482,2458
11:15,2.94,2.94,2.94,2.94,510
11:16,2.93,2.93,2.92,2.92,1365
11:18,2.93,2.9599,2.92,2.94,6399
11:20,2.94,2.96,2.94,2.95,1106
11:24,2.965,2.965,2.95,2.95,5693
11:25,2.96,2.96,2.934,2.935,1368
11:26,2.95,2.95,2.95,2.95,150
11:29,2.9471,2.9471,2.935,2.935,439
11:32,2.92,2.92,2.89,2.9,7745
11:33,2.91,2.91,2.9,2.91,868
11:34,2.915,2.915,2.915,2.915,105
11:40,2.94,2.94,2.94,2.94,403
11:41,2.94,2.94,2.94,2.94,190
11:43,2.94,2.94,2.94,2.94,1605
11:49,2.935,2.935,2.935,2.935,258
11:51,2.93,2.93,2.93,2.93,778
11:54,2.933,2.933,2.933,2.933,177
11:56,2.93,2.93,2.93,2.93,181
11:59,2.92,2.92,2.915,2.915,451
12:00,2.92,2.92,2.92,2.92,114
12:01,2.915,2.915,2.915,2.915,111
12:03,2.9232,2.9232,2.91,2.91,570
12:04,2.9032,2.9199,2.9032,2.9199,1566
12:10,2.915,2.915,2.915,2.915,509
12:13,2.9112,2.917,2.9112,2.917,661
12:17,2.9113,2.9113,2.9113,2.9113,183
12:19,2.91,2.91,2.9,2.9,792
12:22,2.9008,2.9008,2.8984,2.8984,2078
12:27,2.8921,2.8932,2.8921,2.8932,357
