time,open,high,low,close,volume
09:30,1.72,1.73,1.72,1.73,18161
09:31,1.725,1.75,1.725,1.74,23647
09:32,1.7499,1.88,1.74,1.77,146001
09:33,1.785,1.7899,1.75,1.75,21312
09:34,1.75,1.7592,1.73,1.7303,16311
09:35,1.75,1.76,1.7201,1.7488,22155
09:36,1.75,1.75,1.735,1.74,1027
09:37,1.74,1.75,1.7305,1.7305,1708
09:38,1.735,1.75,1.735,1.75,713
09:39,1.735,1.75,1.735,1.735,4192
09:40,1.735,1.75,1.72,1.75,4707
09:41,1.76,1.77,1.75,1.76,7058
09:42,1.755,1.7799,1.75,1.755,5986
09:43,1.755,1.8101,1.75,1.785,10926
09:44,1.7898,1.8074,1.78,1.785,5475
09:45,1.7899,1.8399,1.7835,1.8076,17446
09:46,1.8399,1.84,1.75,1.805,36799
09:47,1.825,1.825,1.775,1.785,5904
09:48,1.78,1.7897,1.74,1.7846,10211
09:49,1.7635,1.8196,1.76,1.81,6884
09:50,1.7891,1.7891,1.7891,1.7891,295
09:51,1.8001,1.85,1.8,1.8138,12689
09:52,1.8135,1.8278,1.75,1.7697,14613
09:53,1.76,1.81,1.76,1.795,9277
09:54,1.8012,1.81,1.79,1.8,7571
09:55,1.81,1.81,1.7739,1.7977,705
09:56,1.7805,1.8,1.77,1.78,2957
09:57,1.785,1.79,1.78,1.78,5374
09:58,1.775,1.775,1.77,1.77,1911
10:00,1.75,1.8,1.75,1.7982,19897
10:01,1.7721,1.7857,1.72,1.7401,26504
10:02,1.7693,1.7693,1.7512,1.7512,1323
10:03,1.755,1.77,1.74,1.76,2584
10:04,1.76,1.765,1.76,1.765,2587
10:05,1.77,1.7785,1.75,1.765,3928
10:06,1.77,1.78,1.765,1.765,14963
10:07,1.765,1.8,1.765,1.79,12484
10:08,1.7802,1.815,1.7802,1.81,7385
10:09,1.82,1.8299,1.82,1.8299,14206
10:10,1.8101,1.8289,1.7803,1.7803,19366
10:11,1.7801,1.8179,1.7801,1.81,4784
10:12,1.81,1.82,1.8,1.81,2281
10:13,1.8198,1.8198,1.8,1.81,13793
10:14,1.82,1.82,1.81,1.8196,6351
10:15,1.815,1.84,1.815,1.83,14025
10:16,1.8304,1.835,1.805,1.8294,11458
10:17,1.81,1.81,1.72,1.755,19397
10:18,1.755,1.78,1.73,1.75,16251
10:19,1.7502,1.76,1.7502,1.7546,4389
10:20,1.755,1.7598,1.7202,1.74,5798
10:21,1.73,1.74,1.73,1.74,924
10:22,1.8,1.8,1.73,1.765,6084
10:23,1.75,1.78,1.75,1.78,2773
10:24,1.76,1.7788,1.7429,1.76,1789
10:25,1.76,1.76,1.73,1.755,3874
10:26,1.73,1.73,1.73,1.73,2367
10:27,1.73,1.73,1.725,1.73,5559
10:28,1.7405,1.7405,1.7405,1.7405,163
10:29,1.7374,1.7374,1.6942,1.705,12525
10:30,1.705,1.75,1.6901,1.7006,11849
10:31,1.73,1.73,1.73,1.73,1223
10:32,1.72,1.7293,1.705,1.7293,3477
10:33,1.725931,1.725931,1.7074,1.7074,399
10:34,1.7074,1.76,1.7074,1.7599,26491
10:35,1.74,1.745,1.74,1.745,611
10:36,1.75,1.7799,1.75,1.77,1101
10:37,1.7641,1.7641,1.7503,1.7503,904
10:38,1.75,1.75,1.705,1.72,6812
10:39,1.73,1.78,1.73,1.75,11087
10:41,1.7376,1.75,1.7376,1.75,5691
10:42,1.741,1.741,1.741,1.741,134
10:44,1.7509,1.7509,1.725,1.73,1641
10:45,1.72,1.74,1.72,1.73,3052
10:46,1.72,1.7399,1.72,1.7399,8773
10:47,1.7101,1.7101,1.7101,1.7101,240
10:48,1.71,1.737,1.71,1.73,3743
10:49,1.71,1.71,1.71,1.71,2001
10:50,1.71,1.71,1.71,1.71,140
10:51,1.71,1.71,1.71,1.71,204
10:52,1.705,1.705,1.705,1.705,528
10:53,1.7006,1.71,1.7006,1.71,516
10:54,1.7098,1.71,1.7,1.71,1317
10:55,1.7025,1.7025,1.7025,1.7025,754
10:57,1.71,1.71,1.7,1.7,3612
10:58,1.7,1.7,1.7,1.7,1425
11:01,1.7498,1.7498,1.7498,1.7498,1228
11:02,1.7394,1.7394,1.7,1.72,1545
11:03,1.715,1.715,1.7,1.7,603
11:04,1.72,1.73,1.705,1.705,2825
11:05,1.7199,1.7199,1.7199,1.7199,300
11:06,1.7198,1.7198,1.7143,1.7143,1209
11:08,1.72,1.72,1.72,1.72,100
11:09,1.72,1.72,1.71,1.71,396
11:12,1.715,1.7399,1.7101,1.7399,7661
11:13,1.7574,1.7574,1.7574,1.7574,601
11:15,1.72,1.7326,1.72,1.7326,343
11:17,1.7,1.7296,1.7,1.7296,7567
11:19,1.715,1.715,1.715,1.715,102
11:22,1.7138,1.7138,1.7138,1.7138,128
11:23,1.715,1.715,1.715,1.715,118
11:27,1.7156,1.7156,1.7156,1.7156,450
11:29,1.715,1.715,1.71,1.71,1234
11:32,1.7094,1.7094,1.705,1.705,930
11:33,1.701,1.701,1.701,1.701,541
11:36,1.7,1.7,1.7,1.7,100
11:37,1.7,1.7,1.69,1.695,9306
11:38,1.7,1.7,1.7,1.7,136
11:41,1.7,1.71,1.7,1.7001,1433
11:42,1.705,1.705,1.705,1.705,504
11:43,1.7099,1.72,1.705,1.7133,4524
11:44,1.72,1.7204,1.71,1.7105,720
11:45,1.72,1.72,1.72,1.72,205
11:46,1.728,1.73,1.72,1.72,4086
11:47,1.73,1.74,1.72,1.74,635
11:48,1.74,1.76,1.72,1.72,5997
11:49,1.74,1.74,1.74,1.74,201
11:50,1.75,1.75,1.75,1.75,544
11:51,1.75,1.75,1.75,1.75,252
