time,open,high,low,close,volume
09:30,5.5,5.5,5.1525,5.1525,179.7
09:32,4.9174,4.9174,4.9174,4.9174,50
09:39,5.388,5.388,5.388,5.388,30
09:41,5.089,5.089,5.089,5.089,20
09:45,5.211,5.211,5.211,5.211,36
10:01,5.217,5.217,4.8,4.8,2162.7
10:03,4.8,4.8,4.8,4.8,30
10:04,5.22,5.388,5.22,5.388,68
10:07,5.007,5.007,4.8,4.9,372.2
10:08,4.9,4.9,4.9,4.9,50
10:10,4.999,4.999,4.999,4.999,10
10:12,4.999,5,4.999,5,333.5
10:14,5.178,5.178,5.178,5.178,10
10:17,5.1,5.1,5.1,5.1,10
10:20,4.951,4.951,4.951,4.951,80
10:21,5.385,5.385,5.385,5.385,50
10:23,5.175,5.175,4.974,4.984,749.6
10:24,4.952,4.952,4.952,4.952,300
10:25,5.12,5.12,5.12,5.12,20
10:29,4.955,5,4.955,5,232.1
10:30,4.999,4.999,4.999,4.999,10
10:32,4.956,4.976,4.944,4.976,105.9
10:33,4.9573,4.961,4.9573,4.961,50
10:43,4.956,4.956,4.956,4.956,19
10:45,4.856,4.856,4.856,4.856,10.1
10:46,4.856,4.856,4.856,4.856,10
10:47,4.856,4.856,4.856,4.856,10
10:48,4.856,4.856,4.856,4.856,10
10:50,4.864,4.864,4.864,4.864,70
10:58,4.865,4.865,4.864,4.864,40.3
10:59,4.88,4.88,4.88,4.88,30
11:03,4.9305,4.97,4.9305,4.97,80.3
11:06,4.864,4.864,4.864,4.864,33.6
11:10,4.883,4.883,4.883,4.883,10
11:11,4.877,4.877,4.844,4.857,50.2
11:12,4.883,4.883,4.883,4.883,30
11:13,4.831,4.831,4.831,4.831,10.1
11:14,4.883,4.883,4.831,4.831,60.3
11:16,4.883,4.883,4.883,4.883,10.3
11:19,4.831,4.831,4.831,4.831,50.2
11:22,4.883,4.883,4.837,4.844,127.9
11:23,4.883,4.883,4.883,4.883,50
11:24,4.846,4.846,4.846,4.846,31.2
11:26,4.846,4.846,4.846,4.846,167.3
11:27,4.864,4.864,4.854,4.854,230
11:29,4.854,4.854,4.854,4.854,50
11:31,4.999,4.999,4.999,4.999,10
11:33,4.94,4.94,4.94,4.94,250
11:35,4.994,4.994,4.994,4.994,10
11:36,4.901,4.901,4.901,4.901,10
11:37,4.901,4.901,4.901,4.901,10
11:38,4.901,4.901,4.9,4.9,20
11:39,4.838,4.838,4.838,4.838,10
11:40,4.83,4.83,4.81,4.81,50
11:46,4.81,4.81,4.803,4.803,80
11:56,4.805,4.805,4.804,4.804,50
12:00,4.805,4.86,4.805,4.86,70
12:01,4.866,4.872,4.866,4.872,40
12:02,4.901,4.998,4.901,4.998,200
12:06,4.987,4.987,4.987,4.987,10
12:11,4.901,4.901,4.901,4.901,30
12:12,4.998,4.998,4.998,4.998,10
12:14,4.804,4.804,4.804,4.804,30
12:17,4.987,4.987,4.987,4.987,10
12:18,4.901,4.901,4.901,4.901,30
12:21,4.987,4.987,4.987,4.987,10
12:22,4.804,4.804,4.804,4.804,30
12:25,4.805,4.899,4.805,4.899,30
12:29,4.805,4.805,4.805,4.805,10
12:30,4.971,4.971,4.894,4.894,30
12:32,4.808,4.808,4.807,4.807,20
12:34,4.807,4.807,4.807,4.807,21.1
12:35,4.984,4.984,4.984,4.984,30
12:37,4.804,4.804,4.804,4.804,10
12:38,4.8,4.8,4.8,4.8,80
12:47,4.81,4.81,4.8,4.8,80
12:49,4.958,4.958,4.958,4.958,30
12:55,4.958,4.958,4.958,4.958,10
12:58,4.8,4.8,4.8,4.8,80
13:03,4.8,4.802,4.8,4.802,301
13:05,4.801,4.801,4.782,4.782,60
13:06,4.8,4.8,4.775,4.8,90
13:09,4.8,4.8,4.751,4.751,40
13:12,4.751,4.948,4.75,4.948,180
13:22,4.75,4.75,4.75,4.75,80
13:28,4.947,4.947,4.947,4.947,10
13:31,4.85,4.85,4.85,4.85,80
13:34,4.95,4.95,4.95,4.95,10
13:39,4.943,4.943,4.943,4.943,10
13:40,4.75,4.75,4.75,4.75,80
13:41,4.943,4.943,4.943,4.943,10
13:45,4.9,4.9,4.9,4.9,13.2
13:50,4.75,4.75,4.75,4.75,80
13:56,4.943,4.943,4.943,4.943,10
13:59,4.75,4.753,4.75,4.753,80
14:01,4.947,4.947,4.947,4.947,10
14:04,4.949,4.949,4.949,4.949,39
14:05,4.942,4.95,4.919,4.949,404.7
14:06,4.95,4.95,4.8,4.8,691.3
14:13,4.849,4.849,4.849,4.849,10
14:16,4.849,4.849,4.849,4.849,30
14:18,4.8,4.8,4.8,4.8,70
14:21,4.849,4.849,4.849,4.849,30
14:25,4.801,4.801,4.801,4.801,50
14:27,4.849,4.849,4.849,4.849,10
14:30,4.849,4.849,4.849,4.849,30
14:33,4.851,4.851,4.751,4.751,20
14:34,4.949,4.949,4.949,4.949,10
14:36,4.949,4.949,4.949,4.949,10
14:38,4.8505,4.8505,4.751,4.751,20
14:40,4.949,4.949,4.949,4.949,10
14:42,4.8755,4.8755,4.8755,4.8755,30
