time,open,high,low,close,volume
09:45,2.13,2.13,2.13,2.13,350
09:48,2.13,2.15,2.13,2.15,1800
10:00,2.13,2.13,2.13,2.13,1000
10:03,2.1,2.1,2.1,2.1,1000
10:05,2.1,2.1,2.1,2.1,800
10:11,2.09,2.1,2.09,2.0999,2000
10:15,2.12,2.12,2.12,2.12,5000
10:34,2.0834,2.0834,2.0834,2.0834,5000
11:24,2.14,2.14,2.14,2.14,177
11:26,2.1394,2.15,2.13,2.13,4155
11:28,2.16,2.1815,2.16,2.1815,1703
11:33,2.19,2.19,2.19,2.19,111
11:34,2.1414,2.1414,2.1414,2.1414,1989
11:46,2.1471,2.1471,2.1471,2.1471,279
11:47,2.19,2.1984,2.18,2.1984,779
11:48,2.1999,2.1999,2.163,2.18,1116
11:49,2.18,2.18,2.18,2.18,100
12:01,2.15,2.15,2.15,2.15,150
12:02,2.15,2.15,2.15,2.15,1060
12:06,2.18,2.19,2.18,2.19,931
12:21,2.1752,2.1899,2.1752,2.1899,660
12:25,2.16,2.16,2.16,2.16,100
12:35,2.15,2.19,2.15,2.19,6785
12:50,2.2,2.2,2.1999,2.2,1423
12:52,2.2,2.2,2.2,2.2,5067
12:55,2.25,2.25,2.25,2.25,179
13:02,2.2491,2.2491,2.2491,2.2491,200
13:07,2.2399,2.25,2.2399,2.25,711
13:10,2.25,2.26,2.25,2.26,500
13:11,2.26,2.26,2.26,2.26,989
13:12,2.28,2.28,2.26,2.26,2600
13:13,2.3,2.36,2.29,2.29,14149
13:15,2.3,2.35,2.23,2.23,7696
13:17,2.34,2.35,2.34,2.35,15468
13:18,2.355,2.39,2.355,2.3701,4322
13:21,2.39,2.39,2.39,2.39,1000
13:22,2.4,2.4,2.3999,2.3999,1826
13:24,2.39,2.39,2.39,2.39,2920
13:25,2.38,2.38,2.38,2.38,124
13:27,2.3152,2.322,2.3152,2.322,12102
13:33,2.28,2.28,2.28,2.28,2500
13:44,2.28,2.28,2.28,2.28,490
14:03,2.28,2.28,2.28,2.28,100
14:07,2.28,2.28,2.28,2.28,500
14:28,2.2936,2.2936,2.2936,2.2936,100
14:31,2.3,2.3,2.3,2.3,200
14:40,2.28,2.28,2.28,2.28,142
14:45,2.26,2.26,2.26,2.26,2500
14:52,2.26,2.26,2.26,2.26,3369
15:01,2.25,2.26,2.25,2.26,2580
15:22,2.2983,2.2983,2.2983,2.2983,1000
15:32,2.26,2.2601,2.26,2.26,2100
15:33,2.25,2.25,2.25,2.25,1159
15:34,2.2439,2.2439,2.2439,2.2439,2315
15:40,2.23,2.2484,2.23,2.2484,3772
15:44,2.2392,2.2392,2.2392,2.2392,300
15:52,2.23,2.23,2.23,2.23,196
15:54,2.23,2.23,2.2,2.2,14000
15:57,2.22,2.23,2.22,2.23,600
15:58,2.2301,2.2301,2.2301,2.2301,810
15:59,2.25,2.25,2.25,2.25,150
