time,open,high,low,close,volume
09:30,1.745,1.77,1.71,1.76,105541
09:31,1.76,1.84,1.745,1.82,174698
09:32,1.8298,1.88,1.7946,1.844,169197
09:33,1.8325,1.98,1.8,1.98,348989
09:34,1.98,2,1.86,1.9801,769795
09:35,1.97,2.07,1.94,2.03,994335
09:36,2.03,2.06,1.97,2.02,715838
09:37,2.02,2.0288,1.92,1.9388,638141
09:38,1.9398,1.9497,1.76,1.82,776974
09:39,1.81,1.91,1.81,1.885,304222
09:40,1.8813,1.91,1.82,1.86,321364
09:41,1.8526,1.8678,1.73,1.745,411905
09:42,1.75,1.76,1.68,1.69,417629
09:43,1.6819,1.7,1.64,1.675,313167
09:44,1.68,1.745,1.67,1.6975,358579
09:45,1.6952,1.71,1.69,1.709,136783
09:46,1.702,1.8,1.702,1.7798,301172
09:47,1.78,1.805,1.73,1.7612,137893
09:48,1.7612,1.7791,1.71,1.725,112340
09:49,1.7251,1.74,1.69,1.6981,206186
09:50,1.6907,1.7275,1.69,1.69,172070
09:51,1.6901,1.7,1.69,1.6988,68436
09:52,1.6988,1.72,1.69,1.715,85391
09:53,1.71,1.71,1.69,1.705,146325
09:54,1.7,1.72,1.7,1.71,62019
09:55,1.71,1.72,1.7013,1.715,19947
09:56,1.7158,1.739,1.71,1.7258,42768
09:57,1.73,1.74,1.71,1.7181,76288
09:58,1.72,1.76,1.72,1.7314,66164
09:59,1.735,1.7385,1.66,1.675,169832
10:00,1.6787,1.68,1.65,1.652,51840
10:01,1.66,1.69,1.65,1.685,99196
10:02,1.6894,1.695,1.67,1.67,41584
10:03,1.6758,1.6758,1.66,1.6654,52186
10:04,1.665,1.68,1.66,1.68,29387
10:05,1.6887,1.6887,1.665,1.675,24895
10:06,1.6746,1.68,1.67,1.68,33627
10:07,1.67,1.68,1.67,1.6793,9098
10:08,1.6713,1.69,1.6708,1.685,26717
10:09,1.685,1.7,1.675,1.6981,55646
10:10,1.695,1.6981,1.68,1.69,31692
10:11,1.69,1.69,1.68,1.68,13330
10:12,1.69,1.71,1.68,1.685,60076
10:13,1.685,1.685,1.66,1.66,43942
10:14,1.67,1.7,1.66,1.68,50144
10:15,1.68,1.7,1.68,1.6901,39860
10:16,1.695,1.6989,1.665,1.665,18270
10:17,1.67,1.67,1.66,1.6658,14472
10:18,1.665,1.6788,1.665,1.675,11244
10:19,1.675,1.675,1.66,1.6611,13658
10:20,1.67,1.67,1.661,1.67,23502
10:21,1.6768,1.68,1.6712,1.675,2113
10:22,1.6789,1.68,1.67,1.6712,12275
10:23,1.68,1.68,1.671,1.6797,13972
10:24,1.68,1.7,1.68,1.6994,37457
10:25,1.695,1.715,1.695,1.7099,52080
10:26,1.71,1.73,1.71,1.715,50220
10:27,1.72,1.74,1.715,1.74,134558
10:28,1.74,1.74,1.7111,1.72,38531
10:29,1.7283,1.73,1.72,1.7209,10152
10:30,1.725,1.73,1.72,1.7263,6591
10:31,1.7288,1.7392,1.7288,1.7308,10335
10:32,1.74,1.74,1.7301,1.7301,15508
10:33,1.7393,1.74,1.7214,1.7215,39836
10:34,1.721,1.721,1.665,1.68,85739
10:35,1.6713,1.7,1.6713,1.695,45191
10:36,1.6946,1.7,1.6788,1.6788,10769
10:37,1.6789,1.68,1.67,1.6765,16090
10:38,1.67,1.7,1.67,1.6901,6332
10:39,1.6978,1.6978,1.69,1.6973,5151
10:40,1.691,1.6989,1.691,1.6989,2141
10:41,1.69,1.7,1.69,1.7,2305
10:42,1.7,1.72,1.7,1.71,66104
10:43,1.715,1.73,1.71,1.728,29907
10:44,1.73,1.75,1.7241,1.75,56201
10:45,1.75,1.77,1.7401,1.745,40805
10:46,1.7449,1.7498,1.73,1.73,25611
10:47,1.7289,1.73,1.7211,1.725,9371
10:48,1.73,1.73,1.72,1.72,8265
10:49,1.725,1.73,1.7235,1.7247,34183
10:50,1.7206,1.73,1.72,1.7299,19302
10:51,1.729,1.73,1.72,1.7288,3527
10:52,1.7289,1.73,1.72,1.7213,23752
10:53,1.725,1.7681,1.72,1.7235,129406
10:54,1.725,1.73,1.701,1.7046,46562
10:55,1.705,1.72,1.7,1.715,14138
10:56,1.7119,1.72,1.71,1.715,4400
10:57,1.7101,1.72,1.7101,1.715,5616
10:58,1.715,1.715,1.7142,1.7142,1327
10:59,1.7185,1.72,1.715,1.72,10537
11:00,1.725,1.74,1.725,1.74,25602
11:01,1.7387,1.74,1.72,1.7289,18695
11:02,1.725,1.7278,1.7217,1.725,2048
11:03,1.7258,1.74,1.72,1.74,17481
11:04,1.7447,1.75,1.74,1.74,15187
11:05,1.735,1.7397,1.73,1.7378,9356
11:06,1.735,1.7399,1.73,1.7335,6050
11:07,1.73,1.74,1.7201,1.7285,44772
11:08,1.725,1.73,1.71,1.7113,7398
11:09,1.715,1.7187,1.71,1.715,8133
11:10,1.715,1.7299,1.711,1.7299,4837
11:11,1.73,1.73,1.72,1.72,5288
11:12,1.7287,1.7299,1.72,1.72,2829
11:13,1.725,1.7297,1.72,1.7297,1612
11:14,1.725,1.73,1.7212,1.73,1127
11:15,1.7287,1.7289,1.72,1.7289,10473
11:16,1.725,1.7265,1.7201,1.7265,1339
