time,open,high,low,close,volume
09:30,1.54,1.54,1.54,1.54,12875
09:40,1.4279,1.4279,1.4279,1.4279,172
10:03,1.5199,1.5199,1.5199,1.5199,6206
11:11,1.5,1.5094,1.5,1.5094,340
11:27,1.49,1.49,1.49,1.49,500
11:38,1.49,1.49,1.49,1.49,500
11:47,1.4552,1.4552,1.4552,1.4552,250
12:33,1.5058,1.5058,1.5058,1.5058,500
14:59,1.51,1.51,1.51,1.51,4278
15:59,1.5099,1.51,1.5099,1.51,1058
09:31,1.4883,1.4883,1.4883,1.4883,200
09:53,1.5,1.5,1.5,1.5,200
09:56,1.49,1.49,1.4801,1.4801,1400
10:44,1.5,1.5,1.4995,1.4995,253
10:53,1.5,1.5,1.5,1.5,200
12:29,1.51,1.51,1.51,1.51,517
12:30,1.52,1.52,1.52,1.52,100
13:34,1.5191,1.5191,1.5191,1.5191,500
14:26,1.52,1.52,1.52,1.52,100
15:44,1.5188,1.5188,1.5188,1.5188,150
