time,open,high,low,close,volume
09:30,4.1,4.1,4.1,4.1,2717
09:34,4.3,4.3,4.3,4.3,361
09:36,4.1,4.1,4.1,4.1,169
09:37,4.12,4.17,4.12,4.17,443
09:38,4.308,4.308,4.175,4.175,208
09:47,4.17,4.17,4.17,4.17,318
10:17,4.15,4.15,4.15,4.15,100
10:51,4.05,4.05,4.05,4.05,479
11:13,4.03,4.03,4.03,4.03,550
12:01,3.95,3.95,3.95,3.95,597
12:17,3.78,3.78,3.78,3.78,100
15:24,3.88,3.88,3.88,3.88,380
09:58,3.9107,3.9107,3.9107,3.9107,732
10:06,3.99,3.99,3.99,3.99,188
10:07,3.9887,3.9887,3.9887,3.9887,110
10:33,3.99,3.99,3.99,3.99,536
11:03,4,4,4,4,120
11:14,4.06,4.06,4.06,4.06,100
11:15,4.06,4.06,4.06,4.06,200
11:16,4.06,4.09,4.06,4.09,447
11:25,4.16,4.16,4.16,4.16,205
11:27,4.16,4.169,4.16,4.169,210
11:30,4.17,4.17,4.16,4.17,602
11:32,4.16,4.16,4.16,4.16,415
11:43,4.16,4.16,4.16,4.16,280
11:46,4.21,4.23,4.21,4.22,988
11:48,4.22,4.22,4.22,4.22,102
11:59,4.285,4.285,4.285,4.285,500
12:04,4.3,4.3,4.3,4.3,100
12:05,4.3,4.3,4.3,4.3,100
12:18,4.295,4.295,4.295,4.295,500
12:22,4.3283,4.3283,4.3283,4.3283,200
12:23,4.34,4.35,4.34,4.35,501
12:29,4.3701,4.3701,4.3701,4.3701,200
12:37,4.4,4.4,4.4,4.4,102
12:38,4.5056,4.5056,4.5056,4.5056,264
12:43,4.45,4.45,4.45,4.45,150
12:44,4.45,4.4545,4.45,4.4545,332
12:51,4.49,4.49,4.49,4.49,106
12:52,4.4897,4.4897,4.4897,4.4897,101
12:58,4.5,4.5,4.5,4.5,198
12:59,4.4999,4.4999,4.4999,4.4999,182
13:01,4.4908,4.4908,4.4908,4.4908,100
13:04,4.5,4.5,4.5,4.5,229
13:15,4.4994,4.4994,4.4994,4.4994,150
13:35,4.5001,4.5001,4.5001,4.5001,272
13:36,4.5,4.5,4.49,4.49,422
13:56,4.5,4.5,4.475,4.475,1900
13:58,4.5,4.5,4.5,4.5,405
14:00,4.4501,4.4501,4.4501,4.4501,183
14:05,4.4622,4.4622,4.4622,4.4622,423
14:27,4.47,4.47,4.47,4.47,954
14:37,4.4951,4.4951,4.45,4.45,398
14:47,4.4501,4.4501,4.44,4.44,527
15:13,4.44,4.44,4.44,4.44,300
15:19,4.3961,4.3961,4.3961,4.3961,100
15:28,4.4842,4.4842,4.4842,4.4842,100
15:44,4.49,4.49,4.49,4.49,100
15:57,4.4904,4.4904,4.4904,4.4904,521
