time,open,high,low,close,volume
09:30,5.32,5.32,5.32,5.32,257
09:31,5.4098,5.4098,5.3158,5.34,1881
09:33,5.3994,5.3994,5.3994,5.3994,199
09:38,5.325,5.33,5.325,5.33,308
09:40,5.325,5.325,5.325,5.325,121
09:45,5.2806,5.33,5.2806,5.33,476
09:47,5.34,5.38,5.34,5.38,3230
09:49,5.3789,5.3789,5.33,5.37,2252
09:50,5.31,5.31,5.3,5.3,1865
09:57,5.38,5.38,5.36,5.36,405
09:59,5.395,5.4899,5.39,5.39,1767
10:00,5.39,5.42,5.39,5.42,2101
10:01,5.4899,5.4899,5.45,5.45,5642
10:02,5.455,5.51,5.455,5.47,1217
10:03,5.5,5.5,5.49,5.49,2566
10:05,5.47,5.47,5.47,5.47,461
10:06,5.4912,5.5,5.4218,5.5,838
10:07,5.49,5.49,5.49,5.49,472
10:08,5.4314,5.4314,5.39,5.39,2639
10:10,5.4,5.4,5.38,5.39,1393
10:14,5.3736,5.3736,5.3736,5.3736,390
10:15,5.35,5.36,5.35,5.35,607
10:16,5.35,5.35,5.35,5.35,570
10:18,5.4,5.4667,5.4,5.4667,1806
10:19,5.4,5.4,5.4,5.4,1501
10:22,5.4,5.4,5.4,5.4,347
10:23,5.35,5.49,5.35,5.41,8611
10:25,5.4099,5.41,5.4099,5.41,400
10:26,5.45,5.45,5.45,5.45,1050
10:27,5.42,5.42,5.42,5.42,100
10:31,5.4,5.4,5.4,5.4,1399
10:32,5.482,5.482,5.482,5.482,187
10:33,5.45,5.45,5.45,5.45,112
10:34,5.48,5.5,5.4,5.4,2942
10:35,5.38,5.38,5.38,5.38,175
10:36,5.486,5.486,5.486,5.486,1000
10:40,5.42,5.5,5.41,5.4839,564
10:42,5.41,5.41,5.41,5.41,154
10:44,5.46,5.46,5.46,5.46,290
10:47,5.455,5.455,5.455,5.455,382
10:49,5.41,5.41,5.41,5.41,300
10:50,5.45,5.45,5.45,5.45,126
10:51,5.48,5.48,5.48,5.48,926
10:52,5.474,5.474,5.474,5.474,201
10:53,5.47,5.47,5.47,5.47,100
10:54,5.45,5.45,5.45,5.45,100
10:55,5.48,5.49,5.48,5.49,1019
10:59,5.46,5.46,5.46,5.46,158
11:00,5.44,5.44,5.4,5.4,4751
11:01,5.4,5.4,5.4,5.4,747
11:02,5.37,5.37,5.35,5.35,2655
11:03,5.31,5.31,5.255,5.3,13843
11:04,5.39,5.39,5.39,5.39,721
11:08,5.39,5.39,5.39,5.39,1080
11:09,5.38,5.38,5.38,5.38,164
11:11,5.3811,5.3811,5.3316,5.37,1401
11:16,5.42,5.42,5.42,5.42,400
11:19,5.395,5.395,5.395,5.395,184
11:20,5.3883,5.3883,5.3883,5.3883,400
11:23,5.3579,5.3579,5.3579,5.3579,205
11:26,5.35,5.35,5.35,5.35,400
11:30,5.4,5.471604,5.4,5.471604,505
11:31,5.34,5.34,5.34,5.34,300
11:37,5.38,5.38,5.38,5.38,1030
11:41,5.34,5.34,5.32,5.32,245
11:45,5.3001,5.3001,5.3001,5.3001,1005
11:47,5.3,5.3,5.3,5.3,555
11:48,5.309,5.309,5.309,5.309,1000
11:49,5.3054,5.3054,5.3054,5.3054,1000
