time,open,high,low,close,volume
09:30,1.66,1.68,1.63,1.64,25786
09:31,1.6555,1.67,1.63,1.645,16497
09:32,1.646,1.68,1.646,1.68,10577
09:33,1.67,1.67,1.6379,1.6379,9754
09:34,1.6389,1.64,1.6386,1.64,1832
09:35,1.64,1.65,1.6399,1.6406,2278
09:36,1.6499,1.6583,1.63,1.6583,10986
09:37,1.66,1.7,1.66,1.69,30788
09:38,1.695,1.7,1.67,1.68,45089
09:39,1.68,1.68,1.641,1.66,34030
09:40,1.65,1.67,1.64,1.66,7116
09:41,1.65,1.6777,1.65,1.67,8753
09:42,1.67,1.68,1.66,1.68,21389
09:43,1.67,1.6783,1.65,1.65,7676
09:44,1.665,1.665,1.665,1.665,3638
09:45,1.6699,1.67,1.66,1.67,2558
09:46,1.6688,1.6688,1.66,1.66,1767
09:47,1.67,1.67,1.65,1.65,7908
09:48,1.6692,1.67,1.65,1.659,23538
09:49,1.655,1.66,1.65,1.65,6939
09:50,1.65,1.6585,1.64,1.65,16457
09:51,1.65,1.6582,1.6415,1.6457,7510
09:52,1.65,1.66,1.64,1.655,18616
09:53,1.655,1.66,1.65,1.655,7538
09:54,1.6592,1.6599,1.655,1.6599,1605
09:55,1.6591,1.66,1.655,1.655,3512
09:56,1.66,1.66,1.6538,1.6546,4110
09:57,1.658,1.6597,1.62,1.6307,23671
09:58,1.645,1.66,1.6374,1.66,2286
09:59,1.65,1.68,1.6486,1.6486,14773
10:00,1.65,1.661,1.65,1.6601,12248
10:01,1.66,1.6684,1.66,1.6684,510
10:02,1.652,1.6528,1.6424,1.6424,6016
10:03,1.64,1.649,1.63,1.64,5053
10:04,1.64,1.64,1.64,1.64,1456
10:05,1.6499,1.66,1.64,1.65,3904
10:06,1.64,1.65,1.64,1.64,4857
10:07,1.6495,1.67,1.64,1.67,8541
10:08,1.67,1.685,1.665,1.685,20381
10:09,1.685,1.7,1.67,1.6762,26971
10:10,1.675,1.68,1.66,1.6735,7383
10:11,1.675,1.68,1.67,1.6789,7983
10:12,1.6798,1.68,1.67,1.67,9751
10:13,1.67,1.67,1.665,1.665,1747
10:14,1.6692,1.6699,1.66,1.66,2048
10:15,1.6608,1.6676,1.6608,1.6676,863
10:16,1.669,1.67,1.665,1.665,6082
10:17,1.675,1.6783,1.67,1.675,7178
10:18,1.6707,1.68,1.67,1.67,1944
10:19,1.67,1.68,1.67,1.67,1161
10:20,1.6655,1.68,1.6655,1.67,2959
10:21,1.6735,1.6796,1.67,1.67,3892
10:22,1.68,1.7,1.675,1.695,11029
10:23,1.695,1.7099,1.6939,1.6999,19549
10:24,1.699,1.7,1.69,1.7,7026
10:25,1.705,1.71,1.685,1.71,38671
10:26,1.71,1.71,1.7,1.705,7776
10:27,1.705,1.7098,1.7,1.705,6723
10:28,1.7001,1.7099,1.7,1.7099,11687
10:29,1.7,1.7099,1.6935,1.7099,14289
10:30,1.705,1.71,1.7,1.71,2681
10:31,1.71,1.7146,1.71,1.71,7640
10:32,1.71,1.71,1.7,1.7091,4481
10:33,1.7062,1.71,1.701,1.71,9095
10:34,1.715,1.7197,1.71,1.71,2743
10:36,1.705,1.71,1.7,1.7091,3020
10:37,1.705,1.71,1.705,1.705,3116
10:38,1.7001,1.7399,1.7001,1.735,26029
10:39,1.7372,1.75,1.735,1.74,26913
10:40,1.7446,1.745,1.7289,1.7289,15530
10:41,1.725,1.7373,1.725,1.7264,17039
10:42,1.722,1.7288,1.71,1.715,23053
10:43,1.719,1.72,1.715,1.7189,10021
10:44,1.711,1.72,1.71,1.7158,7101
10:45,1.715,1.72,1.7111,1.719,4086
10:46,1.715,1.73,1.71,1.725,13704
10:47,1.725,1.7397,1.725,1.735,18379
10:48,1.735,1.74,1.7301,1.735,25958
10:49,1.735,1.74,1.7342,1.74,12526
10:50,1.73,1.73,1.72,1.73,9325
10:51,1.73,1.73,1.7146,1.7146,23281
10:52,1.715,1.7188,1.7,1.7027,16963
10:53,1.7013,1.705,1.69,1.7,20506
10:54,1.69,1.6991,1.69,1.69,4260
10:55,1.6906,1.6999,1.6901,1.6901,4248
10:56,1.699,1.6999,1.695,1.6999,4781
10:57,1.699,1.7,1.69,1.695,5840
10:58,1.695,1.695,1.6888,1.6888,2808
10:59,1.685,1.6893,1.68,1.6842,9483
11:00,1.68,1.6888,1.68,1.6868,1090
11:01,1.6876,1.6888,1.6846,1.6887,3202
11:02,1.6846,1.69,1.6846,1.69,913
11:03,1.69,1.69,1.6842,1.69,7646
11:04,1.6825,1.6825,1.6812,1.6812,794
11:05,1.69,1.695,1.685,1.695,10448
11:06,1.6901,1.6989,1.69,1.695,3682
11:07,1.695,1.695,1.6908,1.6908,1393
11:08,1.6989,1.6989,1.69,1.69,530
11:09,1.6999,1.7,1.695,1.7,837
11:10,1.6993,1.6999,1.695,1.6954,2210
11:11,1.695,1.708,1.695,1.7046,7836
11:12,1.705,1.705,1.7008,1.705,1483
11:13,1.7001,1.705,1.7001,1.705,7713
11:14,1.7091,1.7097,1.7091,1.7097,1251
11:15,1.7099,1.7099,1.705,1.705,2386
