time,open,high,low,close,volume
09:33,8.08,8.08,8.08,8.08,128
09:34,8.04,8.09,8,8.09,700
10:55,7.84,7.84,7.84,7.84,150
11:11,7.84,7.84,7.84,7.84,621
12:05,7.9991,7.9991,7.9991,7.9991,308
13:57,8,8,7.94,7.94,4239
13:59,7.92,7.92,7.85,7.85,1134
09:39,8.0462,8.0462,8.0462,8.0462,600
10:18,7.8425,7.8425,7.8425,7.8425,301
10:34,7.8683,7.8683,7.8683,7.8683,100
10:36,7.8401,7.8401,7.8401,7.8401,100
10:38,7.8682,7.8682,7.8682,7.8682,100
10:39,7.97,7.97,7.97,7.97,100
10:50,7.9647,7.9647,7.9647,7.9647,100
10:54,8.025,8.025,8.025,8.025,100
11:01,8.025,8.025,8.025,8.025,100
11:51,8,8,8,8,824
13:46,7.92,7.92,7.92,7.92,375
14:00,7.994,7.994,7.994,7.994,588
