time,open,high,low,close,volume
09:30,3.8,3.8,3.8,3.8,1969
09:31,3.84,3.84,3.84,3.84,1006
09:34,3.74,3.775,3.74,3.775,515
09:39,3.8,3.8,3.8,3.8,271
09:40,3.77,3.77,3.77,3.77,483
09:41,3.8211,3.8211,3.8211,3.8211,210
09:43,3.7796,3.7796,3.7796,3.7796,552
09:44,3.72,3.73,3.72,3.73,632
09:46,3.69,3.69,3.69,3.69,708
09:47,3.69,3.69,3.69,3.69,198
09:48,3.8087,3.8087,3.8087,3.8087,1155
09:53,3.7899,3.7899,3.7899,3.7899,2517
09:57,3.74,3.74,3.74,3.74,686
09:59,3.696,3.72,3.696,3.72,1114
10:03,3.7,3.7,3.68,3.68,1377
10:05,3.5844,3.59,3.58,3.58,611
10:08,3.625,3.625,3.625,3.625,1011
10:11,3.591,3.591,3.58,3.58,1052
10:14,3.604,3.604,3.604,3.604,1000
10:29,3.63,3.63,3.63,3.63,207
10:31,3.66,3.66,3.66,3.66,100
10:40,3.6502,3.6951,3.6502,3.6951,1607
10:42,3.68,3.68,3.6699,3.6699,1638
10:44,3.6506,3.6506,3.6506,3.6506,200
10:50,3.6649,3.6649,3.6649,3.6649,107
11:02,3.68,3.68,3.68,3.68,100
11:07,3.6586,3.6586,3.6586,3.6586,502
11:12,3.665,3.665,3.665,3.665,624
11:29,3.7,3.81,3.7,3.745,6067
11:30,3.6601,3.6601,3.6601,3.6601,2550
11:36,3.6601,3.6601,3.6601,3.6601,2509
11:39,3.66,3.66,3.66,3.66,225
11:41,3.77,3.77,3.77,3.77,100
11:53,3.65,3.65,3.65,3.65,3231
11:55,3.65,3.65,3.6,3.6,6200
11:58,3.6016,3.6016,3.6016,3.6016,123
12:03,3.63,3.63,3.63,3.63,363
12:17,3.615,3.615,3.615,3.615,137
12:24,3.61,3.63,3.61,3.63,963
12:47,3.63,3.63,3.6,3.6,1514
12:48,3.6,3.61,3.6,3.6,3699
13:02,3.62,3.63,3.62,3.62,300
13:25,3.79,3.79,3.79,3.79,1000
13:26,3.695,3.695,3.695,3.695,1000
14:30,3.6,3.6,3.6,3.6,300
14:45,3.65,3.65,3.65,3.65,209
14:53,3.63,3.63,3.63,3.63,140
14:59,3.635,3.635,3.635,3.635,130
15:05,3.635,3.635,3.635,3.635,160
15:08,3.635,3.635,3.635,3.635,100
15:11,3.635,3.635,3.635,3.635,800
15:12,3.635,3.635,3.635,3.635,100
15:21,3.635,3.635,3.635,3.635,100
15:28,3.635,3.635,3.635,3.635,100
15:30,3.63,3.63,3.605,3.605,207
15:32,3.605,3.605,3.605,3.605,100
15:39,3.605,3.605,3.605,3.605,100
15:51,3.605,3.605,3.605,3.605,150
15:57,3.59,3.59,3.59,3.59,330
15:59,3.61,3.61,3.595,3.595,5823
09:30,3.73,3.8,3.73,3.78,2949
09:31,3.78,3.78,3.78,3.78,351
09:32,3.768,3.768,3.768,3.768,1028
09:33,3.78,3.78,3.78,3.78,109
09:34,3.8417,3.8417,3.8417,3.8417,101
09:36,3.73,3.73,3.73,3.73,341
09:37,3.66,3.66,3.62,3.62,922
09:38,3.6,3.6,3.6,3.6,1329
09:58,3.76,3.76,3.76,3.76,170
10:08,3.64,3.64,3.64,3.64,100
10:17,3.72,3.72,3.72,3.72,100
10:26,3.72,3.72,3.72,3.72,105
10:29,3.725,3.725,3.725,3.725,2000
10:35,3.725,3.725,3.725,3.725,1200
10:41,3.725,3.725,3.72,3.72,219
10:43,3.7657,3.7657,3.7657,3.7657,300
10:51,3.737,3.737,3.737,3.737,100
10:55,3.69,3.69,3.69,3.69,232
10:56,3.69,3.69,3.69,3.69,1000
11:04,3.6863,3.6863,3.6863,3.6863,322
11:12,3.6897,3.6897,3.6897,3.6897,1185
11:24,3.725,3.725,3.725,3.725,198
11:30,3.7173,3.7173,3.7173,3.7173,509
11:36,3.7,3.7,3.7,3.7,922
11:43,3.725,3.725,3.725,3.725,250
11:51,3.66,3.66,3.66,3.66,198
11:58,3.692,3.692,3.692,3.692,100
12:03,3.7,3.75,3.7,3.71,3100
12:04,3.75,3.76,3.74,3.76,601
12:25,3.78,3.86,3.78,3.86,7103
12:28,3.8599,3.93,3.8599,3.93,8200
12:29,3.885,3.9203,3.885,3.9203,1813
12:30,3.9048,3.93,3.9048,3.93,667
12:31,3.9,3.91,3.9,3.91,1052
12:32,3.9,3.91,3.9,3.9,1484
12:33,3.9,3.9,3.9,3.9,653
12:35,3.86,3.88,3.8254,3.8254,2705
12:37,3.88,3.88,3.88,3.88,201
12:47,3.9,3.95,3.9,3.95,2093
12:48,3.95,4.01,3.95,4.01,3590
12:56,3.92,3.92,3.92,3.92,235
12:57,3.9811,4,3.9811,4,1522
12:58,4.03,4.03,4.03,4.03,613
12:59,4.03,4.05,4.03,4.05,495
13:01,4.04,4.04,4.04,4.04,457
13:04,4.07,4.07,4.07,4.07,273
13:07,4.1407,4.1407,4.1407,4.1407,177
13:08,4.13,4.15,4.13,4.15,471
13:09,4.15,4.15,4.15,4.15,222
13:11,4.1,4.1,4.05,4.0674,777
13:12,4.0517,4.0517,4.05,4.05,354
13:13,4.0406,4.05,4.0406,4.05,230
13:18,4.0411,4.0411,4.0411,4.0411,251
13:21,4.0624,4.0624,4.0624,4.0624,100
13:22,4.1,4.1,4.1,4.1,226
13:38,4.1,4.1,4.1,4.1,305
13:42,4.055,4.055,4.055,4.055,104
13:44,4.042,4.042,4.042,4.042,537
13:46,4.04,4.04,4.04,4.04,107
13:52,4.1,4.1,4.09,4.1,2511
14:04,4.19,4.19,4.19,4.19,1000
14:07,4.14,4.14,4.14,4.14,100
