time,open,high,low,close,volume
09:30,8.2,8.3,8.19,8.22,7585
09:31,8.121,8.121,8.12,8.12,1605
09:32,8.21,8.21,8.21,8.21,512
09:33,8.24,8.25,8.24,8.245,1871
09:34,8.3,8.3,8.28,8.3,1850
09:35,8.2774,8.2774,8.2774,8.2774,127
09:36,8.3,8.3,8.2994,8.2994,712
09:38,8.24,8.24,8.24,8.24,394
09:40,8.23,8.23,8.17,8.17,10336
09:41,8.16,8.17,8.12,8.12,1310
09:42,8.13,8.14,8.06,8.06,1536
09:43,8.05,8.05,8.05,8.05,130
09:44,8.11,8.11,8.11,8.11,534
09:45,8.12,8.12,8.12,8.12,602
09:46,8.08,8.08,8.08,8.08,132
09:48,8.06,8.06,8.06,8.06,600
09:51,8.07,8.08,8.05,8.05,1594
09:52,8.04,8.07,8.04,8.04,1560
09:53,8.03,8.04,8.03,8.03,1908
09:56,7.99,8,7.98,7.98,928
09:57,7.93,7.93,7.92,7.93,500
09:59,7.95,7.95,7.95,7.95,504
10:01,7.9,7.9,7.88,7.89,401
10:04,7.94,7.94,7.92,7.92,402
10:08,7.92,7.92,7.92,7.92,300
10:10,7.955,7.955,7.955,7.955,100
10:13,7.92,7.93,7.92,7.93,676
10:14,7.92,7.94,7.92,7.92,3616
10:15,7.92,7.92,7.92,7.92,906
10:16,7.92,7.97,7.92,7.97,1610
10:20,7.93,7.96,7.92,7.96,521
10:22,7.955,7.955,7.955,7.955,9782
10:23,7.99,8.065,7.99,8.065,6270
10:24,8.0437,8.0437,8.0001,8.0001,231
10:25,8.032,8.032,8.01,8.01,625
10:27,7.9901,8.05,7.92,7.92,1433
10:28,8,8,8,8,500
10:29,7.98,7.98,7.98,7.98,200
10:30,7.92,7.92,7.86,7.86,411
10:35,7.91,7.91,7.89,7.89,400
10:36,7.96,7.96,7.96,7.96,231
10:37,7.83,7.83,7.83,7.83,1209
10:41,7.93,7.93,7.93,7.93,137
10:43,7.85,7.85,7.83,7.83,413
10:45,7.94,8.015,7.94,8.015,803
10:49,7.95,8,7.95,8,748
10:50,8.03,8.03,8.03,8.03,121
10:52,8.03,8.03,8.03,8.03,213
10:54,8.0543,8.0543,8.0543,8.0543,2610
10:56,8.05,8.06,7.95,8.06,969
10:57,8.06,8.06,8.06,8.06,167
11:02,8,8,7.99,7.99,306
11:03,8.06,8.07,8.06,8.07,727
11:05,8.06,8.06,8.06,8.06,100
11:07,8,8,7.99,7.99,227
11:09,7.99,7.99,7.99,7.99,202
11:11,7.98,7.98,7.98,7.98,123
11:12,8.0205,8.0205,8.0205,8.0205,100
11:13,7.97,7.97,7.97,7.97,152
11:14,7.975,8.02,7.93,8.02,1311
11:15,8,8,8,8,204
11:19,7.97,7.97,7.96,7.97,202
11:20,8.03,8.03,8.03,8.03,226
11:21,7.99,7.9935,7.97,7.9935,1214
11:22,8.01,8.02,8.01,8.02,317
11:27,7.97,7.97,7.97,7.97,120
11:28,7.96,7.96,7.96,7.96,122
11:29,7.95,7.95,7.95,7.95,202
11:32,7.93,7.93,7.93,7.93,316
11:35,7.94,7.94,7.94,7.94,324
11:39,7.93,8.01,7.93,8.01,783
11:40,8.02,8.02,8.02,8.02,662
11:42,8.05,8.05,8.04,8.04,269
11:43,8.05,8.05,8.05,8.05,258
11:44,8.05,8.05,8.05,8.05,400
11:47,8.01,8.01,8,8,533
11:48,8.05,8.05,8.05,8.05,500
11:49,8.05,8.08,8.05,8.08,1790
11:51,8.06,8.06,8.06,8.06,118
11:52,8.076,8.076,8.062,8.07,702
11:54,8.06,8.06,8.06,8.06,211
11:55,8.11,8.11,8.1,8.1,830
11:56,8.1306,8.1306,8.1306,8.1306,167
11:57,8.05,8.135,8.05,8.135,654
12:03,8.11,8.11,8.11,8.11,144
12:06,8.1,8.1,8.09,8.09,400
12:12,8.08,8.08,8.08,8.08,109
12:13,8.06,8.06,8.06,8.06,108
12:16,8.05,8.05,8.05,8.05,110
12:17,8.03,8.03,8.03,8.03,276
12:18,8.145,8.145,8.145,8.145,145
12:21,7.96,8.125,7.95,7.95,4937
12:23,8.04,8.13,7.98,8.12,1107
12:24,8.12,8.13,8.12,8.13,859
12:32,8.05,8.05,8.05,8.05,340
12:33,7.9534,7.9534,7.9534,7.9534,116
12:38,8.02,8.02,8,8,388
12:40,8.115,8.115,8.115,8.115,190
12:42,8.12,8.12,8.12,8.12,316
12:47,8.1,8.1,8.1,8.1,191
12:49,8.05,8.07,8.05,8.07,228
12:50,8.01,8.01,8.01,8.01,1062
12:53,8.1101,8.1101,8.1101,8.1101,159
12:54,8.1151,8.1151,8.1151,8.1151,159
12:55,8.06,8.06,8.03,8.03,528
13:02,8.015,8.02,8.015,8.02,507
13:04,8.12,8.13,8.12,8.12,659
13:05,8.13,8.13,8.13,8.13,304
13:09,8.17,8.17,8.17,8.17,112
13:11,8.14,8.21,8.14,8.21,1430
13:12,8.21,8.21,8.21,8.21,120
13:21,8.21,8.21,8.21,8.21,611
13:23,8.17,8.17,8.17,8.17,102
13:24,8.16,8.16,8.16,8.16,109
13:26,8.09,8.09,8.09,8.09,130
13:28,8.11,8.11,8.11,8.11,113
13:30,8.09,8.09,8.09,8.09,124
13:31,8.09,8.19,8.02,8.19,2773
13:32,8.19,8.19,8.19,8.19,105
13:39,8.14,8.14,8.14,8.14,144
13:40,8.075,8.19,7.97,8.19,2853
13:44,8.19,8.19,8.19,8.19,138
13:46,8.14,8.14,8.14,8.14,105
13:48,8.11,8.14,8.11,8.14,828
13:50,8.15,8.15,8.15,8.15,2250
13:52,8.1535,8.1535,8.1535,8.1535,180
13:55,8.13,8.19,8.13,8.19,511
13:56,8.2,8.21,8.2,8.2,3594
14:00,8.2076,8.2076,8.2076,8.2076,200
14:03,8.25,8.25,8.25,8.25,107
14:04,8.19,8.19,8.19,8.19,205
14:07,8.16,8.16,8.16,8.16,502
14:17,8.18,8.18,8.18,8.18,633
14:27,8.2,8.2,8.2,8.2,331
14:28,8.24,8.25,8.23,8.25,1461
14:30,8.25,8.25,8.25,8.25,360
14:34,8.23,8.27,8.23,8.2494,3443
14:36,8.29,8.29,8.255,8.26,2432
14:39,8.255,8.255,8.2402,8.2402,366
14:40,8.26,8.29,8.26,8.29,1333
14:42,8.2524,8.2524,8.2524,8.2524,1353
14:44,8.255,8.255,8.255,8.255,1331
14:45,8.25,8.25,8.25,8.25,150
14:50,8.2756,8.2756,8.2756,8.2756,210
14:55,8.21,8.24,8.2,8.23,1882
15:03,8.2,8.22,8.2,8.22,964
15:04,8.24,8.24,8.24,8.24,902
15:05,8.215,8.215,8.215,8.215,143
15:13,8.21,8.21,8.21,8.21,132
15:15,8.18,8.18,8.18,8.18,343
15:17,8.16,8.16,8.1,8.1,910
15:26,8.15,8.15,8.15,8.15,220
15:27,8.13,8.13,8.13,8.13,245
15:28,8.07,8.07,8.04,8.04,1540
15:36,8.16,8.17,8.16,8.16,1384
15:37,8.15,8.17,8.15,8.17,1887
15:38,8.17,8.17,8.17,8.17,370
15:41,8.1646,8.1646,8.1646,8.1646,313
15:43,8.16,8.16,8.15,8.15,680
15:45,8.15,8.15,8.15,8.15,296
15:46,8.095,8.14,8.02,8.12,3639
15:47,8.14,8.16,8.14,8.14,2126
15:48,8.025,8.025,8.025,8.025,413
15:50,8.15,8.15,8.15,8.15,236
15:51,8.11,8.14,8.09,8.09,6130
15:54,8.175,8.175,8.175,8.175,367
15:55,8.17,8.17,8.11,8.11,2983
15:57,8.15,8.15,8.15,8.15,1347
15:58,8.17,8.18,8.127,8.127,3714
15:59,8.13,8.18,8.12,8.12,4973
09:30,8.23,8.23,8.23,8.23,1813
09:31,8.25,8.25,8.23,8.23,1723
09:32,8.25,8.25,8.23,8.23,890
09:33,8.21,8.21,8.16,8.16,3533
09:34,8.17,8.18,8.17,8.18,442
09:40,8.16,8.2,8.16,8.2,3472
09:41,8.2,8.22,8.16,8.2,4054
09:42,8.25,8.26,8.25,8.26,3326
09:47,8.26,8.26,8.26,8.26,1038
09:48,8.28,8.28,8.26,8.26,12381
09:49,8.23,8.23,8.215,8.23,10821
09:55,8.19,8.21,8.19,8.21,692
09:56,8.17,8.17,8.17,8.17,107
09:57,8.18,8.18,8.18,8.18,1058
09:58,8.19,8.2,8.16,8.16,1975
10:02,8.1179,8.1179,8.1179,8.1179,9750
10:04,8.145,8.145,8.145,8.145,200
10:14,8.135,8.1375,8.135,8.1375,228
10:17,8.13,8.145,8.13,8.145,3343
10:20,8.12,8.12,8.12,8.12,400
10:21,8.12,8.12,8.07,8.07,1293
10:22,8.09,8.17,8.09,8.1,1400
10:23,8.16,8.16,8.16,8.16,101
10:24,8.105,8.17,8.105,8.17,702
10:25,8.16,8.17,8.1,8.1,1044
10:26,8.1,8.1,8.1,8.1,300
10:37,8.06,8.06,8.06,8.06,132
10:38,8.035,8.035,8.02,8.02,300
