time,open,high,low,close,volume
09:30,1.33,1.33,1.3,1.3,3143
09:31,1.3003,1.3293,1.3,1.3,5631
09:32,1.3,1.315,1.2937,1.2937,6056
09:33,1.29,1.29,1.28,1.28,2889
09:34,1.2801,1.298,1.28,1.29,9667
09:35,1.3,1.3,1.3,1.3,3697
09:36,1.3163,1.3163,1.29,1.29,484
09:37,1.3,1.31,1.2906,1.31,2400
09:38,1.3,1.3,1.2843,1.295,7289
09:39,1.3,1.3,1.27,1.27,4446
09:40,1.27,1.28,1.27,1.27,12413
09:41,1.2794,1.2794,1.27,1.27,6358
09:42,1.26,1.26,1.255,1.2599,8006
09:43,1.2502,1.26,1.23,1.23,15009
09:44,1.24,1.24,1.22,1.23,5102
09:45,1.241,1.249,1.241,1.249,1032
09:46,1.2401,1.2498,1.24,1.2498,15012
09:47,1.24,1.245,1.24,1.24,5761
09:48,1.23,1.23,1.22,1.2211,5921
09:49,1.221,1.23,1.21,1.215,7366
09:50,1.21,1.215,1.19,1.21,32775
09:51,1.2,1.21,1.199,1.2013,11635
09:52,1.21,1.2299,1.21,1.2299,7584
09:53,1.225,1.2298,1.19,1.2,12051
09:54,1.22,1.22,1.21,1.2102,1607
09:55,1.21,1.2299,1.2,1.21,8038
09:56,1.2,1.2099,1.19,1.2,2316
09:57,1.2,1.2,1.2,1.2,1630
09:58,1.22,1.23,1.21,1.21,4541
09:59,1.22,1.2289,1.2059,1.215,3040
10:00,1.2,1.23,1.2,1.23,5489
10:01,1.2,1.23,1.2,1.2,3024
10:02,1.2,1.2,1.2,1.2,210
10:03,1.21,1.21,1.21,1.21,1087
10:04,1.22,1.22,1.2102,1.2134,4787
10:05,1.2,1.2,1.2,1.2,1058
10:06,1.22,1.22,1.2194,1.22,1004
10:07,1.22,1.22,1.22,1.22,504
10:08,1.21,1.22,1.2,1.2,2685
10:11,1.215,1.215,1.21,1.21,1073
10:13,1.21,1.2101,1.21,1.2101,903
10:15,1.22,1.22,1.22,1.22,1449
10:16,1.2208,1.23,1.2201,1.23,569
10:17,1.24,1.24,1.23,1.23,5155
10:18,1.2305,1.24,1.2305,1.24,5487
10:19,1.25,1.25,1.25,1.25,374
10:20,1.25,1.25,1.25,1.25,3751
10:21,1.25,1.2536,1.25,1.2536,7224
10:22,1.24,1.25,1.24,1.25,5142
10:23,1.25,1.25,1.22,1.2201,5664
10:24,1.24,1.24,1.24,1.24,250
10:25,1.22,1.23,1.21,1.21,2074
10:26,1.212,1.22,1.21,1.21,2450
10:27,1.2116,1.22,1.21,1.21,6000
10:28,1.215,1.22,1.2101,1.22,894
10:29,1.21,1.21,1.21,1.21,891
10:30,1.22,1.22,1.21,1.21,955
10:31,1.21,1.21,1.21,1.21,1246
10:33,1.25,1.26,1.21,1.21,1305
10:34,1.22,1.22,1.21,1.21,530
10:37,1.238,1.247,1.238,1.247,5080
10:38,1.235,1.2498,1.235,1.24,4343
10:39,1.24,1.2495,1.24,1.2495,461
10:40,1.2498,1.2498,1.24,1.2438,661
10:41,1.2498,1.2498,1.2498,1.2498,217
10:42,1.22,1.2399,1.21,1.2399,2551
10:44,1.2381,1.24,1.2284,1.2284,500
10:45,1.23,1.24,1.23,1.24,1234
10:46,1.24,1.24,1.24,1.24,557
10:47,1.24,1.24,1.24,1.24,2380
10:48,1.24,1.24,1.23,1.24,905
10:49,1.2599,1.2599,1.2599,1.2599,157
10:50,1.25,1.25,1.25,1.25,282
10:51,1.24,1.24,1.24,1.24,746
10:52,1.251,1.251,1.251,1.251,100
10:53,1.2516,1.2599,1.23,1.23,5180
10:54,1.2598,1.2599,1.2598,1.2599,1008
10:55,1.241,1.2599,1.241,1.2599,9450
10:56,1.25,1.26,1.25,1.26,5695
10:57,1.25,1.27,1.24,1.27,5828
10:58,1.28,1.28,1.25,1.2799,4001
10:59,1.26,1.28,1.26,1.28,872
11:00,1.28,1.28,1.2551,1.2551,312
11:01,1.25,1.26,1.24,1.24,2011
11:02,1.24,1.24,1.23,1.23,11845
11:03,1.23,1.2446,1.23,1.2446,564
11:04,1.24,1.24,1.24,1.24,371
11:05,1.25,1.26,1.23,1.23,3110
11:06,1.23,1.23,1.23,1.23,900
11:07,1.24,1.27,1.24,1.27,924
11:08,1.23,1.23,1.23,1.23,513
11:09,1.24,1.2698,1.23,1.2698,2290
11:10,1.27,1.27,1.27,1.27,286
11:11,1.27,1.27,1.27,1.27,251
11:13,1.24,1.2663,1.24,1.2663,954
11:14,1.24,1.26,1.24,1.26,570
11:16,1.26,1.26,1.26,1.26,10279
11:18,1.2599,1.26,1.2599,1.26,475
11:20,1.24,1.25,1.23,1.23,3007
11:23,1.23,1.23,1.23,1.23,962
11:24,1.25,1.26,1.25,1.26,842
11:27,1.24,1.241,1.23,1.23,7521
11:29,1.24,1.24,1.24,1.24,138
11:31,1.23,1.23,1.23,1.23,1305
11:32,1.24,1.24,1.23,1.23,513
11:33,1.25,1.25,1.249,1.249,707
11:34,1.25,1.25,1.25,1.25,152
11:35,1.23,1.25,1.23,1.25,983
11:37,1.245,1.245,1.23,1.23,2048
11:39,1.24,1.24,1.24,1.24,300
11:41,1.24,1.24,1.24,1.24,406
11:42,1.24,1.24,1.23,1.23,763
11:44,1.24,1.2599,1.24,1.2599,400
11:45,1.25,1.27,1.25,1.27,7053
11:46,1.24,1.24,1.24,1.24,587
11:47,1.23,1.23,1.23,1.23,432
11:48,1.24,1.26,1.24,1.26,1718
11:50,1.2696,1.28,1.26,1.26,12470
11:51,1.24,1.28,1.24,1.27,1432
11:52,1.26,1.26,1.25,1.25,1517
11:53,1.24,1.2651,1.23,1.23,1632
11:54,1.23,1.255,1.23,1.255,600
11:55,1.23,1.26,1.23,1.23,2633
11:56,1.23,1.25,1.23,1.23,889
11:57,1.2496,1.25,1.23,1.25,1298
12:01,1.255,1.255,1.255,1.255,314
12:03,1.2679,1.27,1.2679,1.27,1600
12:04,1.28,1.28,1.24,1.24,2325
12:09,1.252,1.252,1.2507,1.2507,200
12:10,1.2602,1.2602,1.26,1.26,922
12:11,1.2601,1.2601,1.2601,1.2601,191
12:12,1.263,1.3,1.263,1.29,6853
12:13,1.2989,1.31,1.2989,1.31,10059
12:14,1.3,1.31,1.285,1.3095,5402
12:15,1.28,1.28,1.28,1.28,492
12:16,1.2604,1.2604,1.2604,1.2604,3068
12:19,1.2989,1.2989,1.2989,1.2989,178
12:22,1.3,1.3,1.28,1.28,4202
12:23,1.27,1.27,1.27,1.27,243
12:27,1.28,1.29,1.28,1.29,3059
12:28,1.2801,1.29,1.28,1.28,3805
12:30,1.275,1.28,1.275,1.28,4359
12:31,1.27,1.27,1.27,1.27,453
12:32,1.262,1.264,1.26,1.26,600
12:34,1.26,1.26,1.26,1.26,303
12:35,1.2602,1.2602,1.26,1.26,1888
12:36,1.27,1.27,1.26,1.26,373
12:37,1.25,1.27,1.25,1.27,9559
12:38,1.25,1.26,1.24,1.24,2360
12:39,1.25,1.25,1.25,1.25,1050
12:40,1.24,1.2799,1.24,1.24,3450
12:41,1.24,1.24,1.24,1.24,622
12:42,1.24,1.2747,1.24,1.25,749
12:43,1.25,1.25,1.24,1.24,1210
12:44,1.24,1.24,1.24,1.24,353
12:45,1.24,1.24,1.24,1.24,700
12:46,1.24,1.2646,1.24,1.2646,700
12:47,1.24,1.24,1.24,1.24,600
12:48,1.25,1.26,1.25,1.26,3823
12:50,1.2423,1.26,1.2423,1.26,1268
12:51,1.27,1.27,1.27,1.27,250
12:52,1.24,1.24,1.24,1.24,600
12:54,1.24,1.24,1.24,1.24,600
12:55,1.24,1.24,1.24,1.24,200
