time,open,high,low,close,volume
09:33,2.69,2.69,2.69,2.69,100
09:47,2.6869,2.6869,2.59,2.59,200
09:56,2.5808,2.5808,2.5808,2.5808,100
11:18,2.62,2.69,2.62,2.69,2059
12:44,2.62,2.62,2.62,2.62,500
14:44,2.6263,2.6263,2.6263,2.6263,125
14:46,2.58,2.58,2.58,2.58,141
15:13,2.615,2.615,2.615,2.615,170
15:30,2.65,2.71,2.65,2.71,511
15:44,2.7,2.785,2.7,2.785,225
15:50,2.9,2.9,2.9,2.9,100
15:51,2.785,2.9,2.785,2.9,422
15:53,2.8531,2.8531,2.8531,2.8531,375
09:56,2.72,2.72,2.72,2.72,124
10:00,2.7694,2.7694,2.7694,2.7694,1009
10:21,2.585,2.585,2.585,2.585,502
10:29,2.63,2.63,2.622,2.622,300
10:34,2.63,2.63,2.63,2.63,111
14:17,2.6231,2.6231,2.6231,2.6231,101
14:53,2.6,2.6,2.6,2.6,349
