time,open,high,low,close,volume
10:38,1.438,1.438,1.438,1.438,500
10:45,1.39,1.39,1.39,1.39,507
10:46,1.3994,1.3994,1.3994,1.3994,200
10:54,1.3994,1.3994,1.3994,1.3994,200
10:59,1.385,1.385,1.385,1.385,400
11:15,1.385,1.385,1.385,1.385,121
11:48,1.37,1.37,1.32,1.32,2618
12:07,1.33,1.33,1.3,1.3,2690
12:08,1.34,1.34,1.34,1.34,361
13:08,1.345,1.345,1.345,1.345,1000
13:09,1.3378,1.3378,1.3378,1.3378,500
13:33,1.31,1.31,1.2701,1.2701,5816
13:41,1.27,1.27,1.25,1.25,2500
13:44,1.3292,1.3292,1.3292,1.3292,280
13:57,1.3,1.3,1.3,1.3,1300
14:27,1.3,1.3,1.3,1.3,322
14:44,1.2501,1.2501,1.2501,1.2501,2900
14:49,1.2768,1.2768,1.2768,1.2768,2900
15:58,1.28,1.28,1.28,1.28,800
