time,open,high,low,close,volume
09:34,1.81,1.81,1.81,1.81,200
10:42,1.7173,1.7173,1.7173,1.7173,550
10:48,1.76,1.76,1.76,1.76,298
11:21,1.7138,1.7138,1.7,1.7138,1400
11:27,1.7,1.7,1.7,1.7,387
11:43,1.7,1.74,1.6817,1.6817,510
11:52,1.79,1.79,1.79,1.79,200
11:53,1.79,1.79,1.79,1.79,200
12:05,1.75,1.75,1.73,1.73,200
12:16,1.7899,1.7899,1.7899,1.7899,5000
12:29,1.7794,1.7794,1.69,1.69,1113
12:44,1.77,1.7795,1.77,1.7795,400
12:52,1.77,1.8,1.77,1.8,4145
12:53,1.8075,1.81,1.785,1.81,11495
12:56,1.78,1.78,1.78,1.78,140
13:39,1.82,1.85,1.82,1.85,1400
13:44,1.87,1.88,1.869,1.88,2900
13:46,1.91,1.91,1.91,1.91,329
13:48,1.92,1.92,1.9199,1.9199,250
13:49,1.9272,1.9272,1.9264,1.9264,1150
13:50,1.93,1.96,1.92,1.92,619
13:51,1.945,1.945,1.945,1.945,650
13:53,1.9227,1.9227,1.9227,1.9227,1000
13:54,1.9202,1.9219,1.9201,1.9201,1029
13:57,1.92,1.92,1.92,1.92,100
15:37,1.93,1.9594,1.93,1.9594,2000
15:39,1.9,1.9,1.9,1.9,202
15:43,1.95,1.96,1.94,1.96,981
15:44,1.95,1.96,1.95,1.96,500
15:47,1.96,1.96,1.96,1.96,1100
15:52,1.96,1.9695,1.96,1.9695,510
15:54,1.97,1.97,1.97,1.97,310
15:55,1.97,1.97,1.97,1.97,200
15:58,1.97,1.99,1.97,1.99,2899
15:59,1.98,2.06,1.96,2.06,8495
