time,open,high,low,close,volume
09:31,3.42,3.42,3.42,3.42,780
09:37,3.3705,3.3705,3.3705,3.3705,150
10:01,3.32,3.32,3.32,3.32,100
11:31,3.37,3.37,3.37,3.37,500
12:18,3.41,3.41,3.41,3.41,1317
12:19,3.41,3.41,3.41,3.41,100
12:20,3.42,3.42,3.42,3.42,604
12:31,3.37,3.3701,3.37,3.3701,210
15:43,3.3816,3.3816,3.3816,3.3816,1000
15:49,3.4,3.4,3.3999,3.3999,1527
15:52,3.39,3.4,3.3899,3.3899,2023
09:59,3.33,3.33,3.33,3.33,500
10:00,3.32,3.32,3.32,3.32,491
10:01,3.32,3.32,3.32,3.32,209
10:23,3.29,3.29,3.29,3.29,100
11:51,3.29,3.29,3.29,3.29,100
13:07,3.2945,3.2945,3.2945,3.2945,400
15:52,3.369,3.37,3.369,3.3699,900
15:59,3.3655,3.38,3.3655,3.3655,877
