time,open,high,low,close,volume
09:30,2.17,2.23,2.17,2.2099,5993
09:31,2.2,2.205,2.1849,2.1849,8993
09:32,2.185,2.1968,2.1068,2.15,15223
09:33,2.15,2.18,2.1305,2.1305,1618
09:34,2.1501,2.1749,2.1201,2.15,5290
09:35,2.16,2.25,2.1547,2.25,12913
09:36,2.25,2.25,2.221118,2.2362,7462
09:37,2.2377,2.2377,2.2,2.2265,2225
09:38,2.2,2.2,2.16,2.1863,3519
09:39,2.19,2.23,2.1795,2.1899,10863
09:40,2.22,2.26,2.1757,2.18,9734
09:41,2.2586,2.2586,2.1958,2.1958,2019
09:42,2.19,2.23,2.18,2.18,6369
09:43,2.2016,2.2016,2.17,2.17,872
09:44,2.12,2.21,2.12,2.21,1611
09:45,2.22,2.22,2.12,2.14,7014
09:46,2.14,2.2,2.12,2.15,12021
09:47,2.19,2.3,2.15,2.1839,17977
09:48,2.259,2.259,2.2018,2.2018,1828
09:49,2.2,2.25,2.2,2.22,2650
09:50,2.22,2.23,2.215,2.22,1821
09:51,2.2,2.215,2.2,2.2039,1060
09:52,2.2019,2.202,2.19,2.19,11338
09:53,2.18,2.185,2.135,2.14,15451
09:54,2.192,2.192,2.192,2.192,1517
09:55,2.19,2.19,2.175,2.175,432
09:56,2.19,2.19,2.19,2.19,246
09:57,2.2,2.2,2.175,2.1994,730
09:58,2.1928,2.1928,2.1501,2.1501,401
10:00,2.2,2.2,2.18,2.1981,3869
10:01,2.195,2.212,2.16,2.16,861
10:02,2.21,2.22,2.15,2.1716,10987
10:03,2.1511,2.18,2.15,2.17,7935
10:04,2.1707,2.18,2.17,2.18,2100
10:05,2.19,2.19,2.15,2.15,6025
10:06,2.18,2.1865,2.18,2.1865,3621
10:07,2.1865,2.1865,2.18,2.1854,3100
10:08,2.19,2.2,2.15,2.2,11724
10:09,2.15,2.21,2.15,2.21,1203
10:10,2.21,2.29,2.1593,2.28,33766
10:11,2.2569,2.26,2.21,2.2156,5170
10:13,2.23,2.252,2.18,2.2386,3995
10:14,2.23,2.23,2.15,2.167,5589
10:15,2.2,2.2,2.2,2.2,500
10:16,2.2285,2.2285,2.2285,2.2285,1397
10:17,2.18,2.22,2.1732,2.1732,4464
10:18,2.2,2.2,2.17,2.17,1600
10:20,2.2,2.2,2.17,2.17,2643
10:21,2.15,2.153,2.15,2.153,5368
10:22,2.17,2.1701,2.16,2.16,6001
10:24,2.16,2.16,2.16,2.16,996
10:25,2.192,2.192,2.177,2.177,1744
10:26,2.16,2.18,2.15,2.15,5337
10:28,2.1878,2.1878,2.11,2.15,6623
10:29,2.15,2.15,2.11,2.11,3967
10:31,2.16,2.1823,2.16,2.1823,1440
10:32,2.18,2.18,2.18,2.18,120
