time,open,high,low,close,volume
09:37,2.23,2.23,2.18,2.18,3458
10:02,2.1897,2.1897,2.1897,2.1897,1451
10:20,2.18,2.18,2.18,2.18,149
10:53,2.1568,2.1568,2.1568,2.1568,100
11:19,2.16,2.16,2.14,2.14,9950
11:20,2.12,2.12,2.11,2.12,1300
11:35,2.11,2.11,2.0704,2.0704,2309
11:43,2.07,2.07,2.03,2.03,951
11:44,2.03,2.03,2.01,2.01,942
11:49,2.053,2.053,2.053,2.053,200
11:56,2.06,2.06,2.06,2.06,440
12:32,2.06,2.06,2.06,2.06,200
12:33,2.08,2.08,2.07,2.07,1869
12:46,2.07,2.07,2.07,2.07,450
13:12,2.07,2.07,2.07,2.07,142
13:28,2.08,2.08,2.08,2.08,200
13:44,2.07,2.0738,2.07,2.0738,1104
13:53,2.1585,2.1599,2.1,2.1,12758
13:54,2.1,2.1599,2.1,2.1599,4314
13:55,2.13,2.13,2.13,2.13,320
13:56,2.14,2.14,2.14,2.14,400
13:58,2.14,2.14,2.14,2.14,100
14:11,2.13,2.13,2.13,2.13,400
14:18,2.1187,2.1187,2.1187,2.1187,341
14:20,2.12,2.12,2.12,2.12,200
15:46,2.12,2.12,2.12,2.12,353
09:30,2.1183,2.1183,2.1183,2.1183,389
09:41,2.0705,2.0705,2.0705,2.0705,100
09:42,2.0791,2.095,2.0701,2.0701,16415
09:52,2.0933,2.0933,2.0933,2.0933,500
10:08,2.07,2.07,2.07,2.07,155
10:16,2.05,2.05,2.05,2.05,100
10:20,2.0298,2.0298,2.0298,2.0298,111
10:37,2.05,2.05,2.05,2.05,196
10:46,2.09,2.09,2.09,2.09,163
11:19,2.045,2.045,2.045,2.045,247
11:27,2.05,2.05,2.05,2.05,248
11:28,2.06,2.06,2.06,2.06,206
11:56,2.07,2.07,2.07,2.07,300
12:56,2.0635,2.0635,2.0635,2.0635,700
13:20,2.06,2.06,2.06,2.06,140
13:24,2.08,2.08,2.07,2.08,344
13:25,2.09,2.1,2.09,2.1,437
13:26,2.08,2.08,2.075,2.075,1120
13:27,2.08,2.08,2.07,2.07,320
13:28,2.0798,2.1,2.0798,2.1,6230
13:29,2.1,2.1,2.09,2.09,210
13:31,2.0899,2.1,2.0899,2.0899,3000
13:32,2.14,2.14,2.14,2.14,110
13:35,2.155,2.155,2.155,2.155,170
13:37,2.16,2.18,2.16,2.1697,5374
13:38,2.15,2.15,2.11,2.11,7733
13:39,2.12,2.13,2.12,2.13,4706
13:40,2.08,2.1,2.08,2.1,541
14:30,2.11,2.11,2.11,2.11,154
15:00,2.06,2.06,2.06,2.06,250
15:01,2.08,2.08,2.08,2.08,250
15:06,2.06,2.06,2.06,2.06,250
15:07,2.07,2.08,2.07,2.08,500
15:18,2.11,2.11,2.11,2.11,1560
15:39,2.11,2.11,2.11,2.11,239
