time,open,high,low,close,volume
09:30,1.71,1.7399,1.67,1.6846,88595
09:31,1.6889,1.71,1.685,1.69,17547
09:32,1.68,1.71,1.67,1.705,19151
09:33,1.7008,1.7008,1.65,1.6692,30801
09:34,1.6699,1.71,1.6699,1.7,35225
09:35,1.69,1.7,1.69,1.691,7277
09:36,1.6999,1.72,1.69,1.7098,7246
09:37,1.7098,1.71,1.6801,1.69,16283
09:38,1.685,1.6999,1.68,1.6999,12821
09:39,1.6997,1.71,1.69,1.7,6181
09:40,1.7046,1.72,1.695,1.7155,18758
09:41,1.71,1.71,1.68,1.695,15442
09:42,1.695,1.6956,1.682,1.682,9466
09:43,1.6809,1.6999,1.68,1.695,9477
09:44,1.6901,1.7101,1.6901,1.71,4973
09:45,1.71,1.72,1.71,1.7189,959
09:46,1.72,1.765,1.72,1.765,33451
09:47,1.7688,1.86,1.7646,1.86,96233
09:48,1.85,1.91,1.84,1.885,178513
09:49,1.89,1.89,1.84,1.87,92507
09:50,1.8713,1.94,1.87,1.93,157206
09:51,1.9358,1.9568,1.9,1.925,119865
09:52,1.9296,2.08,1.92,2.045,240164
09:53,2.05,2.1,2.025,2.07,340196
09:54,2.08,2.08,1.96,1.99,239385
09:55,1.9854,2.02,1.96,1.9706,154690
09:56,1.9799,1.98,1.9,1.9233,221109
09:57,1.925,1.93,1.88,1.915,149478
09:58,1.92,1.93,1.9,1.915,85874
09:59,1.91,1.91,1.87,1.8716,82699
10:00,1.89,1.96,1.8805,1.925,156300
10:01,1.925,1.94,1.88,1.915,79847
10:02,1.915,1.92,1.83,1.8708,124039
10:03,1.8708,1.91,1.84,1.905,42694
10:04,1.9099,1.92,1.88,1.88,24812
10:05,1.8899,1.8999,1.8803,1.895,7081
10:06,1.8902,1.98,1.8902,1.9689,51715
10:07,1.9728,2.03,1.92,1.97,111039
10:08,1.9793,1.9881,1.9525,1.96,44623
10:09,1.9509,1.98,1.945,1.97,32579
10:10,1.9607,2.02,1.95,1.9602,134132
10:11,1.969,1.99,1.9601,1.9788,44885
10:12,1.979,1.98,1.93,1.941,29087
10:13,1.9423,1.9708,1.92,1.9708,59986
10:14,1.9754,2.0258,1.9754,2.0011,129269
10:15,2.0097,2.0299,1.98,2.0081,35771
10:16,2.01,2.02,1.9842,1.99,59764
10:17,1.9902,2.05,1.97,2.025,39669
10:18,2.0458,2.05,2,2.0089,72335
10:19,2.0088,2.0088,1.76,1.818,246002
10:20,1.815,1.87,1.8,1.845,91358
10:21,1.85,1.91,1.85,1.91,53880
10:22,1.9003,1.93,1.89,1.89,23346
10:23,1.89,1.89,1.88,1.88,13699
10:24,1.87,1.87,1.8501,1.8599,23527
10:25,1.855,1.8699,1.83,1.8699,56163
10:26,1.865,1.87,1.83,1.869,24219
10:27,1.86,1.89,1.855,1.89,11799
10:28,1.899,1.9,1.87,1.8899,15457
10:29,1.89,1.91,1.87,1.88,20076
10:30,1.8701,1.8912,1.8601,1.8912,8705
10:31,1.9,1.91,1.88,1.88,7260
10:32,1.88,1.8892,1.8746,1.8746,3849
10:33,1.8793,1.8793,1.85,1.855,15042
10:34,1.86,1.86,1.69,1.72,146138
10:35,1.7206,1.76,1.693368,1.735,86588
10:36,1.74,1.77,1.735,1.76,35338
10:37,1.7642,1.7717,1.75,1.7509,22575
10:38,1.7501,1.755,1.74,1.74,14841
10:39,1.735,1.75,1.73,1.75,31129
10:40,1.7604,1.7697,1.75,1.75,7047
10:41,1.75,1.75,1.735,1.735,3037
10:42,1.7354,1.75,1.7354,1.74,8666
10:43,1.74,1.74,1.7301,1.735,8749
10:44,1.7398,1.7398,1.72,1.735,8916
10:45,1.74,1.74,1.72,1.725,10759
10:46,1.7273,1.73,1.7,1.71,6979
10:47,1.705,1.71,1.675,1.6898,29506
10:48,1.6942,1.71,1.69,1.695,14762
10:49,1.695,1.7,1.6601,1.6608,27640
10:50,1.66,1.71,1.65,1.71,28280
10:51,1.705,1.71,1.675,1.675,41638
10:52,1.68,1.7,1.68,1.695,18758
10:53,1.695,1.7,1.6708,1.685,13965
10:54,1.6857,1.6857,1.66,1.68,14323
10:55,1.68,1.73,1.68,1.7208,43702
10:56,1.73,1.738,1.72,1.738,10154
10:57,1.7313,1.76,1.7313,1.745,25128
10:58,1.75,1.75,1.72,1.745,17095
10:59,1.7499,1.77,1.7499,1.7599,10203
11:00,1.755,1.8,1.755,1.775,36170
11:01,1.7717,1.79,1.76,1.765,16674
11:02,1.7661,1.77,1.76,1.765,4563
11:03,1.7603,1.81,1.74,1.76,62605
11:04,1.78,1.79,1.77,1.785,17002
11:05,1.78,1.79,1.7792,1.79,5116
11:06,1.79,1.79,1.785,1.785,13309
11:07,1.79,1.81,1.79,1.8,11526
11:08,1.8,1.8,1.7701,1.775,8730
11:09,1.78,1.79,1.78,1.785,11410
11:10,1.79,1.82,1.79,1.808,6814
11:11,1.8011,1.81,1.78,1.79,11002
11:12,1.795,1.8,1.785,1.7999,3522
11:13,1.7981,1.84,1.7981,1.84,19800
11:14,1.84,1.84,1.77,1.8093,31172
11:15,1.8099,1.81,1.791,1.791,2039
11:16,1.79,1.8,1.78,1.79,4790
11:17,1.795,1.82,1.795,1.82,4775
11:18,1.8168,1.83,1.8002,1.8299,14695
11:19,1.825,1.825,1.825,1.825,396
11:20,1.829,1.829,1.8201,1.825,1785
11:21,1.8233,1.84,1.8201,1.84,2939
11:22,1.83,1.84,1.81,1.8103,9466
11:23,1.82,1.8301,1.82,1.8301,1698
11:24,1.835,1.84,1.835,1.84,1693
11:25,1.84,1.85,1.8399,1.85,28534
11:26,1.8413,1.85,1.825,1.83,6009
11:27,1.85,1.87,1.8271,1.87,19300
11:28,1.855,1.87,1.83,1.8373,5676
11:29,1.8401,1.87,1.8401,1.87,6168
11:30,1.8582,1.885,1.85,1.8788,5400
11:31,1.88,1.89,1.87,1.8888,14053
11:32,1.8899,1.9,1.879,1.879,25789
11:33,1.8758,1.9,1.871,1.8798,14243
11:34,1.871,1.871,1.85,1.87,15885
11:35,1.86,1.8793,1.86,1.875,5263
11:36,1.875,1.89,1.875,1.88,16271
11:37,1.88,1.89,1.85,1.86,9505
