time,open,high,low,close,volume
09:49,3.6052,3.6052,3.6052,3.6052,138
10:25,3.75,3.79,3.75,3.78,2689
10:30,3.38,3.38,3.37,3.37,301
10:45,3.67,3.67,3.67,3.67,380
10:47,3.525,3.525,3.525,3.525,250
10:48,3.67,3.67,3.67,3.67,300
10:49,3.5944,3.5944,3.5944,3.5944,330
10:50,3.68,3.68,3.68,3.68,250
10:51,3.68,3.72,3.6799,3.6799,450
10:59,3.59,3.59,3.59,3.59,200
11:00,3.59,3.59,3.59,3.59,300
11:01,3.745,3.76,3.59,3.59,677
11:02,3.75,3.7668,3.7499,3.7668,877
11:04,3.6773,3.75,3.6773,3.75,500
11:10,3.75,3.75,3.75,3.75,100
11:12,3.7,3.7,3.7,3.7,1600
11:25,3.62,3.62,3.62,3.62,100
11:52,3.7078,3.7078,3.7078,3.7078,100
12:06,3.63,3.63,3.6,3.6,1000
12:07,3.61,3.61,3.6,3.6,200
12:47,3.42,3.42,3.42,3.42,100
15:52,3.58,3.58,3.58,3.58,100
15:55,3.6,3.6,3.6,3.6,100
15:57,3.65,3.65,3.65,3.65,200
15:58,3.65,3.65,3.64,3.64,200
09:35,3.4741,3.4741,3.4741,3.4741,132
09:49,3.42,3.42,3.42,3.42,500
10:02,3.48,3.48,3.48,3.48,267
10:21,3.5863,3.5863,3.5863,3.5863,100
12:06,3.55,3.55,3.55,3.55,905
14:29,3.36,3.3601,3.31,3.36,3400
14:30,3.36,3.36,3.318,3.318,2700
14:34,3.29,3.29,3.29,3.29,100
14:37,3.31,3.31,3.31,3.31,100
15:09,3.4,3.4,3.4,3.4,200
15:58,3.49,3.5,3.48,3.48,3391
15:59,3.48,3.48,3.48,3.48,2232
