time,open,high,low,close,volume
09:30,8.74,8.758,8.71,8.758,433742
09:31,8.755,8.79,8.725,8.73,100394
09:32,8.725,8.79,8.725,8.77,97547
09:33,8.765,8.81,8.76,8.8054,101707
09:34,8.805,8.82,8.779,8.79,83102
09:35,8.79,8.8287,8.79,8.81,77573
09:36,8.8194,8.84,8.805,8.815,73207
09:37,8.81,8.82,8.78,8.785,66453
09:38,8.785,8.845,8.785,8.835,66575
09:39,8.8306,8.835,8.81,8.83,73772
09:40,8.815,8.85,8.815,8.84,23827
09:41,8.838,8.855,8.825,8.85,37173
09:42,8.845,8.86,8.84,8.8546,27903
09:43,8.859,8.86,8.8349,8.85,21753
09:44,8.85,8.85,8.825,8.8294,20938
09:45,8.825,8.83,8.805,8.825,38715
09:46,8.82,8.825,8.805,8.82,31446
09:47,8.825,8.87,8.82,8.8601,32446
09:48,8.87,8.87,8.84,8.8492,55938
09:49,8.845,8.86,8.842789,8.8547,11841
09:50,8.855,8.86,8.835,8.835,24414
09:51,8.8301,8.86,8.8301,8.845,50393
09:52,8.84,8.86,8.82,8.83,89613
09:53,8.8201,8.8577,8.82,8.8577,26828
09:54,8.855,8.88,8.85,8.865,26001
09:55,8.865,8.88,8.84,8.88,50591
09:56,8.88,8.88,8.87,8.875,22521
09:57,8.88,8.89,8.8747,8.8747,12263
09:58,8.875,8.875,8.859,8.8642,32211
09:59,8.8612,8.865,8.85,8.855,6942
10:00,8.86,8.89,8.86,8.88,35471
10:01,8.8792,8.9,8.865,8.8974,45100
10:02,8.9,8.91,8.88,8.88,30425
10:03,8.885,8.8957,8.865,8.8699,58851
10:04,8.87,8.875,8.86,8.86,37200
10:05,8.855,8.86,8.85,8.8507,14514
10:06,8.855,8.855,8.8,8.805,76468
10:07,8.8037,8.805,8.78,8.78,27537
10:08,8.78,8.785,8.76,8.765,56261
10:09,8.765,8.78,8.7619,8.775,31309
10:10,8.77,8.8,8.77,8.7988,85454
10:11,8.795,8.795,8.765,8.77,35050
10:12,8.77,8.78,8.765,8.765,41716
10:13,8.765,8.77,8.755,8.7551,24479
10:14,8.754,8.76,8.745,8.7546,29045
10:15,8.7535,8.7811,8.7535,8.7811,37541
10:16,8.785,8.79,8.785,8.785,16724
10:17,8.785,8.795,8.78,8.795,8461
10:18,8.7951,8.81,8.79,8.79,41735
10:19,8.79,8.8,8.78,8.78,30545
10:20,8.785,8.7875,8.77,8.775,8584
10:21,8.775,8.785,8.7609,8.785,29007
10:22,8.785,8.79,8.78,8.785,18687
10:23,8.785,8.79,8.765,8.785,64499
10:24,8.785,8.81,8.785,8.805,38676
10:25,8.8,8.805,8.79,8.79,47631
10:26,8.795,8.81,8.7801,8.805,42308
10:27,8.8089,8.81,8.79,8.79,34486
