time,open,high,low,close,volume
09:30,2.35,2.35,2.3235,2.325,13012
09:31,2.3294,2.34,2.3272,2.3326,4528
09:32,2.33,2.3674,2.33,2.3674,7242
09:33,2.3562,2.3689,2.35,2.3574,1468
09:34,2.3715,2.38,2.36,2.37,2334
09:35,2.39,2.39,2.37,2.37,3417
09:36,2.36,2.36,2.29,2.3,18948
09:37,2.2601,2.2956,2.2,2.275,7517
09:38,2.28,2.31,2.23,2.23,20542
09:39,2.2387,2.24,2.19,2.21,15083
09:40,2.2245,2.2245,2.2245,2.2245,1178
09:42,2.22,2.23,2.22,2.22,10325
09:43,2.21,2.21,2.21,2.21,220
09:44,2.2212,2.2212,2.2212,2.2212,500
09:45,2.24,2.25,2.235,2.24,10879
09:46,2.23,2.2846,2.23,2.2846,251
09:47,2.27,2.2753,2.25,2.2753,1245
09:48,2.26,2.271,2.26,2.271,300
09:49,2.275,2.275,2.26,2.26,1342
09:50,2.26,2.26,2.25,2.26,4355
09:51,2.24,2.24,2.23,2.23,600
09:52,2.24,2.24,2.24,2.24,374
09:56,2.26,2.26,2.26,2.26,550
09:57,2.2695,2.29,2.2695,2.28,11536
09:59,2.27,2.27,2.25,2.25,5098
10:00,2.28,2.28,2.28,2.28,10000
10:01,2.29,2.3061,2.29,2.3061,616
10:04,2.3041,2.3041,2.285,2.285,3060
10:05,2.26,2.3042,2.26,2.3042,425
10:06,2.2955,2.2955,2.2955,2.2955,1000
10:07,2.31,2.31,2.3,2.3,10101
10:08,2.28,2.3381,2.28,2.335,9999
10:09,2.33,2.3399,2.3,2.3,6779
10:10,2.33,2.35,2.29,2.31,10248
10:11,2.303,2.31,2.303,2.31,1196
10:12,2.31,2.31,2.31,2.31,195
10:13,2.305,2.32,2.29,2.29,2719
10:14,2.29,2.29,2.29,2.29,721
10:16,2.305,2.305,2.305,2.305,525
10:17,2.3199,2.32,2.3199,2.32,1014
10:18,2.3495,2.3495,2.3495,2.3495,532
10:20,2.3,2.3001,2.3,2.3001,714
10:21,2.32,2.32,2.32,2.32,125
10:22,2.3076,2.3076,2.3076,2.3076,1000
10:23,2.34,2.35,2.34,2.35,2000
10:24,2.35,2.35,2.35,2.35,751
10:25,2.34,2.35,2.34,2.34,1734
10:26,2.325,2.325,2.325,2.325,209
10:28,2.325,2.33,2.325,2.33,500
10:30,2.33,2.33,2.33,2.33,533
10:31,2.3,2.3,2.3,2.3,1997
10:32,2.3009,2.3009,2.3,2.3,2343
10:33,2.305,2.31,2.305,2.31,4756
10:35,2.2903,2.2903,2.29,2.29,296
10:36,2.306,2.306,2.3,2.3,288
10:38,2.28,2.28,2.28,2.28,1159
10:39,2.2808,2.29,2.28,2.28,13679
10:41,2.2709,2.2709,2.27,2.2701,2403
10:43,2.26,2.2701,2.26,2.2701,4124
10:44,2.26,2.2682,2.23,2.23,9410
10:46,2.23,2.23,2.18,2.205,25355
10:48,2.21,2.2124,2.21,2.2124,1283
10:49,2.22,2.24,2.22,2.24,2371
10:50,2.24,2.2584,2.24,2.2584,4139
10:52,2.22,2.22,2.22,2.22,2310
10:55,2.259,2.26,2.259,2.26,3050
11:00,2.25,2.25,2.25,2.25,995
11:08,2.25,2.25,2.25,2.25,400
11:09,2.2607,2.2607,2.26,2.26,700
11:10,2.2603,2.269,2.2603,2.269,1800
11:11,2.26,2.26,2.26,2.26,200
11:13,2.26,2.26,2.26,2.26,100
11:15,2.27,2.28,2.27,2.28,2300
11:17,2.3119,2.33,2.3119,2.33,2250
11:31,2.3169,2.3169,2.3169,2.3169,439
11:40,2.3,2.3,2.3,2.3,840
11:47,2.3,2.3001,2.3,2.3,5184
11:49,2.319,2.3332,2.305,2.3332,16211
12:02,2.34,2.34,2.34,2.34,100
12:10,2.34,2.34,2.335,2.335,3727
12:11,2.335,2.39,2.335,2.39,7256
12:18,2.35,2.35,2.35,2.35,400
12:24,2.36,2.36,2.36,2.36,335
12:27,2.35,2.35,2.35,2.35,188
12:28,2.3676,2.3676,2.3676,2.3676,360
12:30,2.35,2.35,2.35,2.35,280
12:32,2.34,2.34,2.31,2.32,6316
12:45,2.3212,2.3212,2.3212,2.3212,284
12:49,2.32,2.32,2.29,2.32,4221
12:58,2.3279,2.3279,2.3279,2.3279,100
13:11,2.3125,2.35,2.305,2.35,20099
13:12,2.34,2.39,2.34,2.39,20198
13:16,2.37,2.39,2.37,2.375,4757
13:21,2.345,2.345,2.345,2.345,313
13:27,2.3539,2.3539,2.3539,2.3539,100
13:33,2.3542,2.3542,2.3542,2.3542,199
13:41,2.35,2.35,2.35,2.35,359
13:45,2.3489,2.3489,2.3489,2.3489,100
13:46,2.35,2.35,2.35,2.35,7000
13:49,2.36,2.36,2.36,2.36,210
13:52,2.37,2.37,2.37,2.37,100
14:09,2.355,2.3665,2.355,2.3665,1124
14:11,2.33,2.33,2.33,2.33,300
14:18,2.355,2.39,2.355,2.365,3970
14:22,2.355,2.355,2.355,2.355,100
14:31,2.35,2.35,2.35,2.35,8133
14:35,2.35,2.35,2.35,2.35,300
14:39,2.35,2.36,2.35,2.36,5138
14:40,2.36,2.36,2.36,2.36,100
14:41,2.37,2.37,2.36,2.36,1425
14:42,2.3663,2.39,2.35,2.39,25318
14:43,2.3989,2.3989,2.38,2.384,2279
14:44,2.39,2.39,2.39,2.39,100
14:45,2.39,2.4,2.39,2.395,1175
14:48,2.3946,2.395,2.3946,2.395,250
14:49,2.39,2.39,2.39,2.39,1393
14:50,2.37,2.37,2.37,2.37,213
14:51,2.3753,2.3753,2.3753,2.3753,100
14:54,2.37,2.37,2.37,2.37,100
14:56,2.39,2.42,2.39,2.395,12422
14:58,2.3941,2.3941,2.3941,2.3941,308
15:03,2.3868,2.3868,2.3868,2.3868,1000
15:04,2.38,2.3827,2.37,2.3827,1350
15:06,2.41,2.41,2.41,2.41,100
15:14,2.39,2.4,2.39,2.4,5557
15:15,2.39,2.39,2.39,2.39,800
15:19,2.39,2.39,2.39,2.39,694
15:24,2.37,2.37,2.37,2.37,1462
15:25,2.38,2.38,2.38,2.38,582
15:26,2.38,2.395,2.38,2.395,419
15:32,2.39,2.39,2.38,2.38,610
15:33,2.37,2.37,2.37,2.37,100
15:35,2.3863,2.3863,2.3863,2.3863,440
15:36,2.3812,2.3812,2.3812,2.3812,1198
15:38,2.37,2.37,2.35,2.35,1000
15:39,2.38,2.435,2.37,2.37,37672
15:40,2.3915,2.3915,2.3915,2.3915,397
15:42,2.39,2.39,2.39,2.39,3793
15:44,2.38,2.38,2.37,2.37,2040
15:46,2.38,2.38,2.38,2.38,2312
15:47,2.38,2.4,2.38,2.4,3125
15:48,2.4,2.4,2.4,2.4,3159
15:50,2.42,2.44,2.419,2.425,3097
15:51,2.425,2.44,2.42,2.44,17359
15:52,2.435,2.45,2.42,2.42,14434
15:53,2.41,2.45,2.41,2.45,272
15:54,2.4269,2.4269,2.4269,2.4269,416
15:56,2.43,2.43,2.43,2.43,1149
15:57,2.37,2.37,2.37,2.37,333
15:59,2.37,2.37,2.37,2.37,410
09:30,2.53,2.5576,2.53,2.545,31679
09:31,2.56,2.58,2.56,2.58,805
09:32,2.6,2.6,2.599,2.599,2694
09:33,2.595,2.7284,2.595,2.705,6036
09:34,2.7,2.7895,2.6986,2.7446,31096
09:35,2.737,2.74,2.65,2.7191,29527
09:36,2.6984,2.7,2.67,2.6791,6566
09:37,2.66,2.7074,2.64,2.7,9778
09:38,2.7,2.72,2.7,2.7188,1480
09:39,2.705,2.7337,2.705,2.7337,11048
09:40,2.7139,2.75,2.7139,2.74,3329
09:41,2.74,2.74,2.71,2.739,8505
09:42,2.7384,2.74,2.7379,2.74,1851
09:43,2.7379,2.78,2.7379,2.7699,12709
