time,open,high,low,close,volume
09:30,1.08,1.08,1.08,1.08,101
09:35,1.0744,1.0744,1.0744,1.0744,152
09:59,1.0598,1.0599,1.0598,1.0599,500
11:52,1,1.0008,1,1.0008,712
11:53,1,1,1,1,451
11:59,1.01,1.01,1.01,1.01,1262
12:05,1,1,1,1,795
12:07,1.0088,1.0088,1.0088,1.0088,1748
12:08,1,1.046,1,1.046,237
15:05,1.0398,1.0398,1.0398,1.0398,161
15:44,1.0408,1.0408,1.0408,1.0408,100
15:59,1.0456,1.0456,1.0456,1.0456,301
09:35,1.0716,1.0716,1.0716,1.0716,100
09:47,1.03,1.03,1.03,1.03,200
09:48,1.0002,1.0002,1.0001,1.0001,2000
09:49,1.0034,1.0525,1,1,6458
09:50,0.9982,0.9982,0.9982,0.9982,100
09:51,0.9841,0.9841,0.9841,0.9841,100
09:52,1,1,1,1,100
09:54,1.00115,1.00115,1.00115,1.00115,126
09:55,1.0793,1.0793,1.0793,1.0793,100
10:04,1.0161,1.0161,1.0161,1.0161,100
10:05,1.0662,1.0662,1.0662,1.0662,100
10:29,1.0027,1.0027,1.0027,1.0027,683
10:49,1,1,1,1,211
10:51,1.0059,1.0059,1.0059,1.0059,200
11:17,1.0445,1.0445,1.0445,1.0445,100
14:35,1.0445,1.0445,1.0445,1.0445,100
15:58,1.02,1.02,1.02,1.02,242
15:59,1.01,1.0187,1,1.0187,1738
