time,open,high,low,close,volume
09:30,2.58,2.58,2.31,2.31,99643
09:31,2.3012,2.3269,2.21,2.2807,66057
09:32,2.2801,2.34,2.21,2.32,45071
09:33,2.3358,2.39,2.3,2.32,23017
09:34,2.3,2.37,2.28,2.29,7567
09:35,2.28,2.28,1.98,2.13,45481
09:36,2.165,2.36,2.144,2.28,25362
09:37,2.2645,2.3443,2.25,2.3,11455
09:38,2.25,2.2599,2.2,2.2201,7236
09:39,2.21,2.32,2.1901,2.2837,8985
09:40,2.2507,2.28,2.16,2.23,11749
09:41,2.1983,2.29,2.1983,2.28,9837
09:42,2.2894,2.6,2.25,2.54,88180
09:43,2.55,2.8,2.54,2.7123,195855
09:44,2.71,2.74,2.67,2.7,84165
09:45,2.7009,2.71,2.56,2.65,76945
09:46,2.65,3.1499,2.6325,3.13,298535
09:47,3.111,3.32,3,3.32,264045
09:52,3.3,3.3,2.64,2.64,669212
09:53,2.64,2.64,2.64,2.64,25716
09:58,2.5,2.6,2.08,2.2699,368292
09:59,2.261,2.4,2.26,2.33,121968
10:00,2.3,2.4,2.3,2.3292,27209
10:01,2.33,2.33,2.21,2.2238,43567
10:02,2.24,2.36,2.224174,2.25,19351
10:03,2.275,2.36,2.251,2.295,28755
10:04,2.295,2.2999,2.13,2.225,44484
10:05,2.26,2.2699,2.18,2.23,25150
10:06,2.2496,2.33,2.18,2.33,47216
10:07,2.3,2.44,2.25,2.31,73728
10:08,2.3699,2.3699,2.27,2.35,14792
10:09,2.3497,2.39,2.3101,2.3732,11573
10:10,2.39,2.43,2.31,2.335,32251
10:11,2.3101,2.43,2.31,2.39,18376
10:12,2.4,2.44,2.35,2.41,24676
10:13,2.41,2.58,2.41,2.55,74490
10:14,2.54,2.77,2.4,2.73,123594
10:15,2.724,2.724,2.46,2.53,74388
10:16,2.52,2.55,2.41,2.4319,42396
10:17,2.45,2.4943,2.4302,2.45,17511
10:18,2.4358,2.4715,2.4,2.41,19900
10:19,2.4299,2.4299,2.31,2.35,32317
10:20,2.3201,2.3725,2.32,2.33,8730
10:21,2.34,2.35,2.34,2.34,3433
10:22,2.38,2.38,2.3301,2.35,10195
10:23,2.3968,2.42,2.3701,2.41,9991
10:24,2.39,2.42,2.39,2.4014,6540
10:25,2.4147,2.42,2.3701,2.3715,5312
10:26,2.37,2.37,2.32,2.36,8774
10:27,2.35,2.3946,2.32,2.3946,8060
10:28,2.354,2.3824,2.35,2.35,2389
10:29,2.33,2.34,2.15,2.27,51528
10:30,2.275,2.38,2.27,2.38,15092
10:31,2.38,2.38,2.29,2.38,8778
10:32,2.37,2.37,2.29,2.29,6263
10:33,2.2901,2.2999,2.29,2.2984,6601
10:34,2.3,2.31,2.295,2.295,6724
10:35,2.298,2.2999,2.25,2.27,20662
10:36,2.2692,2.36,2.2,2.2001,36455
10:37,2.2059,2.2396,2.06,2.0621,46461
10:38,2.08,2.1268,2.0702,2.1039,20170
10:39,2.12,2.1299,2.1,2.11,17270
10:40,2.11,2.17,2.1001,2.13,50794
10:41,2.2194,2.2194,2.15,2.2,2726
10:42,2.195,2.265,2.195,2.2301,16571
10:43,2.23,2.25,2.16,2.17,22648
10:44,2.1689,2.17,2.1,2.1,14255
10:45,2.1,2.14,2.1,2.14,8513
10:46,2.15,2.1597,2.11,2.1597,3109
10:47,2.1564,2.17,2.145,2.17,4936
10:48,2.175,2.175,2.135,2.14,3004
10:49,2.1395,2.16,2.13,2.13,8019
10:50,2.17,2.17,2.1699,2.1699,799
10:51,2.15,2.15,2.15,2.15,559
10:52,2.1355,2.14,2.13,2.14,3275
10:53,2.1443,2.16,2.13,2.1563,4109
10:54,2.145,2.145,2.1,2.12,9058
10:55,2.12,2.12,1.8801,1.9801,51202
10:56,1.9855,2.05,1.9855,2.0077,21472
10:57,2.0369,2.04,2.0004,2.02,7759
10:58,2.02,2.085,2.02,2.08,6282
10:59,2.08,2.099,2.048,2.0988,23417
11:00,2.0801,2.1,2.02,2.078038,12220
11:01,2.04,2.0673,2.02,2.03,6742
11:02,2.0643,2.0643,2.02,2.05,1199
11:03,2.035,2.035,2.02,2.0337,4313
11:04,2.0201,2.03,2.02,2.03,4596
11:05,2.07,2.0988,2.01,2.01,3393
11:06,2,2.06,1.9,1.9,37368
11:07,1.91,1.95,1.91,1.95,1981
11:08,1.9364,1.9827,1.92,1.92,4087
11:09,1.98,1.988,1.9501,1.9869,1689
11:10,1.97,1.99,1.97,1.98,880
11:11,1.98,1.98,1.97,1.98,7670
11:12,1.9799,1.98,1.97,1.98,7768
11:13,1.9701,1.9792,1.97,1.9792,2025
11:14,1.98,2.005,1.9701,2.005,5558
11:15,2.005,2.02,2.005,2.02,2056
11:16,2.02,2.03,1.9702,2.03,10195
11:17,2.03,2.1,2.03,2.1,2630
11:18,2.11,2.12,2.11,2.12,2452
11:19,2.1388,2.14,2.13,2.14,2288
11:20,2.1301,2.1301,2.1301,2.1301,263
11:21,2.14,2.15,2.14,2.15,2842
11:22,2.1474,2.15,2.1437,2.145,3756
11:23,2.15,2.15,2.13,2.13,3712
11:24,2.14,2.14,2.13,2.13,1329
11:25,2.135,2.135,2.11,2.11,8564
11:26,2.11,2.12,2.11,2.12,3537
11:27,2.12,2.12,2.11,2.11,1111
11:28,2.12,2.12,2.12,2.12,315
11:29,2.1,2.12,2.1,2.11,1934
11:30,2.11,2.1111,2.11,2.1111,1259
11:31,2.12,2.1436,2.12,2.14,9169
11:32,2.14,2.14,2.14,2.14,293
11:34,2.12,2.12,2.0086,2.0086,6457
11:35,2.01,2.0286,2,2.0286,1072
11:36,2.05,2.05,2.0101,2.0101,912
11:37,2.0476,2.05,2.0476,2.05,225
11:38,2.03,2.03,2.0201,2.0201,2028
11:39,2.0201,2.0201,2.0108,2.0108,2570
11:40,2.0191,2.0191,1.97,1.979,7660
11:41,1.975,1.98,1.97,1.98,3131
11:42,2,2.02,1.9735,1.99,6473
11:43,1.98,2.05,1.98,2.05,19803
11:44,2.07,2.0717,2.04,2.04,2184
11:45,2.04,2.04,2.04,2.04,407
11:47,2.0356,2.0356,2.025,2.025,1542
11:48,2.0437,2.0437,2.04,2.04,679
11:49,2.0474,2.07,2.04,2.07,2570
11:50,2.06,2.06,2,2.0599,7081
11:51,2.03,2.06,2.03,2.06,6751
11:52,2.06,2.08,2.06,2.08,6477
11:53,2.08,2.08,2.0611,2.0611,5186
11:54,2.086,2.1421,2.07,2.1421,1018
11:55,2.125,2.15,2.125,2.15,5471
11:56,2.1499,2.15,2.1499,2.15,790
11:58,2.14,2.15,2.12,2.14,1476
11:59,2.14,2.15,2.14,2.147223,1132
12:00,2.1494,2.1494,2.1494,2.1494,104
12:01,2.15,2.17,2.15,2.17,23766
12:02,2.17,2.2,2.16,2.16,10837
12:03,2.13,2.1899,2.12,2.1899,860
12:04,2.1293,2.1293,2.1293,2.1293,539
12:05,2.15,2.15,2.12,2.12,867
12:06,2.1,2.1507,2.061,2.11,9950
12:07,2.14,2.14,2.1334,2.1334,200
12:08,2.1001,2.14,2.1001,2.14,1800
12:09,2.1143,2.13,2.1143,2.13,394
12:10,2.13,2.13,2.13,2.13,253
12:11,2.13,2.13,2.13,2.13,234
12:12,2.13,2.1398,2.13,2.1398,1540
12:13,2.13,2.13,2.13,2.13,555
12:14,2.14,2.17,2.13,2.14,3151
12:15,2.1857,2.1857,2.15,2.15,598
12:16,2.15,2.15,2.14,2.15,1352
12:17,2.15,2.15,2.15,2.15,196
12:19,2.1502,2.19,2.1,2.11,6810
12:20,2.109675,2.109675,2.109675,2.109675,329
12:21,2.13,2.13,2.12,2.12,2215
12:22,2.12,2.12,2.12,2.12,1809
12:23,2.12,2.12,2.12,2.12,2696
12:24,2.12,2.12,2.12,2.12,300
12:25,2.1192,2.1192,2.1101,2.1101,1812
12:26,2.115,2.12,2.1149,2.11914,1818
12:27,2.11,2.11,2.0701,2.08,3123
12:28,2.08,2.08,2.08,2.08,201
12:29,2.1185,2.1185,2.1185,2.1185,150
12:30,2.11,2.11,2.11,2.11,160
12:31,2.1,2.11,2.083,2.083,3318
12:33,2.1,2.1,2.09,2.09,858
12:35,2.09,2.0988,2.09,2.09,871
12:36,2.09,2.09,2.09,2.09,4430
12:37,2.1099,2.1099,2.09,2.09,308
12:38,2.086,2.086,2.08,2.08,1000
12:39,2.08,2.08,2.07,2.07,868
12:43,2.0784,2.0784,2.0784,2.0784,862
12:44,2.0775,2.0775,2.07,2.07,516
12:45,2.07,2.07,2.054,2.054,2186
12:46,2.0508,2.0508,2.0508,2.0508,397
12:47,2.0511,2.0599,2.0511,2.0599,600
12:48,2.0588,2.0588,2.0558,2.0558,416
12:49,2.058,2.08,2.0501,2.08,3895
12:50,2.072,2.085,2.07,2.07,3444
12:52,2.09,2.09,2.09,2.09,200
12:54,2.0998,2.0998,2.0998,2.0998,380
12:57,2.1,2.11,2.07,2.07,659
13:00,2.0999,2.1,2.0999,2.0999,2289
13:02,2.12,2.12,2.12,2.12,1602
13:04,2.115,2.115,2.115,2.115,110
13:05,2.1199,2.12,2.11,2.11,4002
13:06,2.11,2.11,2.1,2.1,867
13:07,2.119,2.119,2.1046,2.11,5708
13:10,2.115,2.12,2.11,2.1193,7294
