time,open,high,low,close,volume
10:29,1.32,1.32,1.07,1.07,700
10:32,1.2,1.2,1.2,1.2,100
11:00,1.19,1.19,1.19,1.19,250
11:16,1.1,1.1,1.1,1.1,100
11:47,1.08,1.11,1.08,1.08,3100
11:50,1.1,1.1,1.07,1.07,900
11:55,1.06,1.1,1.04,1.04,6985
11:57,1.07,1.07,1.07,1.07,400
11:58,1.07,1.07,1.07,1.07,452
12:00,1.07,1.07,1.07,1.07,194
12:13,1.1,1.1,1.1,1.1,133
12:27,1.05,1.05,1.05,1.05,100
13:05,1.07,1.07,1.07,1.07,114
13:15,1.03,1.03,1.03,1.03,100
14:09,1.03,1.03,1.03,1.03,100
15:07,1.1,1.1,1.1,1.1,500
15:09,1.1,1.12,1.1,1.12,300
15:42,1.15,1.15,1.15,1.15,921
15:52,1.1688,1.1688,1.1688,1.1688,349
15:59,1.15,1.15,1.15,1.15,501
