time,open,high,low,close,volume
09:30,2.23,2.23,2.23,2.23,2010
09:34,2.15,2.15,2.15,2.15,208
09:38,2.16,2.16,2.16,2.16,196
09:50,2.18,2.18,2.141,2.141,3500
10:42,2.14,2.14,2.12,2.12,1760
10:48,2.145,2.145,2.145,2.145,3512
11:11,2.1088,2.1088,2.1088,2.1088,100
11:12,2.11,2.11,2.11,2.11,125
11:13,2.1,2.1,2.1,2.1,414
11:16,2.05,2.05,2.05,2.05,2461
11:17,2.06,2.06,2.05,2.05,2794
11:18,2.03,2.03,2.03,2.03,233
11:22,2.02,2.02,2.02,2.02,298
11:25,2,2,1.95,1.95,1569
11:26,1.95,2.0333,1.85,2.0333,646
11:45,2.0034,2.0034,2.0034,2.0034,200
12:04,1.88,1.892,1.88,1.892,285
12:06,1.86,1.87,1.85,1.85,7892
12:07,1.85,1.85,1.76,1.81,8822
12:08,1.79,1.8299,1.7801,1.7801,2500
12:09,1.805,1.805,1.76,1.7848,1867
12:11,1.7922,1.7922,1.7922,1.7922,500
12:12,1.79,1.79,1.79,1.79,121
12:13,1.82,1.83,1.79,1.83,1715
12:14,1.85,1.85,1.85,1.85,501
12:15,1.81,1.84,1.8,1.8001,3760
12:16,1.825,1.825,1.825,1.825,350
12:18,1.81,1.81,1.81,1.81,262
12:19,1.8,1.8,1.8,1.8,324
12:20,1.8,1.825,1.8,1.825,1001
12:22,1.7701,1.7701,1.7701,1.7701,526
12:23,1.7511,1.7908,1.7511,1.7908,1929
12:26,1.7519,1.7645,1.7519,1.7645,2150
12:30,1.815,1.815,1.815,1.815,100
12:31,1.8,1.8,1.79,1.8,6836
12:32,1.79,1.79,1.78,1.78,2000
12:34,1.79,1.79,1.79,1.79,100
12:35,1.7802,1.7802,1.76,1.76,1648
12:36,1.7501,1.7501,1.7501,1.7501,3000
12:38,1.75,1.795,1.75,1.795,6000
12:39,1.795,1.795,1.795,1.795,512
12:40,1.75,1.75,1.74,1.74,1525
12:41,1.75,1.75,1.75,1.75,500
12:43,1.745,1.745,1.745,1.745,100
12:46,1.745,1.75,1.745,1.75,1875
12:48,1.74,1.75,1.74,1.74,2998
12:49,1.74,1.77,1.74,1.77,250
12:50,1.75,1.75,1.74,1.74,11250
12:51,1.74,1.7799,1.74,1.7799,8571
12:52,1.76,1.81,1.76,1.81,2310
12:58,1.79,1.8,1.79,1.8,3000
12:59,1.8,1.8,1.8,1.8,100
13:07,1.84,1.84,1.84,1.84,100
13:31,1.7816,1.7816,1.7816,1.7816,315
13:32,1.79,1.7999,1.79,1.7999,1000
13:36,1.7823,1.7823,1.7823,1.7823,100
13:40,1.78,1.78,1.78,1.78,500
13:49,1.7968,1.7968,1.7968,1.7968,312
13:57,1.78,1.78,1.78,1.78,400
14:14,1.78,1.78,1.78,1.78,100
14:32,1.8,1.8,1.8,1.8,103
14:35,1.77,1.77,1.76,1.76,5191
14:36,1.76,1.76,1.7,1.7,4179
14:37,1.6994,1.6994,1.595,1.6224,6774
14:38,1.57,1.69,1.57,1.68,5224
14:39,1.7,1.72,1.7,1.7,1254
14:40,1.7161,1.7161,1.68,1.68,1411
14:42,1.69,1.7,1.69,1.7,1195
14:43,1.68,1.7,1.68,1.7,703
14:46,1.72,1.73,1.72,1.73,384
14:47,1.765,1.8,1.765,1.8,7408
14:48,1.775,1.775,1.775,1.775,230
14:50,1.785,1.785,1.785,1.785,105
14:57,1.7905,1.7905,1.7905,1.7905,653
15:00,1.788,1.788,1.788,1.788,3998
15:05,1.78,1.78,1.78,1.78,100
15:07,1.79,1.79,1.79,1.79,164
15:10,1.84,1.95,1.84,1.95,5000
15:11,1.9343,1.9343,1.9343,1.9343,338
15:17,2.05,2.05,1.9679,1.9679,215
15:32,1.92,1.93,1.92,1.92,400
15:34,1.89,1.89,1.89,1.89,231
15:35,1.92,1.92,1.92,1.92,200
15:41,1.9,1.9,1.9,1.9,308
15:50,1.89,1.89,1.89,1.89,1137
15:58,1.9,1.925,1.9,1.925,500
15:59,1.9398,1.9398,1.89,1.89,1860
